id,origin,normalize,predict
5876882,2d+app+black+blue+branding+clean+color+design+flat+gradient+green+illustration+landing+logo+minimalistic+typography+ui+ux+web+white,ui+typography+2d+logo+branding+mobile+green+illustration+website+gradient+white+simple+landing+design+flat+black+blue+color+ux,mobile+website+black+white+green+blue
6197979,blue+carsharing+clean+green+homepage+landing page+layout+minimal+product+startup+web+website,startup+landing+layout+website+homepage+blue+green+product+simple+carsharing,mobile+website+landing+green+blue
6001880,aircraft+blue+cards+content+design+hollidays+images+landing+layout+main+navigation+plane+planning+preview+rouad+ship+travel+trip+ui+water,ui+navigation+layout+aircraft+plane+hollidays+water+travel+cards+images+preview+planning+main+rouad+landing+design+ship+blue+content,mobile+travel+blue
6975132,ae+android+animation+blue+button+design+graph+interaction+interactive+ios+landing+mobile+red+shapes+typography+ui+ux+web+yellow,ae+ui+typography+mobile+interactive+red+shapes+website+interaction+landing+design+android+animation+blue+graph+ios+button+yellow+ux,mobile+website+landing+blue+red+yellow
6180280,blue+branding+clinic+dental+dentist+design+doctor+landing+landing page+tooth+typography+ui,ui+dentist+typography+landing+design+branding+blue+clinic+doctor+dental+tooth,mobile+landing+blue
5706019,admission+calendar+cards+course+dashboard+design+e-learning+illustration+landing page+online tutorial+profile+quiz+search+task+typography,admission+dashboard+typography+landing+calendar+course+design+e-learning+illustration+cards+quiz+profile+online tutorial+task+search,mobile+dashboard+profile+landing
6495457,blue+clean+gradient+homepage+landing page+layout+minimal+purple+real estate+ui+ux+web+website,ui+landing+layout+website+homepage+blue+purple+gradient+real estate+simple+ux,mobile+website+landing+blue
5938105,blue+character+header+hero illustration+illustration+landing page+ocean+ui+uidesign+uiux+web+website,ui+landing+website+illustration+blue+ocean+header+hero illustration+character,mobile+website+landing+blue
4345319,bitcoin+blue+crypto+game+gradient+icon+illustration+isometric+landing+truck+ui+website,ui+isometric+landing+website+game+bitcoin+blue+illustration+gradient+truck+crypto+icon,mobile+website+game+blue
6756349,app+black+blue+branding+clean+design+flat+gradient+green+illustration+landing+landing page+logo+minimalistic+typography+ui+ux+web+white,ui+typography+landing+logo+design+website+branding+mobile+blue+green+gradient+illustration+flat+white+simple+black+ux,mobile+website+landing+black+white+green+blue
