id,origin,normalize,predict
6553424,app+banking+chart+charts+clean+colors+craftwork+finance+financing+illustration+ios+minimal+product+ui+uidesign+ux+wallet,ios+ui+colors+simple+craftwork+chart+charts+finance+financing+ux+illustration+product+mobile,mobile+chart+finance
6569168,app+banking+chart+charts+clean+colors+craftwork+finance+financing+illustration+ios+minimal+product+ui+uidesign+ux+wallet,ios+ui+colors+simple+craftwork+chart+charts+finance+financing+ux+illustration+product+mobile,mobile+chart+finance
6037420,analitycs+app+chart+coral+dashbord+expense manager+finance+finance app+fin tech+flow+flow chart+graph+ios 12+mobile+money+react native+report+ui+ux+wizard,coral+flow chart+ios 12+ux+website+mobile+analitycs+chart+money+graph+fin tech+react native+ui+flow+finance+wizard+expense manager+dashbord+report,mobile+website+chart+finance
6754295,app+banking+blue+budget+chart+clean+finance+graphic+interface+ios+mobile+mobile app+mobile design+money+product+product design+responsive+ui+ux+white,ios+ui+budget+graphic+simple+chart+finance+ux+blue+interface+money+product design+white+website+responsive+product+mobile,mobile+website+chart+finance+white+blue
6917658,bitcoin+blockchain+chart+contract trading+crypto+cryptocurrency+currency+ethereum+finance+fintech+investment+ios+mobile+product page+trading+ui+ux+web+web design,ethereum+bitcoin+currency+website+ux+mobile+ios+chart+crypto+trading+blockchain+contract trading+ui+product page+cryptocurrency+finance+web design+fintech+investment,mobile+website+chart+finance
5639810,app+application+bank+chart+cryptocurrency+dashboard+design+dribbble+dribbble popular shot+finance+financial+gauge+graph map+ios+iphone+mobile+music dashboard+statistics+ui+ux,design+ios+ui+mobile+dribbble+cryptocurrency+dribbble popular shot+chart+finance+graph map+statistics+music dashboard+website+gauge+ux+dashboard,mobile+website+chart+dashboard+finance
6550632,app+application+chart+clean+finance+interface+ios+iphone x+layout+minimal+mobile+product+prototype+simple+tab bar+transactions+typography+ui+ux+wireframe,ios+ui+wireframe+tab bar+typography+simple+iphone x+chart+finance+ux+interface+transactions+website+layout+prototype+product+mobile,mobile+website+chart+finance
5551945,application+bank+calendar screen design+chart+cryptocurrency+dashboard+design+dribbble+dribbble popular shot+finance+financial+gauge+graph map+ios+iphone+mobile+statistics+stats charts+ui+ux,design+ios+ui+dashboard+dribbble+cryptocurrency+dribbble popular shot+chart+finance+graph map+statistics+stats charts+website+gauge+ux+calendar screen design+mobile,mobile+website+chart+dashboard+finance
5511184,app+application+bank+chart+cryptocurrency+dashboard+design+dribbble+dribbble popular shot+finance+financial+gauge+graph map+ios+iphone+mobile+product+statistics+ui+ux,design+ios+ui+mobile+dribbble+cryptocurrency+dribbble popular shot+chart+finance+ux+graph map+statistics+website+gauge+product+dashboard,mobile+website+chart+dashboard+finance
6124942,android app design+app+banking+budget+calculator+chart+dashboard+finance+fintech+investing+ios app design+loan+mobile app design+mortgage+payment+real estate+real estate app+saas+startup+statistics,fintech+startup+budget+dashboard+ios app design+chart+finance+saas+statistics+calculator+mobile app design+mortgage+checkout+loan+real estate app+real estate+android app design+mobile,mobile+chart+dashboard+checkout+finance+music
6337626,android+chart+clean+dashboard+finance+icon+illustration+ios+management+minimal+mobile app+onboarding+platform+project+real estate+splash screen+task+team+tool+ui design,splash screen+illustration+tool+mobile+platform+website+ios+chart+android+management+dashboard+ui+simple+finance+real estate+icon+team+onboarding+project+task,mobile+website+chart+dashboard+finance
5087320,chart+clean+dashboard+finance+finance app+finance business+finance financial+finances+graph+interaction+ios+johnyvino+mobile+money+report design+reporter+reporting+reports+ui+ux,reporter+mobile+interaction+website+ios+ux+reports+chart+finance business+money+graph+johnyvino+dashboard+ui+simple+finance+reporting+finance financial+report design,mobile+website+chart+dashboard+finance
5616067,app+application+bank+chart+cryptocurrency+dashboard+design+dribbble+dribbble popular shot+finance+financial+gauge+graph map+ios+iphone+mobile+statistics+stats charts+ui+ux,design+ios+ui+mobile+dribbble+cryptocurrency+dribbble popular shot+chart+finance+graph map+statistics+stats charts+website+gauge+ux+dashboard,mobile+website+chart+dashboard+finance
5805480,application+bank+chart+cryptocurrency+dashboard+design+dribbble+dribbble popular shot+finance+financial+gauge+graph map+ios+iphone+mobile+music dashboard+statistics+stats charts+ui+ux,design+ios+ui+mobile+dribbble+cryptocurrency+dribbble popular shot+chart+finance+graph map+statistics+stats charts+music dashboard+website+gauge+ux+dashboard,mobile+website+chart+dashboard+finance+music
5569346,app+application+bank+chart+cryptocurrency+dashboard+design+dribbble+dribbble popular shot+finance+financial+gauge+graph map+ios+iphone+mobile+statistics+stats charts+ui+ux,design+ios+ui+mobile+dribbble+cryptocurrency+dribbble popular shot+chart+finance+graph map+statistics+stats charts+website+gauge+ux+dashboard,mobile+website+chart+dashboard+finance
5471322,app+application+bank+chart+cryptocurrency+dashboard+design+dribbble+dribbble popular shot+finance+financial+gauge+graph map+ios+iphone+mobile+statistics+stats charts+ui+ux,design+ios+ui+mobile+dribbble+cryptocurrency+dribbble popular shot+chart+finance+graph map+statistics+stats charts+website+gauge+ux+dashboard,mobile+website+chart+dashboard+finance
6757211,accounting+analytic+analytics+analytics chart+app+business+clean+design+finance+ios+product+research+startup+ui+ux,design+ios+startup+ui+simple+analytic+analytics chart+analytics+finance+research+ux+accounting+business+product+mobile,mobile+finance
4031263,app+application+chart+finance+financial+graph+interface+ios+iphone x+mobile+ui+ux,ios+ui+iphone x+chart+finance+interface+graph+website+ux+mobile,mobile+website+chart+finance
6854058,android+animation+app+bank+chart+dashboard+design+finance+ios+mobile+money+ui+ux+web,design+ios+animation+ui+dashboard+chart+android+finance+money+website+ux+mobile,mobile+website+chart+dashboard+finance
6803518,analytics dashboard+banking app+chart insights+credit card+currency exchange+finance application+fintech startup+ios 12 app+mobile+money transfer+payments transactions+portfolio management+product design+transaction list+wallet balance,portfolio management+currency exchange+mobile+ios 12 app+money transfer+chart insights+fintech startup+finance+credit card+payments transactions+product design+wallet balance+transaction list+website+analytics dashboard,mobile+website+finance
6544752,account+app design+app ui+card+chart+credit card+finance+grid+ios app+ios app design+list+pay+payment+transaction,card+pay+ios app design+account+chart+finance+app ui+credit card+grid+transaction+checkout+list+mobile,mobile+chart+grid+checkout+finance
6668580,activity+budget+chart+clean+dashboard+design+finance+graph+ios+management+minimal+project+schedule+task+team+ui+web,design+ios+ui+budget+simple+chart+finance+team+schedule+management+activity+graph+project+website+task+dashboard,mobile+website+chart+dashboard+finance
6912448,app+bank+banking+black+chart+clean+credit card+dark+expenses+finance+fintech+ios+iphone+menu+modern+navigation+transactions+ui+wallet+wallet app,fintech+ios+navigation+ui+expenses+menu+simple+chart+finance+black+credit card+transactions+wallet app+modern+mobile,mobile+chart+finance+black
