id,origin,normalize,predict
6685757,categories+cook+cooking+cuberto+design+food+graphics+icons+illustration+interface+landing page+product design+recipes+ui+ux+web+website,illustration+product design+cooking+food+website+design+cuberto+icons+ui+ux+categories+landing+interface+cook+graphics,mobile+website+landing+food
6441217,animation+design+digital art+digital illustration+ecology+energy+environment+graphic design+hero illustration+home page+illustration+interaction design+interface+motion design+service+ui+user experience+ux+web+website,illustration+animation+hero illustration+home page+graphic design+ui+user experience+energy+website+motion design+ux+interaction design+ecology+design+service+interface+environment+digital illustration+digital art,mobile+website+blue
6945782,animation+app+bicycle+bike+card+cart+clean+ecommerce+interaction+minimal+motion+product design+shop+simple+smooth+store+ui+ux+website+wheels,interaction+simple+product design+cart+shop+wheels+card+website+animation+ecommerce+motion+store+ui+ux+smooth+bike+mobile+bicycle,mobile+website+ecommerce
6787909,branding+icon+illustration+ios+logo+ui+ux+website,illustration+website+logo+ux+ios+branding+ui+icon,mobile+website
5708399,3d+abstract+animation+balls+branding+c4d+christmas+cinema 4d+decorations+dynamic logo+glitch+interaction+interaction design+interactions+octane+typography+ui+ux+web design+website,c4d+typography+animation+interactions+glitch+ui+abstract+website+ux+interaction design+octane+decorations+branding+3d+interaction+christmas+cinema 4d+dynamic logo+web design+balls,mobile+website+landing
6263213,boy+cat+character+computer+evening+illustration+kitten+kitty+man+night+office+overtime+people+sleep+tired+ui+uran+web+website+work,illustration+work+boy+night+ui+uran+kitten+people+evening+website+sleep+computer+kitty+character+cat+tired+overtime+man+office,mobile+website+landing
6102653,app+branding+design+icon+identity+illustration+logo+typography+vector+website,illustration+typography+vector+website+design+identity+logo+branding+mobile+icon,mobile+website
6008035,app+branding+icon+identity+illustration+logo+mark+sketch+type+website,illustration+sketch+mark+website+identity+logo+type+branding+mobile+icon,mobile+website
6158271,art+artists+character+design+design studio+digital art+graphic design+hero illustration+hero image+hiring+home page+hr+illustration+interaction design+ui+user interface+ux+web+web design+website,illustration+art+hr+interaction design+web design+hiring+website+design+hero image+hero illustration+home page+ux+graphic design+design studio+artists+digital art+character+ui,mobile+website
6317190,asian+character+fashion+girl+head+hot+illustration+korean+lady+lover+orange+people+portrait+sexy+smoke+smoking+ui+web+website+woman,illustration+ui+fashion+people+smoking+website+yellow+woman+girl+hot+smoke+korean+lover+sexy+lady+character+asian+head+portrait,mobile+website+music+yellow
6565860,design+design studio+digital art+ecology+environment+graphic design+hero illustration+home page+illustration+interaction+interface+nature+ui+user experience+user interface+ux+web+web design+website+website illustration,ecology+graphic design+illustration+interaction+user experience+web design+website+design+hero illustration+nature+home page+ux+website illustration+environment+design studio+interface+digital art+ui,mobile+website+green
6239079,animal+boy+character+clean+color+concept+cute+dog+illustration+man+people+sapling+snow+ui+uran+walk+walking+web+website+winter,illustration+sapling+concept+boy+snow+winter+ui+uran+simple+people+website+dog+walk+walking+character+man+cute+animal+color,mobile+website+landing
6128763,app+branding+field+identity+illustration+landing+logo+overlap+page+site+web+website,illustration+landing+overlap+site+website+page+identity+logo+field+branding+mobile,mobile+website
5952576,color app lines+drawing digital illustration+front end development+geometrical art exploration+hand drawn animation+hi-tech sci-fi illustrative+illustrative shape creation+illustrative style guideline+ipad procreator pencil+landing page concept+marketing web design+smooth parallax firefox+ui+ui illustrator designer+user interface design+web page header+website animation transition,drawing digital illustration+ipad procreator pencil+ui illustrator designer+illustrative shape creation+color app lines+website animation transition+smooth parallax firefox+hand drawn animation+web page header+illustrative style guideline+geometrical art exploration+landing page concept+front end development+marketing web design+hi-tech sci-fi illustrative+ui,mobile
6555182,app+dashboard+design+experience+gradient+interface+lander+mockups+pay+payment+product design+style guide+ui+user+ux+web+website,gradient+experience+dashboard+lander+user+product design+pay+website+design+ui+style guide+ux+mockups+checkout+interface+mobile,mobile+website+dashboard+checkout
6158849,boy+cat+character+computer+empty+empty state+illustration+interface+kitten+kitty+mail+man+office+people+quickmail+ui+web+website+work,empty+illustration+work+kitten+boy+empty state+man+office+people+website+mail+quickmail+computer+interface+kitty+character+ui+cat,mobile+website
5367995,gradient+illustration+landing+logo+pattern+typography+ui+ux+website,gradient+illustration+pattern+typography+website+logo+ux+landing+ui,mobile+website
6744282,app+blog+clean+elegant+lamp+light+minimal+news+product+website+white,lamp+simple+product+light+social+website+white+elegant+news+mobile,mobile+website+ecommerce+white
6506019,baby+character+child+children+dad+daughter+family+father+girl+grow+home+illustration+kid+man+measuring+people+room+ui+web+website,illustration+room+father+ui+dad+baby+child+people+website+girl+daughter+character+man+family+home+kid+grow+children+measuring,mobile+website+landing
6441984,adventure+backpacker+boy+character+explore+holiday+illustration+journey+landscape+man+people+pond+scenery+sea+tour+travel+ui+vacation+web+website,holiday+backpacker+illustration+landscape+man+boy+scenery+people+website+adventure+pond+journey+sea+explore+tour+character+ui+travel,mobile+website+travel+blue
5974943,branding+design+drawing+icon+identity+illustration+sketch+website,illustration+drawing+sketch+website+design+identity+branding+icon,mobile+website
6647571,animation+clean+colors+design+illustration+landing+landingpage+minimal+team+ui+ux+web+website,illustration+simple+team+website+animation+design+ux+landing+ui+colors,mobile+website+landing
5781295,animation+branding+design+drink+ecommerce+graphic design+identity+interaction+interface+motion+product card+tea+tea shop+typography+ui+user experience+ux+web+webdesign+website,typography+product card+animation+tea shop+identity+tea+graphic design+ui+user experience+website+ux+webdesign+design+motion+branding+interface+interaction+food+ecommerce,mobile+website+food+ecommerce
6248741,bird+blue+character+dinosaur+drop+duck+goose+hat+help+illustration+man+outdoor+people+rain+rainy+ui+umbrella+water+web+website,blue+illustration+rainy+duck+outdoor+umbrella+ui+people+website+hat+dinosaur+help+bird+character+water+rain+goose+drop+man,mobile+website+blue
6340320,cabin+character+child+childhood+children+dark+elder+girl+illustration+light+man+old+people+shop+store+teddy+toy+ui+web+website,black+illustration+shop+light+store+cabin+ui+child+people+website+childhood+elder+girl+old+character+man+children+toy+teddy,mobile+website+landing+game+black
5961376,alana+bass+fish+louise+wolf,bass+fish+louise+wolf+alana,mobile
5886597,apparel+clothing+expand+fashion+gallery+home+house+menu+navigation+shoes+shop+slide+sneakers+speaker+spinner+store+ui+website,fashion+apparel+house+menu+shop+spinner+home+website+ecommerce+shoes+store+navigation+sneakers+gallery+slide+expand+speaker+ui,mobile+website+ecommerce
6816310,app+card+clean+dark+dashboard+desktop+gradient+list+management+project+task+ui+web+website,black+desktop+dashboard+gradient+simple+task+card+website+ui+list+project+management+mobile,mobile+website+dashboard+black
6350294,animal+cat+character+cock+flower+forest+garden+girl+illustration+kitten+kitty+monster+people+pet+plant+tortoise+ui+web+website+woman,illustration+tortoise+forest+ui+flower+kitten+people+website+woman+pet+girl+monster+cock+kitty+character+cat+garden+animal+plant,mobile+website
6520524,animation+app+clean+colors+design+landing+minimal+ui+ux+web+website,simple+website+animation+design+ui+ux+landing+mobile+colors,mobile+website
6373671,animation+clean+colors+design+landing+minimal+page+ui+ux+web+website,simple+website+animation+design+page+ux+landing+ui+colors,mobile+website
6685290,animation+clean+colors+design+landing+minimal+page+ui+ux+vector+web+website,simple+vector+website+animation+design+page+ux+landing+ui+colors,mobile+website
6385510,animation+clean+colors+design+illustration+landing+ui+ux+web+website,illustration+simple+website+animation+design+ux+landing+ui+colors,mobile+website
6292314,boy+bus+character+crutch+hamburger+help+illustration+man+old+orange+people+phone+sign+station+stop+ui+uran+wait+web+website,illustration+phone+crutch+boy+station+ui+uran+wait+people+website+yellow+sign+stop+old+help+hamburger+character+man+bus,mobile+website+landing+yellow
