id,origin,normalize,predict
6980640,adventure+app+clean+design+icons+illustration+mobile+screen+travel+trip+ui,travel+adventure+ui+icons+website+mobile+design+simple+screen+illustration,mobile+website+travel
6098905,adventure+california+costs+design+mobile app+roadmap+tour+travel+travel app+trip+trip planner+ui+ux+visit,travel+adventure+tour+ui+visit+website+ux+trip planner+mobile+costs+design+california+roadmap,mobile+website+travel
6200996,animation+app+ar+car+ios+minimal+mobile+ridesharing+taxi+travel+ui+ux,car+animation+travel+ui+ar+website+ridesharing+ux+mobile+ios+simple+taxi,mobile+website+travel
6923485,adventures+coral+green+illustration+journey+mobile+onboarding+product design+product illustration+travel app+ui,product illustration+travel+onboarding+green+website+adventures+mobile+product design+ui+illustration+coral+journey,mobile+website+travel+green
6077630,app+art direction+branding+cities+interaction+map+mobile+travel+ui+ux,travel+ui+branding+website+interaction+cities+ux+mobile+art direction+map,mobile+website+travel
6118266,3d+android+animation+app+interaction+ios+mobile+motion+ocean+ship+travel+ui+ux,travel+animation+3d+ship+ui+website+interaction+ux+motion+android+mobile+ocean+ios,mobile+website+travel+blue
6888375,airbnb+app+calendar+design+fly+interface+ios+map+mobile+mobile app+mobile design+mobile ui+planner+product design+tickets+travel+trip+ugem+ui+ux,mobile ui+travel+ugem+interface+ui+airbnb+fly+website+tickets+ux+planner+mobile+ios+product design+design+calendar+map,mobile+website+travel
6812179,adventure+app+application+blog+card+design+ecotourism+hotel booking+illustration+ios+layout+minimal+mobile app design+rental+search+summer+tour+travel app+trip planner+ui ux,ui ux+social+summer+ios+illustration+ecotourism+mobile app design+travel+trip planner+simple+card+adventure+layout+design+search+rental+tour+mobile+hotel booking,mobile+website+travel+music
6611672,app+clean+design+minimal+mobile+travel+traveling+ui+ux+web,travel+ui+website+ux+traveling+mobile+design+simple,mobile+website+travel
6162925,3d+animation+app+illustration+interaction+ios+mobile+motion+nature+ocean+ship+travel+ui+ux+whale,travel+animation+3d+ship+nature+ui+website+interaction+ux+motion+whale+mobile+ocean+ios+illustration,mobile+website+travel
6789910,animation+app+application+cards+clean ui+dashboard+interaction+interface+mobile design+planet+product design+purple+travel+trip+ugem+ui+ux+video+web+web design,travel+animation+ugem+interface+ui+cards+web design+website+interaction+ux+planet+purple+video+mobile+product design+dashboard+clean ui,mobile+website+dashboard+travel
6514632,app+clean+design+gradient+illustration+interactive+layout+light+minimal+mobile+modern+travel+typography+ui,travel+typography+ui+layout+website+modern+gradient+interactive+mobile+light+design+simple+illustration,mobile+website+travel
6664537,app+black and white+bold+cards+dark app+dark ui+extended+images+interface+ios+mobile+mountains+product design+travel+travel agency+travel app+typography+ui+ux+wide,ux+ios+travel agency+travel+interface+cards+product design+extended+website+ui+dark app+typography+bold+dark ui+mountains+images+mobile+wide+black and white,mobile+website+travel
6754224,clean+interaction+interface+landing page+minimal+mobile+mobile ui+photography+travel+type+typography+ui+ui design+ux+web+web design+website,mobile ui+travel+type+interface+typography+web design+website+interaction+ux+mobile+landing+ui+simple+photography,mobile+website+landing+travel
5709477,android+black+blue+button+contrast+dark+design+flat+graph+ios+iphone x+mobile+social+statistic+switcher+top+travel+ui+ux+white,top+ux+social+ios+black+iphone x+graph+travel+button+white+android+contrast+statistic+flat+website+ui+switcher+design+blue+mobile,mobile+website+travel+black+white+blue
3895170,app+booking+flat+icons+ios+mobile+tickets+transport+travel+ui+ux,flat+travel+ui+booking+tickets+icons+website+ux+mobile+ios+transport,mobile+website+travel
5881393,android+app+ar+augmented+augmentedreality+behance+distance+flat+food+friends list+future+interface+ios+iphone+map+mobile+navigation+street+tourism+travel,flat+travel+interface+ar+distance+friends list+food+website+future+android+mobile+ios+augmentedreality+navigation+augmented+street+map+behance,mobile+website+travel+food
6591397,app+camp+map+mobile app+outdoor+travel+travel app+traveling+ui+ux,travel+ui+camp+website+ux+traveling+outdoor+mobile+map,mobile+website+travel
6794883,app+book+clean+collection+contact+details+gallery+map+message+mobile+search+travel+trip+ui+video,travel+collection+gallery+search+ui+message+website+book+video+mobile+contact+details+map+simple,mobile+website+travel
5886791,android+app+ar+augmented+augmentedreality+behance+distance+flat+food+friends list+future+interface+ios+iphone+map+mobile+navigation+street+tourism+travel,flat+travel+interface+ar+distance+friends list+food+website+future+android+mobile+ios+augmentedreality+navigation+augmented+street+map+behance,mobile+website+travel+food+music
6248551,free+freebie+invision+mobile+photoshop+sketch+travel+ui+ui kit,photoshop+travel+invision+free+freebie+website+sketch+ui kit+mobile+ui,mobile+website+travel
5254967,inspiration+ios+landscape+map+mobile+nature+outdoors+road trip+travel+travel app+ui+ux,travel+nature+ui+landscape+website+ux+inspiration+mobile+ios+map+outdoors+road trip,mobile+website+travel
6625478,boardingpass+hyperloop+journey+mobile+motion+ticket+travel+trip overview,travel+ticket+boardingpass+website+motion+hyperloop+mobile+trip overview+journey,mobile+website+travel+music
6872384,adventure+app+branding+illustration+logo+mobile+onboarding+product design+quest+travel app+traveling+typography+ui+ux+wallet,travel+adventure+onboarding+typography+branding+finance+website+ux+quest+traveling+mobile+product design+logo+ui+illustration,mobile+website+finance+travel
6497233,account+calendar+clean design+ios+minimalism+mobile app design+mobile applications+mobile ui+mobile uiux+notifications+personal profile+ride+travel+trip+ui+ux,mobile ui+mobile app design+travel+account+clean design+ui+mobile uiux+ux+notifications+mobile applications+minimalism+personal profile+ios+calendar+ride,mobile+travel
6079769,design+exploration+gradation+gradient+illustration+mobile+mobile app+nature+travel+travel app+typography+ui+ux+vector,travel+vector+nature+gradation+typography+ui+website+ux+exploration+gradient+mobile+design+illustration,mobile+website+travel
5327587,app+bold+bold font+design+flight booking+hiwow+inspiration+mobile app+travel app+typography+ui+ux+whb,flight booking+travel+typography+ui+bold+bold font+website+ux+whb+inspiration+mobile+design+hiwow,mobile+website+travel
6840238,airline+airlines+airplane+app+calendar+date+flight+flight app+flights+mobile+plane+sketch+sky+tickets+travel+travel app+traveling+ui+ux+widelab,widelab+flights+tickets+ux+flight+travel+sketch+sky+airline+flight app+airplane+website+ui+plane+traveling+date+mobile+calendar+airlines,mobile+website+travel
3920189,app+booking+flat+icons+ios+mobile+tickets+transport+travel+ui+ux,flat+travel+ui+booking+tickets+icons+website+ux+mobile+ios+transport,mobile+website+travel
6468968,experience interaction+hotel booking app+ios management+iphone x booking app+mobile app design+property application design+property renting ui+real estate+real estate ui ux+rental client+rental ui rent hotel travel app+schedule application design+travel flight app,schedule application design+mobile app design+experience interaction+real estate+rental client+hotel booking app+ios management+travel flight app+real estate ui ux+iphone x booking app+property renting ui+property application design+rental ui rent hotel travel app,mobile
6923806,astronaut+character+clean+draw+drawing+flat+graphic design+illustraion+mobile+planets+ridesharing+rocket+space+taxi+travel+uber+universe+vector,rocket+space+astronaut+illustraion+drawing+taxi+travel+uber+draw+simple+graphic design+flat+character+website+vector+mobile+ridesharing+universe+planets,mobile+website+travel
6175344,animation+app+chat+clean+illustration+interaction+interface+ios+iphone+johnyvino+mobile+principle+tracer+travel+travel 2+travel agency+travel agent+travel app+ui+ux,travel+animation+interface+ui+tracer+website+interaction+travel 2+ux+social+mobile+johnyvino+ios+simple+principle+travel agency+illustration+travel agent,mobile+website+travel
6573091,app+app design+branding+design+mobile app+travel app+ui+ux,travel+ui+branding+website+ux+mobile+design,mobile+website+travel
6868836,app+audio+blog+calendar+clean+date+details+gallery+list+map+message+mobile+profile+search+share+travel+trip+ui+video+voice,gallery+list+social+details+travel+voice+video+simple+profile+share+message+website+ui+map+audio+search+date+mobile+calendar,mobile+website+profile+travel
5880439,app+design+graphic design+interaction+journey+mobile+mobile app design+mobile screen+navigation+planner+travel+travel app+traveling+ui+user experience+user interface+ux,mobile app design+travel+mobile screen+ui+user experience+website+interaction+ux+traveling+planner+mobile+navigation+design+graphic design+journey,mobile+website+travel
6670414,app+crypto+dashboard+debut+digital+fashion+hello+homepage+illustration+ios+landingpage+marketing+minimal+mobile+seo+travel+ui+ux+web+website,travel+digital+homepage+crypto+ui+website+ux+fashion+simple+seo+mobile+hello+ios+debut+dashboard+landing+marketing+illustration,mobile+website+dashboard+landing+travel+music
6785639,app+dashboard+flat+ios+iphone+itinerary+list+mobile+travel+ui+ux,flat+travel+ui+website+ux+list+itinerary+mobile+dashboard+ios,mobile+website+dashboard+travel
6819717,app+asia+concept+design+gradient+icon+illustration+ios+iphonex+minimal+mobile+tour+tourism+travel+travelling+ui+ux+weather,travel+tour+ui+weather+website+ux+asia+gradient+mobile+ios+design+simple+concept+icon+illustration,mobile+website+weather+travel
6541673,android+android app+app+app design+application+card+charcter+icons+illustration+mobile+mobile ui+onboarding+people+setting+travel+typography,mobile ui+people+setting+onboarding+travel+typography+icons+website+android+mobile+charcter+card+illustration,mobile+website+travel
6912581,app+application+canoe+clean+design+kayak+minimalistic+mobile+search+travel+ui+ui design+ux+ux design,travel+search+ui+kayak+website+ux+canoe+mobile+design+simple+ux design,mobile+website+travel
3865541,app+design+flat+gradient+illustration+interface+logo+mobile+sketch+ui+ux+web,flat+interface+ui+website+sketch+ux+gradient+mobile+logo+design+illustration,mobile+website
6736135,adventure+app+costs+design+inspiration+ios+mobile app+roadmap+tour+travel+travel app+trip+visit+卡+设计,卡+travel+adventure+设计+tour+visit+website+inspiration+mobile+costs+ios+design+roadmap,mobile+website+travel
5888641,android+animation+app+ar+augmentedreality+augmented reality+clean+concept+design+flat+interface+iphone+map+mobile+navigation+search+travel+travel app+ui+ux,flat+travel+animation+augmented reality+interface+search+ui+ar+website+ux+android+mobile+navigation+augmentedreality+design+concept+simple+map,mobile+website+travel
4947868,chat+faq+freebie+invites+ios+iphonex+mobile+photography+santorini+sketch+stories+travel,travel+invites+freebie+website+sketch+social+mobile+ios+stories+faq+photography+santorini,mobile+website+travel
5304472,10clouds+app+booking+design+hotel+interface+minimal+mobile+reservation+travel+ui+ux,10clouds+travel+interface+ui+booking+website+ux+hotel+mobile+design+simple+reservation,mobile+website+travel
6919008,app+application+design+gallery+kayak+mobile+mobile ui+tiles+trails+travel+ui+ui design+ux+ux design,mobile ui+travel+gallery+ui+kayak+website+ux+mobile+tiles+trails+design+ux design,mobile+website+travel+music
4868729,app+calendar+data+design+ios+iphone+map+mobile+mountains+travel+ui design+дизайн+приложение+ configuration+ ui ux,travel+ui+дизайн+ ui ux+website+mountains+data+приложение+ configuration+mobile+design+ios+calendar+map,mobile+website+travel+music
6745585,3d+app+design+illustration+inspiration+ios+location+mobile+permission+product+travel+ui+ux,permission+travel+3d+ui+website+ux+inspiration+product+mobile+ios+location+design+illustration,mobile+website+travel
4868673,app+calendar+dark+data+design+ios+iphone+mobile+travel+ui design+дизайн+приложение+ configuration+ ui ux,travel+ui+дизайн+ ui ux+website+data+приложение+ configuration+mobile+ios+black+design+calendar,mobile+website+travel+black
6640781,app+blue+bright color+clean+color+concept+design+dribbble+interface+ios+minimal+mobile+mobile app design+nature+sketch+ui+ux+web+webdesign,mobile app design+blue+interface+nature+ui+bright color+website+sketch+ux+dribbble+color+mobile+ios+design+concept+simple+webdesign,mobile+website+blue
