id,origin,normalize,predict
6858722,beach+font+surfing+travel+tropical+typography+vacation,surfing+beach+typography+tropical+travel+font,mobile+travel
6980640,adventure+app+clean+design+icons+illustration+mobile+screen+travel+trip+ui,website+simple+adventure+design+mobile+travel+screen+ui+illustration+icons,mobile+website+travel
6858764,70s+can+font+packaging+retro+travel+tropical+vacation,can+tropical+travel+70s+retro+font+packaging,mobile+travel
6441984,adventure+backpacker+boy+character+explore+holiday+illustration+journey+landscape+man+people+pond+scenery+sea+tour+travel+ui+vacation+web+website,character+website+landscape+sea+man+pond+journey+people+backpacker+tour+adventure+explore+travel+boy+holiday+ui+scenery+illustration,mobile+website+travel+blue
6098905,adventure+california+costs+design+mobile app+roadmap+tour+travel+travel app+trip+trip planner+ui+ux+visit,website+costs+visit+trip planner+ux+tour+adventure+design+mobile+roadmap+travel+california+ui,mobile+website+travel
5923382,admin panel+blue+booking+cuberto+graphics+icons+illustration+interface+internal+order+travel+trip+ui+upcoming+ux,interface+ux+cuberto+blue+internal+order+booking+graphics+upcoming+admin panel+travel+ui+illustration+icons,mobile+travel+blue
6200996,animation+app+ar+car+ios+minimal+mobile+ridesharing+taxi+travel+ui+ux,ridesharing+website+car+ux+simple+taxi+travel+mobile+animation+ar+ui+ios,mobile+website+travel
5988075,art direction+brand+brand assets+branding+illustration+travel app,art direction+branding+brand+travel+brand assets+illustration,mobile+travel
6923485,adventures+coral+green+illustration+journey+mobile+onboarding+product design+product illustration+travel app+ui,website+ui+product illustration+adventures+green+journey+onboarding+travel+mobile+product design+illustration+coral,mobile+website+travel+green
6077630,app+art direction+branding+cities+interaction+map+mobile+travel+ui+ux,website+art direction+ux+branding+interaction+map+cities+travel+mobile+ui,mobile+website+travel
6221483,after-effects+animation+design+motion+motion-design+motiongraphics+travel+ui+ui8+ux,ui+ui8+ux+after-effects+design+travel+animation+motion+motion-design+motiongraphics,mobile+travel
5717642,africa+animation+asia+grid+helvetica+interaction+interface+muzli+obys+photo+search+travel+trip+typography+ui+ux+webdesign,interface+webdesign+obys+ux+typography+interaction+africa+muzli+photo+asia+grid+helvetica+search+travel+animation+ui,mobile+grid+travel
6210969,after-effects+animation+design+motion+motion-design+motiongraphics+travel+ui+ui8+ux,ui+ui8+ux+after-effects+design+travel+animation+motion+motion-design+motiongraphics,mobile+travel
5964169,brand+brand identity+branding+brand strategy+design system+guidelines+illustration+logo+travel app+typography,branding+typography+guidelines+brand+brand identity+logo+travel+brand strategy+design system+illustration,mobile+travel
5988091,art direction+brand+branding+illustration+travel app,art direction+branding+brand+travel+illustration,mobile+travel
5695004,badge+bear+kings canyon+leaves+retro+sticker+texture+travel+trees+vitnage,bear+kings canyon+sticker+trees+texture+travel+vitnage+retro+leaves+badge,travel
6332567,app design+concept app+detail+ecommerce+home app+inspiration+interaction+ios+iosapps+iphone x+minialista+minimalist+rental app+scooter+travel app+ui+ui design+user interface+ux+ux design,home app+detail+iphone x+ux design+ux+minimalist+interaction+iosapps+concept app+inspiration+ecommerce+mobile+minialista+rental app+scooter+travel+ui+ios,mobile+travel+ecommerce
5680567,ui+插图+设计+风景,ui+设计+风景+插图,mobile+travel
6213203,animation+app+clean+interactive+layout+light+minimal+travel+ui,layout+simple+light+travel+mobile+interactive+animation+ui,mobile+website+travel
5960347,app+booking+calendar+cuberto+graphics+home+icons+illustration+maps+screen+travel+ui+ux+vector,ui+ux+home+cuberto+vector+booking+graphics+travel+mobile+screen+calendar+illustration+maps+icons,mobile+travel
6510521,app+clean+design+fireart+fireartstudio+inspiration+interaction+interface+picture+product+travel app+ui+user inteface+ux+uxdesign,fireart+interface+user inteface+fireartstudio+ux+interaction+uxdesign+simple+design+mobile+inspiration+product+travel+ui+picture,mobile+travel
6092978,colorful+diary+illustration+life+notebook+reading+travel+ui,diary+book+life+travel+colorful+notebook+ui+illustration,mobile+travel
6118266,3d+android+animation+app+interaction+ios+mobile+motion+ocean+ship+travel+ui+ux,website+ui+ship+ux+interaction+travel+mobile+3d+ocean+animation+android+motion+ios,mobile+website+travel+blue
5964990,app+boat+booking+card+charter+fintech+motor+pay+payment+rent+rental+service+ship+sport+tavel+transaction+travel+wallet+yacht+yachts,sport+yacht+boat+card+mobile+tavel+fintech+yachts+ship+charter+service+checkout+pay+booking+rent+travel+rental+motor+transaction+finance,mobile+checkout+sport+finance+travel
6430676,abstract+astronaut+building+grid+line+outerspace+pattern+planet+rocket+spaceship+stars+texture+travel,stars+astronaut+abstract+pattern+texture+building+grid+line+spaceship+travel+rocket+outerspace+planet,mobile+grid+travel
5894179,boat+hills+ocean+plants+sea+ship+sun+texture+travel,ship+sea+texture+sun+hills+boat+travel+ocean+plants,mobile+travel
5874755,ui+分享+图标+应用+插图+旅行+简单+设计,旅行+图标+设计+插图+简单+ui+分享+应用,mobile+travel
5871490,app design+design+destinations+home app+hotel app+inspiration+interaction+ios+iphone x+minimalist+travel+travel agency+travel app+ui+ui design+ui ux+ui ux design+user interface+ux+ux design,home app+iphone x+destinations+ux design+travel agency+minimalist+ux+interaction+ui ux+ui ux design+design+mobile+inspiration+travel+hotel app+ui+ios,mobile+travel
