id,origin,normalize,predict
5583757,animation+design+flow+form+home+illustration+me+signup+ui+ux,form+home+ux+flow+illustration+me+signup+ui+animation+design,mobile+form+green
5313013,crowd+drawing+form+illustration+landing+people+signup+ui+ux+web+website,form+ux+illustration+people+drawing+signup+website+ui+crowd+landing,mobile+website+form+landing+music
5189411,design+form+registration+signup+ueno+ui+unused+ux+web,form+website+ux+ui+ueno+signup+unused+registration+design,mobile+website+form
5830545,create+create account+create startup website services+dashboard+embed+enter+format+form builder+login+mp4+neel+prakhar+search+share+sharma+signup+ui+video+video animation+video app,embed+create startup website services+format+create+sharma+create account+dashboard+mp4+signup+ui+enter+neel+form builder+video app+video+prakhar+share+search+video animation,mobile+dashboard
5727606,ios+login+pink+register+signin+signup+signup form,register+signin+signup+ios+signup form+pink,mobile+pink
5019261,form+gradient+illustration+interface+iphone+landing+logo+minimal+mobile+people+product+responsive+signup+sign up+ui+user interface+ux+web+web design+website,form+interface+gradient+product+ux+mobile+illustration+people+web design+signup+website+responsive+ui+landing+logo+simple,mobile+website+form+music
5023981,app+branding+character+dailyui+design+flat+icon+illustration+logo+onboarding+signup+signup form+typography+ui+ux+vector+web+website,signup form+typography+flat+branding+ux+mobile+illustration+logo+onboarding+character+signup+website+vector+ui+design+icon,mobile+website
3605489,category+dropdown+event+form+input+select+step. signup+subcategory+web+wizard,step. signup+form+input+website+event+wizard+dropdown+select+category+subcategory,mobile+website+form
5756582,fill form+flow+form+form progress+party+progress bar+signup+tool bar,party+form+tool bar+form progress+flow+fill form+progress bar+signup,mobile+form
4202044,colorful+fintech+form+interactive+signup,form+interactive+fintech+signup+colorful,mobile+form+checkout
5393215,adaptive design+admin login+admin ui+clean+dashboard login+easy to use+form+interactive+landing+login+mobile+motion+responsive+sign design+signup+social login+user interface+ux+webs+website,form+dashboard login+motion+easy to use+responsive+simple+adaptive design+social login+ux+admin login+signup+ui+interactive+webs+admin ui+landing+mobile+website+sign design,mobile+website+form
5932134,forgot password+form+home+homepage+login+login process+logo+minimal design+signup+typography+ui+webpage,form+typography+homepage+home+login process+minimal design+signup+website+ui+logo+forgot password,mobile+website+form
5260815,sign up form+ui+ux+web,ux+ui+sign up form+website,mobile+website
2804008,add+create+illustration+login+mac+question+response+signup+table,add+mac+illustration+create+table+response+signup+question,mobile
5189936,clean+clear+crm+dailyui+design+green+login+login form+loginpage+login page+login screen+minimal+sign in+sign in page+signup+ui+userinterface+user interface+web+welcome screen,sign in page+userinterface+website+loginpage+crm+clear+login form+login page+login screen+green+welcome screen+signup+sign in+ui+design+simple,mobile+website+green
6591044,concept+dailyui+design+firstshot+form+interface+minimal+signup+swiss+typography+ui+ux+web+webdesign,form+typography+interface+concept+swiss+ux+simple+webdesign+signup+website+ui+design+firstshot,mobile+website+form
6808948,design+electricity+flat+form+hero+illustration+login+minimal+page+register+signup,register+form+design+illustration+hero+signup+page+flat+electricity+simple,mobile+form
3426425,design+form+interface+process+signup+steps+ui+ux,form+interface+process+ux+steps+signup+ui+design,mobile+form
4184581,app+button+clean+design+form+icons+illustration+landing+light+login+logo+minimal+page+password+signin+signup+slack+ui+ux+widget,form+signin+password+landing+icons+mobile+illustration+slack+ux+widget+button+light+signup+page+ui+design+logo+simple,mobile+form
5094986,design+flow+form+illustration+input+register+signup+steps+ui+ux+web,register+form+input+ux+illustration+flow+steps+signup+website+ui+design,mobile+website+form
4198974,illustration+input field+login+nerdy guy+registration form+sign in+signup+startup marketing website+ui+ux+workplace+workspace,nerdy guy+workplace+workspace+input field+startup marketing website+registration form+ux+illustration+signup+ui+sign in,mobile
4765503,animation+data form+data visualization+health+hospital+increasing compliance+medical+monitor+register+signup+system interface+ui ux,register+system interface+data visualization+increasing compliance+data form+medical+ui ux+health+signup+animation+monitor,mobile
5636383,2019+dailyui 001+design+landing page+rending+signup+sign up+sign up form+sign up page+ui+uichallange+uipractice+ux+uxdesign,uichallange+rending+uipractice+design+uxdesign+ux+sign up page+2019+dailyui 001+signup+sign up form+ui+landing,mobile+landing
5456752,color+create account+design+dribbble+home page+invite+landing+landing page+login+loginpage+login page+login screen+register+signup+signup form+signup page+typography+ui+ux+web,register+color+invite+signup form+home page+typography+loginpage+login page+login screen+signup page+landing+ux+ui+signup+website+create account+design+dribbble,mobile+website+landing
4580928,abstract minimal+communication web+form design ux+getstarted+login request+message app+signup chat+startup website app+team card pattern+ui+uidesign illustration+website demo team,website demo team+signup chat+uidesign illustration+team card pattern+login request+abstract minimal+getstarted+communication web+message app+form design ux+ui+startup website app,mobile+blue
4398361,001+dailyui+daily ui+dark+form+interface+signup+sign up+ui+ux+web+website,form+001+interface+black+ux+signup+website+ui,mobile+website+form+landing+travel+music+black
