id,origin,normalize,predict
6553424,app+banking+chart+charts+clean+colors+craftwork+finance+financing+illustration+ios+minimal+product+ui+uidesign+ux+wallet,ui+craftwork+ux+finance+chart+illustration+charts+ios+mobile+product+colors+simple+financing,mobile+chart+finance
5923205,analytics+app+card+chart+crypto+cryptocurrency+dashboard+finance+financial+fintech+graph+market+payment+profile+sales+statistics+trade+trading+transactions+widelab,profile+widelab+graph+trade+analytics+statistics+checkout+sales+dashboard+card+fintech+cryptocurrency+market+crypto+finance+trading+transactions+chart+mobile,mobile+chart+dashboard+profile+checkout+finance
6512175,bank+bar+chart+dashboard+finance+fintech+gauge+graph+illustration+line+perfomance+social+statistics+stats+ui+ux,ui+perfomance+social+ux+dashboard+finance+chart+fintech+graph+bar+gauge+stats+illustration+statistics+line,mobile+chart+dashboard+finance
6569168,app+banking+chart+charts+clean+colors+craftwork+finance+financing+illustration+ios+minimal+product+ui+uidesign+ux+wallet,ui+craftwork+ux+finance+chart+illustration+charts+ios+mobile+product+colors+simple+financing,mobile+chart+finance
6424357,app+bank app+bank card+banking+banking app+bar chart+business+clean design+filter+finance app+fintech+interface+mobile+mobile app+payment+spendings+statistics+ui ux+ux design,bank card+ui ux+finance+website+spendings+filter+fintech+business+clean design+bar chart+mobile+statistics+ux design+checkout+interface,mobile+website+checkout+finance
3768342,bank+chart+cryptocurrency+dashboard+finance+financial+fintech+gauge+graph+map+statistics+stats,dashboard+finance+chart+fintech+graph+map+cryptocurrency+gauge+stats+statistics,mobile+chart+dashboard+finance
6274883,balance+bank account+bank card+calendar+cards+chart+design system+finance app+fintech+interface+management app+mobile+payment+prepaid+product design+statistics+subscribe+subscription+subscriptions+ux design,cards+website+calendar+product design+bank account+statistics+checkout+balance+fintech+subscriptions+ux design+prepaid+subscribe+mobile+subscription+bank card+finance+management app+chart+design system+interface,mobile+website+chart+checkout+finance
6900561,app+chart+clean+dark+dark mode+dark ui+design+finance+icons+landing+landing page+minimal+product+shadow+task+task manager+typogaphy+ui+ux+wallet,ui+ux+dark ui+dark mode+black+design+finance+product+shadow+chart+task+task manager+landing+mobile+typogaphy+icons+simple,mobile+chart+landing+finance+black
6481817,bank app+banking+banking app+bar chart+business+expenses+filter+finance app+fintech+interface+mobile+payment+spendings+statistics+subscriptions+transactions+ux design,transactions+mobile+finance+website+spendings+filter+fintech+business+subscriptions+bar chart+expenses+statistics+ux design+checkout+interface,mobile+website+checkout+finance+music+blue
6767882,animation+app+bank app+bank card+banking+banking app+bar chart+business+design system+filter+finance app+fintech+mobile+mobile app+payment+product design+statistics+ui ux+ux design+video,bank card+ui ux+animation+finance+website+filter+fintech+business+design system+video+product design+bar chart+mobile+statistics+ux design+checkout,mobile+website+checkout+finance
5917859,animation+chart+dashboard+design+design tools+finance+graph+interaction+invision+invisionstudio+invision studio+slider+stock+transition,stock+dashboard+design+animation+finance+slider+design tools+chart+interaction+graph+invision+invision studio+transition+invisionstudio,website+chart+dashboard+finance
3816341,bar chart+dashboard+finance+financial+gauge+graph+icons+onboarding+progress bar+statistics+stats+steps,onboarding+dashboard+steps+finance+graph+bar chart+gauge+icons+stats+statistics+progress bar,mobile+dashboard+finance
4140677,bank+chart+cryptocurrency+dashboard+finance+financial+fintech+gauge+graph+robo advisor+statistics+stats,dashboard+finance+chart+fintech+graph+cryptocurrency+gauge+stats+statistics+robo advisor,mobile+chart+dashboard+finance
6025715,app onboarding process+artificial intellegence+banking marketing finance+chatbot smart onboarding+iphone xs mockup+line chart sinemagraph+line particles animation+mobile application development+particles motion effect+ui ux design+user interface experience+visual interface feedback+voice human recognition+voice input process,line chart sinemagraph+voice input process+banking marketing finance+app onboarding process+line particles animation+chatbot smart onboarding+user interface experience+visual interface feedback+artificial intellegence+particles motion effect+mobile application development+ui ux design+iphone xs mockup+voice human recognition,website
6392487,balance+bank+bank account+bank app+bank card+banking+cards+chart+design system+finance app+fintech+mobile+payment+product design+save money+statistics+style guide+ui+ux design+vault,ui+vault+bank card+balance+cards+finance+website+save money+chart+fintech+design system+product design+bank account+mobile+statistics+style guide+checkout+ux design,mobile+website+chart+checkout+finance
6037420,analitycs+app+chart+coral+dashbord+expense manager+finance+finance app+fin tech+flow+flow chart+graph+ios 12+mobile+money+react native+report+ui+ux+wizard,analitycs+react native+website+graph+money+fin tech+ios 12+finance+report+dashbord+flow chart+ui+ux+chart+coral+wizard+flow+mobile+expense manager,mobile+website+chart+finance
6754295,app+banking+blue+budget+chart+clean+finance+graphic+interface+ios+mobile+mobile app+mobile design+money+product+product design+responsive+ui+ux+white,ui+budget+money+ux+responsive+white+finance+graphic+website+chart+blue+ios+product design+mobile+product+simple+interface,mobile+website+chart+finance+white+blue
6917658,bitcoin+blockchain+chart+contract trading+crypto+cryptocurrency+currency+ethereum+finance+fintech+investment+ios+mobile+product page+trading+ui+ux+web+web design,ethereum+contract trading+website+blockchain+bitcoin+fintech+investment+ios+cryptocurrency+currency+crypto+finance+trading+product page+ui+ux+chart+web design+mobile,mobile+website+chart+finance
6730959,analytics+banking+chart+clean+dashboad+finance+graphic+interface+minimal+product+product design+purple+statistics+stats+ugem+ui+ux+web+web design,ui+ux+ugem+finance+graphic+website+chart+analytics+product design+interface+purple+product+stats+web design+simple+statistics+dashboad,mobile+website+chart+dashboard+finance
6414322,bank app+bank card+banking+banking app+bar chart+business+clean design+filter+finance app+fintech+interface+mobile+payment+product design+spendings+statistics+ui ux+ux design,bank card+ui ux+finance+website+spendings+filter+fintech+business+clean design+bar chart+interface+product design+ux design+checkout+statistics+mobile,mobile+website+checkout+finance
6550632,app+application+chart+clean+finance+interface+ios+iphone x+layout+minimal+mobile+product+prototype+simple+tab bar+transactions+typography+ui+ux+wireframe,ui+transactions+ux+typography+tab bar+layout+finance+website+wireframe+prototype+chart+iphone x+ios+interface+product+simple+mobile,mobile+website+chart+finance
3850576,bank+chart+cryptocurrency+dashboard+finance+financial+fintech+gauge+graph+map+statistics+stats,dashboard+finance+chart+fintech+graph+map+cryptocurrency+gauge+stats+statistics,mobile+chart+dashboard+finance
