id,origin,normalize,predict
6914699,app+chart+dashboard+energy+gauge+graph+home+house+indicator+ios+real estate+remote+rent+statistics+stats+tablet+temperature+ui+ux+web,rent+energy+graph+ux+gauge+mobile+tablet+indicator+ui+weather+chart+ios+remote+real estate+home+statistics+stats+house+website+dashboard,mobile+website+chart+dashboard+weather
6104124,android+app+card+chart+courses+graphic+icon+illustration+ios+isometric+learn+lesson+people+social+typography+ui+uidesign+video+widget,ios+social+people+courses+graphic+typography+widget+android+lesson+illustration+learn+icon+isometric+ui+video+mobile+card+chart,mobile+chart
6473469,abstact+app+cards+chart+clean+colors+gradient+icons+ios+mobile+tabbar+toolbar+ui+ui design,cards+ios+toolbar+colors+simple+tabbar+website+ui+icons+mobile+gradient+abstact+chart,mobile+website+chart
5558321,android+app+branding+card+chart+clean+dashboard+design+desktop+illustration+ios+landing+light+menu+mobile+profile+typography+ui+web+website,ios+typography+landing+design+android+menu+branding+simple+profile+illustration+desktop+website+ui+dashboard+mobile+light+card+chart,mobile+website+chart+dashboard+profile
6379476,app+cards+chart+dashboard+design+gradient+graph+icons+illustration+ios+mobile+pantone+pastel+social+stats,cards+ios+pastel+social+pantone+design+illustration+website+stats+graph+icons+dashboard+mobile+gradient+chart,mobile+website+chart+dashboard
6553424,app+banking+chart+charts+clean+colors+craftwork+finance+financing+illustration+ios+minimal+product+ui+uidesign+ux+wallet,ios+finance+charts+colors+simple+craftwork+financing+illustration+ui+ux+mobile+product+chart,mobile+chart+finance
6373241,app design+color bars chart+concept app+e-commerce app+iphone xs ios+mobile app design+san francisco+scooter rental app+smart home dashboard+support concept+ui+ui designer+ui ux design+user experience designer+user interface design+ux+visual interface application,visual interface application+scooter rental app+support concept+concept app+smart home dashboard+ui ux design+e-commerce app+ux+san francisco+color bars chart+ui+mobile app design+user experience designer+mobile+ui designer+iphone xs ios,mobile
6569168,app+banking+chart+charts+clean+colors+craftwork+finance+financing+illustration+ios+minimal+product+ui+uidesign+ux+wallet,ios+finance+charts+colors+simple+craftwork+financing+illustration+ui+ux+mobile+product+chart,mobile+chart+finance
6538676,app+cards+chart+dashboard+design+gradient+graph+icons+ios+mobile+products+stats,cards+ios+design+products+website+stats+graph+icons+dashboard+mobile+gradient+chart,mobile+website+chart+dashboard
6807868,app+cards+chart+commerce+gradient+graph+icons+illustration+ios+material+mobile+sales+social+stats+ui+web,cards+ios+social+material+ecommerce+illustration+sales+website+stats+graph+icons+ui+mobile+gradient+chart,mobile+website+chart+ecommerce
5992899,android+app+cards+chart+dashboard+gradient+graph+icons+illustration+illustrations+ios+kit+mobile+social+stats+ui+vector+web,cards+ios+social+android+kit+vector+illustration+illustrations+website+stats+graph+icons+ui+dashboard+mobile+gradient+chart,mobile+website+chart+dashboard
6961283,app+chart+fireart+fireart studio+health+healthcare+ios+medical+medicine+mobile+pills+schedule+steps+ui+ux,ios+fireart+health+ux+pills+medical+website+steps+ui+schedule+fireart studio+mobile+chart,mobile+website+chart
6709325,app+chart+dashboard+gradient+graph+icons+illustration+illustrations+ios+mobile+social+ui,ios+social+illustration+illustrations+website+graph+icons+ui+dashboard+mobile+gradient+chart,mobile+website+chart+dashboard
5047666,analytics+cards+chart+details+discover+gradient+graph+icons+ios11+mobile+stats+trend,cards+analytics+trend+website+stats+graph+icons+details+mobile+gradient+discover+chart,mobile+website+chart
