id,origin,normalize,predict
6120171,app+buy+card+cart+category+cuberto+design+ecommerce+food+icons+illustration+ios+mobile+order+payment+shopping+ui+ux,design+ios+cart+order+buy+ux+icons+illustration+card+checkout+ui+food+website+ecommerce+cuberto+category+mobile+shopping,mobile+website+checkout+food+ecommerce
6945782,animation+app+bicycle+bike+card+cart+clean+ecommerce+interaction+minimal+motion+product design+shop+simple+smooth+store+ui+ux+website+wheels,animation+shop+bicycle+cart+ux+website+motion+wheels+card+product design+simple+ui+interaction+bike+ecommerce+store+mobile+smooth,mobile+website+ecommerce
5899545,add to cart+animation+app+concept+ecommerce+interaction+ios+minimal+motion+product+shop+store+ui+ux,animation+shop+ios+ux+motion+product+add to cart+simple+ui+store+interaction+ecommerce+concept+mobile,mobile+ecommerce
6794395,app+card+dashboard+data+design+dropbox+ecommerce+google+interface+management+mobile+product+project+statistics+storages+ui+ux,dropbox+design+dashboard+ux+data+product+statistics+project+interface+google+storages+card+management+ui+website+ecommerce+mobile,mobile+website+dashboard+ecommerce
6592690,buy+cart+cuberto+dashboard+delivery+design+dish+ecommerce+food+graphics+illustration+menu+platform+product design+ui+ux+web+web design,dish+design+dashboard+delivery+cart+ux+buy+illustration+menu+web design+product design+platform+ui+food+graphics+website+ecommerce+cuberto,mobile+website+dashboard+food+ecommerce
5781295,animation+branding+design+drink+ecommerce+graphic design+identity+interaction+interface+motion+product card+tea+tea shop+typography+ui+user experience+ux+web+webdesign+website,design+ux+identity+typography+tea+user experience+food+branding+tea shop+animation+interface+webdesign+interaction+product card+ui+website+graphic design+motion+ecommerce,mobile+website+food+ecommerce
6814483,2019 trend+app design+application+cart+dark app+dark ui+ecommerce app+lamp+light+minimal+product+trendy+ui+uiux+user interface design+ux,2019 trend+lamp+cart+ux+product+trendy+ecommerce app+mobile+simple+ui+light+dark app+dark ui,mobile
5994876,app+app concept+app design+bike+detail+ecommerce+ecommerce app+inspiration+interaction+ios+minimalist+store+ui+ui design+ux+ux design,app concept+ios+ux+interaction+inspiration+ux design+ui+detail+ecommerce app+bike+ecommerce+minimalist+store+mobile,mobile+ecommerce
6226925,2019+app+awsmd+book+book app+bookstore+clean+creative+design+ecommerce+interaction+interface+landing page+layout+minimal+product+profile+store+typography+ui,layout+creative+design+store+profile+product+interface+book+typography+simple+ui+2019+awsmd+interaction+book app+ecommerce+landing+mobile,mobile+profile+landing+ecommerce
6579816,after effects ae motion+animation+basket bag+checkout purchase buy add item+ecommerce shop e-commerce store+line icons+material ui ux+mobile+mobile app iphone nike+product design+pull down shopping cart+purchase interaction+sketch+white green clean style,checkout purchase buy add item+sketch+animation+white green clean style+after effects ae motion+basket bag+mobile app iphone nike+product design+ecommerce shop e-commerce store+purchase interaction+line icons+website+material ui ux+mobile+pull down shopping cart,mobile+website
6361875,app+calories+cards+design+durian+ecommerce+food+fruit+fruit app+fruits+interface+interface design+ios+nutrition+shop+store+summer+typography+ui+ux,design+shop+ios+ux+nutrition+durian+typography+fruits+food+interface design+mobile+summer+fruit+interface+fruit app+calories+cards+ui+store+ecommerce,mobile+food+ecommerce
5779921,app+ar+augmentedreality+augmented reality+cart+ecommerce+ecommerce shop+elegant+furniture store+lamp+luxury brand+minimal+modern+shop+shop app+ui+ux,shop+lamp+cart+ar+shop app+ux+elegant+modern+augmentedreality+ecommerce shop+augmented reality+luxury brand+furniture store+simple+ui+ecommerce+mobile,mobile+ecommerce+music
6582110,cuberto+design+ecommerce+graphics+icons+map+medicine+online+pharmacy+portal+product design+search+store+ui+ux+web+web design+website,design+medical+online+portal+search+ux+icons+web design+product design+ui+store+graphics+website+ecommerce+cuberto+map,mobile+website+ecommerce
6053132,catalog page+decor+design+ecommerce+furniture+graphic design+home+interaction design+interface+interior design+minimalism+online shopping+room+ui+user experience+user interface+ux+web+web design+website,design+room+minimalism+ux+home+furniture+interior design+interface+online shopping+decor+interaction design+ui+user experience+web design+website+ecommerce+catalog page+graphic design,mobile+website+travel+ecommerce
6470190,animations+app design+design+detail+ecommerce+ecommerce app+ecommerce business+ecommerce design+ecommerce shop+home app+inspiration+interaction+ios+minimalist+store app+store design+ui+ui ux+ux+ux design,design+ios+ux+ecommerce shop+minimalist+mobile+store design+inspiration+interaction+ecommerce app+ecommerce design+store app+ux design+ui+ui ux+animations+ecommerce business+detail+home app+ecommerce,mobile+ecommerce
6256499,app+art+blog illustration+character+character design+creative agency+creative design+design+design studio+digital art+digital painting+flat+graphic design+illustration+interface+iphone+mobile+ui ux+user experience+vector,design+character design+user experience+creative agency+mobile+art+interface+flat+design studio+blog illustration+creative design+website+graphic design+digital painting+ui ux+illustration+digital art+vector+character,mobile+website
6714974,banner+boutique+brand+clothing+cuberto+design+dresses+ecommerce+fashion+festival+graphics+icons+online+shop+store+ui+ux+web+women,boutique+design+shop+brand+online+ux+website+icons+festival+women+ui+fashion+store+graphics+banner+ecommerce+cuberto+dresses,mobile+website+ecommerce
6378880,basket favourite login header+cards deck dropdown+covers preview cards+ecommerce+footer+game xbox play station+home page banner+login area+offer sort switcher+play button+price range bar+product filter range+website footer cart,login area+offer sort switcher+price range bar+footer+play button+cards deck dropdown+website footer cart+game xbox play station+basket favourite login header+home page banner+product filter range+ecommerce+covers preview cards,mobile+ecommerce
