id,origin,normalize,predict
6579816,after effects ae motion+animation+basket bag+checkout purchase buy add item+ecommerce shop e-commerce store+line icons+material ui ux+mobile+mobile app iphone nike+product design+pull down shopping cart+purchase interaction+sketch+white green clean style,basket bag+white green clean style+line icons+product design+checkout purchase buy add item+pull down shopping cart+ecommerce shop e-commerce store+animation+sketch+mobile+purchase interaction+material ui ux+website+mobile app iphone nike+after effects ae motion, 
6256499,app+art+blog illustration+character+character design+creative agency+creative design+design+design studio+digital art+digital painting+flat+graphic design+illustration+interface+iphone+mobile+ui ux+user experience+vector,vector+mobile+interface+digital art+character design+iphone+graphic design+creative design+creative agency+character+user experience+art+ui ux+blog illustration+design+website+design studio+digital painting+flat+illustration+app, 
6332567,app design+concept app+detail+ecommerce+home app+inspiration+interaction+ios+iosapps+iphone x+minialista+minimalist+rental app+scooter+travel app+ui+ui design+user interface+ux+ux design,concept app+iosapps+app design+inspiration+mobile+scooter+minimalist+ux+detail+iphone x+interaction+ios+user interface+travel app+ux design+ui+ui design+minialista+ecommerce+home app+travel+rental app,travel+ecommerce
6482066,app+backpacks+cart+checkout+clothing+color+ecommerce+fashion+ios+iphone+iphone x+minimal+mobile+product design+sketch+ui+ux,product design+mobile+simple+ux+clothing+iphone+iphone x+color+ios+backpacks+fashion+ui+website+minimal+sketch+ecommerce+checkout+cart+app,checkout+ecommerce
5844328,android+blue+button+buy+chair+chairs+design+eccommerce+ecommerce app+estore+ios+iphone+iphone x+mobile+red+shop+store+typography+ui+ux,shop+estore+blue+buy+mobile+ux+red+store+iphone+chairs+iphone x+ios+typography+eccommerce+chair+design+website+ui+android+button+ecommerce app,blue+red
6277034,after-effects+animation+design+illustration+iphone+motion+motion-design+motiongraphics+ui8+vector,vector+motion+animation+ui8+iphone+illustration+mobile+motion-design+motiongraphics+design+after-effects, 
6740286,app+application+cream+ecommerce+food+home+icecream+ice cream+iphone+iphone x+log in+mobile+order+pastel+screen+shop+sign in+topping+ui+welcome,order+shop+icecream+log in+pastel+mobile+food+iphone+iphone x+ice cream+home+screen+website+cream+ui+signup+application+sign in+topping+ecommerce+welcome+app,food+ecommerce
6468044,ar app+artificial intelligence+ar watch app augmentedreality+augmented reality+ecommerce shop ar+iphone x app+luxury ar watch+luxury ar watch app concept+luxury brand+luxury branding+luxury online application design+machine learning+minimal mobile design ui+modern recognition+stop digital toolbox ui+ui ux designer watch app+watch app ar+watch for sell,artificial intelligence+luxury brand+luxury branding+ecommerce shop ar+ar watch app augmentedreality+luxury ar watch+machine learning+stop digital toolbox ui+ui ux designer watch app+iphone x app+luxury ar watch app concept+minimal mobile design ui+modern recognition+watch for sell+watch app ar+luxury online application design+ar app+augmented reality, 
6864576,app+app design+application+delivery+ecommerce+flavor+food+ice cream+iphone+iphone x+mobile+mobile app+order+pastel+shopping+sign in+slider+ui+vanilla+welcome,app design+order+pastel+mobile+food+delivery+flavor+iphone+iphone x+ice cream+slider+shopping+mobile app+ui+website+application+sign in+ecommerce+vanilla+welcome+app,food+ecommerce
5455809,animation+app+design+design studio+ecommerce+flat+flower+interaction+interface+ios+iphone+mobile+motion+ui+ux,ux+interface+flower+flat+ios+ui+motion+animation+ecommerce+iphone+mobile+interaction+design+website+design studio+app,ecommerce
