id,origin,normalize,predict
6197979,blue+carsharing+clean+green+homepage+landing page+layout+minimal+product+startup+web+website,product+website+layout+carsharing+landing+startup+simple+homepage+green+blue,mobile+website+landing+green+blue
6495457,blue+clean+gradient+homepage+landing page+layout+minimal+purple+real estate+ui+ux+web+website,website+layout+purple+ui+landing+ux+gradient+real estate+simple+homepage+blue,mobile+website+landing+blue
5938105,blue+character+header+hero illustration+illustration+landing page+ocean+ui+uidesign+uiux+web+website,illustration+website+ocean+hero illustration+ui+landing+header+character+blue,mobile+website+landing+blue
4345319,bitcoin+blue+crypto+game+gradient+icon+illustration+isometric+landing+truck+ui+website,illustration+isometric+crypto+website+bitcoin+icon+ui+landing+gradient+truck+blue+game,mobile+website+game+blue
6355659,agency+blue+cards+designer+instagram+lander+landing+social+web+webdesign+website,lander+website+cards+agency+landing+webdesign+social+designer+blue,mobile+website+blue
6898693,blue+character+cryptocurrency+crypto exchange+crypto wallet+flat design+flat illustration+header+hero illustration+homepage+illustration+landing page+purple+ui+uidesign+uiux+vector+web+website,flat illustration+flat+illustration+cryptocurrency+website+hero illustration+purple+landing+ui+header+character+homepage+vector+crypto wallet+crypto exchange+blue,mobile+website+landing+blue
4612709,blue+gradient+icon+illustration+isometric+landing+page+taxi+ui+web+website,illustration+isometric+website+icon+page+ui+landing+gradient+taxi+blue,mobile+website+landing+blue
4764835,blue+card+designer+hatch+homepage+illustration+landing+shadow+site+webpage+website+white,hatch+illustration+shadow+site+white+website+landing+card+homepage+designer+blue,mobile+website+white+blue
6380176,android+app+blue+branding+card+chart+clean+dashboard+design+football app+illustration+ios+isometric+landing+menu+mobile+onboarding+ui+ux+website,mobile+onboarding+simple+blue+illustration+isometric+landing+football app+branding+android+chart+design+website+ui+ux+dashboard+ios+menu+card,mobile+website+chart+dashboard+blue
6334819,blue+design+exhibition+illustration+landing+minimal+stand+typography+ui+ux+vector+web+website,design+illustration+typography+website+stand+exhibition+ui+ux+landing+simple+vector+blue,mobile+website+blue
4371726,blue+bug+designer+homepage+iphone+landing+minimal+site+webpage+website+white,site+bug+website+white+mobile+landing+simple+homepage+designer+blue,mobile+website+white+blue
6120455,app+article+blog+blue+card+chart+clean+dashboard+illustration+image+ios+landing page+light+logo+mobile+phone+profile+typography+ui+website,mobile+simple+blue+image+illustration+article+landing+phone+social+chart+profile+website+ui+dashboard+light+ios+typography+logo+card,mobile+website+chart+dashboard+profile+landing+blue
5715725,blue+clean+homepage+landing page+layout+product+purple+ui+ux+web+webdesign+website,product+website+purple+ui+landing+ux+webdesign+homepage+simple+layout+blue,mobile+website+landing+blue
6695932,animation+blue+building+button+cake+city+design+illustration+illustrator+interaction+interaction design+landing+motion+orange+typography+ui+ux+web+web design+website,city+building+blue+interaction design+illustration+button+landing+food+animation+design+yellow+motion+website+ui+ux+typography+web design+illustrator+interaction,mobile+website+landing+food+blue+yellow
6535116,blue+charity+funding+fundraising+gift+green+header+hero illustration+illustration+landing+landing page+ramadan+ui design+uiux+website,funding+illustration+fundraising+website+charity+hero illustration+ui+landing+gift+header+ramadan+green+blue,mobile+website+landing+green+blue
6765769,blue+design+designer+homepage+landing page+mobile app development company+monochrome+photoshop+ui+ui design+ux design+web development company india+website+website design,monochrome+design+website+mobile app development company+ui+landing+ux design+web development company india+homepage+designer+photoshop+blue,mobile+website+landing+blue
5927214,blue+design+interface+landing page+mobile+significa+ui+ux+website+white,design+interface+white+website+mobile+ui+ux+landing+blue+significa,mobile+website+landing+white+blue
4011204,blue+desktop+illustration+illustrator+japan+landing page+travel+vector+website,desktop+illustration+website+illustrator+japan+landing+travel+vector+blue,mobile+website+landing+travel+blue
5918924,b2b+blockchain+blue+character+contact+homepage+icon+illustration+isometric+landing page+mobile+orange+platform+shop+ui+webdesign+website,platform+illustration+isometric+yellow+website+icon+mobile+ui+landing+webdesign+character+contact+blockchain+homepage+shop+blue+b2b,mobile+website+landing+blue+yellow
6868444,above the fold+blue+header+hero+home+homepage+illustration+landing+meeting+page+patients+purple+site+slider+top+ui+ux+web+website+widelab,home+meeting+patients+top+blue+hero+illustration+slider+above the fold+purple+landing+website+ui+ux+widelab+site+page+header+homepage,mobile+website+blue
6521389,beauty+blue+class room+clean+creative+design+drawing+exam+green+icons+illustration+landing page+learning+minimal+student+ui+ux+web+website+website design,student+creative+design+beauty+exam+illustration+website+learning+ui+class room+landing+ux+simple+drawing+green+icons+blue,mobile+website+landing+green+blue
5732324,blue+clean+illustration+interface+iphone+landing page+mobile+significa+ui+website+white,illustration+interface+white+website+mobile+ui+landing+simple+blue+significa,mobile+website+landing+white+blue
6623682,agency+blue+branding+brands+card+clean+creative+digital+homepage+landing page+photography+pop+portfolio+simple+studio+ui+ux+website+white+works,digital+agency+simple+blue+white+studio+landing+works+branding+website+ui+ux+brands+photography+portfolio+creative+card+homepage+pop,mobile+website+landing+white+blue
5646346,app+application+blue+blur+clean+colors+dashboard+design+digital+gradient+illustration+landing+minimal+round+shadow+typography+ui+ux+vector+white,design+colors+illustration+shadow+typography+white+digital+mobile+ui+ux+landing+dashboard+gradient+blur+simple+vector+round+blue,mobile+dashboard+white+blue
5222134,blue+design+icon+illustration+landing page+netguru+product design+typography+ui+vector+webdesign+website design,design+illustration+typography+website+icon+ui+landing+netguru+webdesign+vector+product design+blue,mobile+website+landing+blue
6686540,app+black+blue+branding+clean+design+flat+gradient+illustration+landing+logo+minimalistic+planet+space+typography+ui+ux+web+website+white,black+design+flat+illustration+space+planet+typography+website+white+mobile+logo+ui+landing+ux+gradient+simple+branding+blue,mobile+website+black+white+blue
6385932,android+app+blue+card+chart+clean+dashboard+design+desktop+football app+illustration+ios+isometric+landing+menu+mobile+onboarding+profile+typography+website,desktop+mobile+onboarding+simple+blue+illustration+isometric+landing+football app+android+chart+design+profile+website+dashboard+ios+menu+typography+card,mobile+website+chart+dashboard+profile+blue
6010774,customer help center+dark blue white colors+iungo website design+landing page interface+minimal clean layout+mockups illustrations+promotion marketing integration+small icon topic+uiux+user and data analization+user interface user experience+visual page layout design+wifi networking platform,minimal clean layout+wifi networking platform+landing page interface+promotion marketing integration+visual page layout design+mockups illustrations+ui+iungo website design+dark blue white colors+user and data analization+user interface user experience+small icon topic+customer help center,mobile+dashboard
4768433,blue+card+designer+features+hatch+illustration+landing+shadow+site+webpage+website+white,hatch+illustration+shadow+site+white+website+landing+card+features+designer+blue,mobile+website+landing+white+blue
5552193,blue+clean+color+colors+design+digital+elegant+gradient+illustration+juicy+landing+layout+simple+typography+ui+website,elegant+design+colors+illustration+color+typography+digital+website+ui+landing+gradient+simple+juicy+layout+blue,mobile+website+landing+blue
5658937,app+blue+clean+clean app landing+colors+digital+elegant+flat+gradient+illustration+juicy+layout+minimal+shadow+simple+ui+uidesign+vector,elegant+flat+colors+illustration+shadow+digital+mobile+ui+gradient+simple+juicy+clean app landing+vector+layout+blue,mobile+blue
