id,origin,normalize,predict
6579816,after effects ae motion+animation+basket bag+checkout purchase buy add item+ecommerce shop e-commerce store+line icons+material ui ux+mobile+mobile app iphone nike+product design+pull down shopping cart+purchase interaction+sketch+white green clean style,after effects ae motion+animation+material ui ux+line icons+pull down shopping cart+product design+purchase interaction+mobile+checkout purchase buy add item+white green clean style+sketch+ecommerce shop e-commerce store+basket bag+website+mobile app iphone nike,mobile+website
6256499,app+art+blog illustration+character+character design+creative agency+creative design+design+design studio+digital art+digital painting+flat+graphic design+illustration+interface+iphone+mobile+ui ux+user experience+vector,flat+digital art+design+ui ux+interface+graphic design+user experience+blog illustration+creative agency+art+character+mobile+design studio+character design+vector+creative design+illustration+website+digital painting,mobile+website
6332567,app design+concept app+detail+ecommerce+home app+inspiration+interaction+ios+iosapps+iphone x+minialista+minimalist+rental app+scooter+travel app+ui+ui design+user interface+ux+ux design,ios+minimalist+home app+inspiration+ui+iosapps+detail+ecommerce+rental app+ux design+concept app+mobile+interaction+ux+travel+scooter+minialista+iphone x,mobile+travel+ecommerce
6482066,app+backpacks+cart+checkout+clothing+color+ecommerce+fashion+ios+iphone+iphone x+minimal+mobile+product design+sketch+ui+ux,ios+color+fashion+backpacks+sketch+ui+ecommerce+mobile+cart+checkout+ux+iphone x+simple+website+product design,mobile+website+checkout+ecommerce
5844328,android+blue+button+buy+chair+chairs+design+eccommerce+ecommerce app+estore+ios+iphone+iphone x+mobile+red+shop+store+typography+ui+ux,shop+blue+design+chair+store+estore+ui+ux+eccommerce+android+buy+mobile+iphone x+ecommerce app+typography+ios+button+chairs+red+website,mobile+website+blue+red
6277034,after-effects+animation+design+illustration+iphone+motion+motion-design+motiongraphics+ui8+vector,animation+motion-design+motion+ui8+design+mobile+motiongraphics+vector+illustration+after-effects,mobile
6740286,app+application+cream+ecommerce+food+home+icecream+ice cream+iphone+iphone x+log in+mobile+order+pastel+screen+shop+sign in+topping+ui+welcome,order+shop+ui+pastel+ecommerce+home+mobile+ice cream+food+signup+sign in+cream+topping+screen+icecream+iphone x+welcome+website,mobile+website+food+ecommerce+pink
6468044,ar app+artificial intelligence+ar watch app augmentedreality+augmented reality+ecommerce shop ar+iphone x app+luxury ar watch+luxury ar watch app concept+luxury brand+luxury branding+luxury online application design+machine learning+minimal mobile design ui+modern recognition+stop digital toolbox ui+ui ux designer watch app+watch app ar+watch for sell,ui ux designer watch app+machine learning+minimal mobile design ui+watch app ar+luxury branding+luxury online application design+stop digital toolbox ui+iphone x app+ar app+watch for sell+luxury ar watch app concept+artificial intelligence+ecommerce shop ar+luxury ar watch+modern recognition+luxury brand+augmented reality+ar watch app augmentedreality,mobile
6864576,app+app design+application+delivery+ecommerce+flavor+food+ice cream+iphone+iphone x+mobile+mobile app+order+pastel+shopping+sign in+slider+ui+vanilla+welcome,order+delivery+ui+pastel+ecommerce+slider+flavor+vanilla+mobile+ice cream+food+sign in+shopping+welcome+iphone x+website,mobile+website+food+ecommerce
5455809,animation+app+design+design studio+ecommerce+flat+flower+interaction+interface+ios+iphone+mobile+motion+ui+ux,animation+flower+ios+motion+flat+ui+ecommerce+design+mobile+interaction+ux+website+design studio+interface,mobile+website+ecommerce
5722878,app+cart+clothing+color+ecommerce+fashion+iphone+minimal+mobile+sketch+tshirt+ui+ux,color+fashion+ui+tshirt+ecommerce+mobile+cart+ux+sketch+simple+website,mobile+website+ecommerce
6743911,app+application+cream+ecommerce+flavor+food+icecream+ice cream+iphone+iphone x+mobile+order+pastel+pink+screen+topping+ui+vanilla,order+ui+pink+pastel+ecommerce+flavor+vanilla+mobile+ice cream+food+cream+topping+screen+icecream+iphone x+website,mobile+website+food+ecommerce+pink
5579955,adobe+adobe xd+android+ecommerce+freebie+free ui kit+iphone+ui kit,freebie+android+ecommerce+adobe+mobile+adobe xd+ui kit+free ui kit,mobile+ecommerce
6339381,android+app+dashboard+design+ecommerce+ios+iphone+ui+ux+weather+weather forecast+weather ui,ios+android+weather forecast+ui+ecommerce+dashboard+design+mobile+ux+weather ui+weather,mobile+website+dashboard+weather+ecommerce
4560454,carousel app ios iphone+checkout pay card+design photo photography+ecommerce e-commerce+fashion experience interior+flat gradient shadow minimal+grid typography+purchase cart+shop store eshop+ux ui interaction+white clean light,flat gradient shadow minimal+ux ui interaction+white clean light+grid typography+purchase cart+ecommerce e-commerce+carousel app ios iphone+fashion experience interior+design photo photography+checkout pay card+shop store eshop,mobile
4821904,book bookseller+clean style white color+credit card form profile+ecommerce e-commerce+interface+ios iphone x iphonex+mobile app ui ux design+online store shopping shop+order screen catalog payment+sell buy books share+shopping cart+social network media,ios iphone x iphonex+clean style white color+mobile app ui ux design+social network media+order screen catalog payment+ecommerce e-commerce+sell buy books share+shopping cart+interface+book bookseller+online store shopping shop+credit card form profile,mobile+music
5798793,android+app+blue+clean+dashboard+design+dribbble+ecommerce+e-commerce app+e-commerce design+gradient+illustration+ios+iphone+mobile+ui+ui8+ux+vector+website,ios+blue+gradient+android+ui+ecommerce+dashboard+e-commerce app+ui8+design+mobile+dribbble+ux+vector+illustration+e-commerce design+simple+website,mobile+website+dashboard+ecommerce+blue
5529541,animation+clean+dashboard+design+dress+ecommerce app+fashion+interaction+interface+ios+iphone+minimal+mobile+shop+tikto+ui+video,animation+ios+shop+fashion+ui+dress+dashboard+design+interaction+mobile+website+video+simple+interface+tikto+ecommerce app,mobile+website+dashboard
6590088,android+app+automobile+design+ecommerce+form+home+ios+iphone+list+options+service+ui+ux,ios+automobile+android+list+options+ui+ecommerce+design+mobile+home+ux+service+form,mobile+form+ecommerce
5390079,ads+app+clean+community+design+ecommerce+ios+iphone+iphone app+shopping+sketch+social+social app+ui+user interface+ux,ios+sketch+ui+ecommerce+design+mobile+ux+shopping+social app+community+iphone app+simple+ads+social,mobile+ecommerce
5994026,blog+ecommerce+icons+ios+iphone+marketplace+mobile+mobile app+multimedia+navigation+profile+sign up+social+stats+templates+travel+ui design+ui kit+ux design+walkthroughs,ios+icons+multimedia+navigation+profile+ui+templates+ux design+ecommerce+stats+walkthroughs+mobile+signup+travel+ui kit+marketplace+website+social,mobile+website+profile+travel+ecommerce
5973987,artificial intelligence+ar watch app+augmentedreality+augmented reality+ecommerce shop ar+iphone x app+luxury ar watch+luxury ar watch app concept+luxury brand+machine learning+minimal+mobile design ui+modern+recognition+stop digital toolbox+ui+ui ux designer+watch app+watch app ar,watch app ar+ui ux designer+ar watch app+watch app+augmentedreality+simple+luxury ar watch app concept+ui+augmented reality+stop digital toolbox+recognition+ecommerce shop ar+luxury ar watch+luxury brand+modern+iphone x app+artificial intelligence+mobile design ui+machine learning,mobile+music
6272036,ae+after effects+buy+ecommerce+ecommerce app+iphone 7 plus+loader+micro animatioin+order+pixel+ui+ux,order+loader+micro animatioin+ui+ae+ecommerce+buy+after effects+iphone 7 plus+ux+pixel+ecommerce app,mobile+ecommerce+music
5535192,apple+branding+charity+clean+design ui ux+ecommerce e-commerce+ecommerce shop+flat+grid+industrial+iphone+landing page+minimal+phone+product+red+store+theme+video player+web,flat+industrial+branding+ecommerce e-commerce+store+simple+phone+ecommerce shop+product+video player+grid+design ui ux+mobile+landing+charity+apple+theme+red+website,mobile+website+grid+landing+red
5024836,app+application+ecommerce+financial+fintech+interface+ios+iphone x+mobile+payment+ui+ux,ios+ui+fintech+ecommerce+mobile+checkout+ux+website+finance+iphone x+interface,mobile+website+checkout+finance+ecommerce
