id,origin,normalize,predict
5313013,crowd+drawing+form+illustration+landing+people+signup+ui+ux+web+website,drawing+people+website+ux+illustration+crowd+form+ui+signup+landing,mobile+website+form+landing+music
6990627,app+checkout+cuberto+design+detail+email+error+form+graphics+hover+interface+search+shipping+ui+ux+web,email+search+graphics+website+mobile+ux+cuberto+form+hover+interface+ui+design+checkout+shipping+error+detail,mobile+website+form+checkout
5699033,attachment+contact+crista+decoration+digital agency+drop-down+faq+footer+form+furniture+house+icons+illustrations+isometric+location+menu+office+user experience+user interface+web design,icons+menu+decoration+footer+furniture+user experience+ui+office+digital agency+form+faq+web design+contact+location+illustrations+isometric+house+attachment+drop-down+crista,mobile+form+landing
6286426,composition+design+design studio+email+email campaign+graphic design+landing page+minimalism+subscription+subscription form+ui+user experience+user interface+ux+web+web design+website design,email+landing+website+ux+design studio+subscription+minimalism+graphic design+user experience+ui+design+email campaign+web design+composition+subscription form,mobile+website+landing
3691125,basics+clean+colors+geometry+layout+minimal+pattern+shapes+simple+webdesign+web design+website,geometry+website+shapes+basics+simple+pattern+layout+webdesign+web design+colors,mobile+website
6751815,animated+animation+blockchain+crypto+cryptocurrency+exchange+form+ico+landing+landingpage+layout+platform+principle+trading+ui+web+webdesign+website,principle+crypto+ico+blockchain+platform+website+animated+animation+form+cryptocurrency+layout+ui+exchange+webdesign+landing+trading,mobile+website+form+landing
5644959,basketball+careers+chart+contact+design+desktop+form+gradient+graph+homepage+illustration+player+social+stats+tablet+typography+ui+web+work,typography+website+ui+design+work+chart+homepage+form+stats+contact+social+careers+gradient+basketball+player+illustration+desktop+tablet+graph,mobile+website+form+chart+music
6727292,analysis+animation+blockchain+crypto+design+form+header+ico+interaction+interface+landing+landing page+platform+startup+ui+web,interaction+header+crypto+ico+blockchain+platform+startup+website+analysis+animation+form+interface+ui+design+landing,mobile+website+form+chart+landing
4925155,charity+design+form+fundraising+gradient+homepage+illustration+interface+landing+minimal+page+product+responsive+sign up+site+user interface+ux+web+web design+website,website+charity+page+fundraising+ui+design+signup+site+homepage+simple+form+web design+ux+product+gradient+interface+illustration+responsive+landing,mobile+website+form+landing
5985974,animation+concept+contact+contact form+contacts+custom+design+e-commerce+fashion+grid+interaction+interface+motion+photo+promo+typography+ui+ux+web+website,interaction+typography+website+ui+design+motion+contact form+animation+custom+ux+concept+contact+ecommerce+contacts+grid+interface+promo+fashion+photo,mobile+website+grid+ecommerce
