id,origin,normalize,predict
6947447,app+cards+character+finance+illustration+investments+mobile+money+onboarding+people,illustration+finance+money+character+investments+cards+people+onboarding+website+mobile,mobile+website+landing+finance
6784316,app+app design+bank+bank app+bank card+banking+branding+business+business card+card+clean+colors+credit card+finance+illustration+inspiration+interfaces+ios+mobile+ui,branding+business card+illustration+finance+bank card+colors+business+interfaces+card+ios+inspiration+credit card+simple+ui+website+mobile,mobile+website+finance
6596340,animation+app+blog+clean+colors+craftwork+finance+financing+ios+minimal+news+product+transition+ui+uidesign+ux,transition+finance+colors+news+social+financing+ios+product+ux+animation+simple+ui+craftwork+mobile,mobile+finance
6664330,app+app design+bank+bank app+banking+business+clean+colors+cryptocurrency+design+finance+inspiration+ios+ui,finance+colors+design+business+cryptocurrency+ios+inspiration+simple+ui+mobile,mobile+finance
6553424,app+banking+chart+charts+clean+colors+craftwork+finance+financing+illustration+ios+minimal+product+ui+uidesign+ux+wallet,illustration+finance+chart+colors+charts+financing+ios+ux+craftwork+simple+ui+product+mobile,mobile+chart+finance
6245096,account+app+banking+bitcoin+cuberto+currency+design+finance+graphics+icons+interface+ios+mobile+payment+trading+transfer+ui+ux+wallet,checkout+finance+trading+bitcoin+currency+design+cuberto+interface+transfer+icons+account+ios+ux+ui+graphics+website+mobile,mobile+website+checkout+finance
6077333,app+badges+chat+circle+dashboard+finance+graph+icons+mobile+profile+progress+real estate+statistics+ui+upload+uploader+ux,real estate+progress+dashboard+finance+social+graph+statistics+profile+icons+circle+ux+badges+ui+uploader+upload+website+mobile,mobile+website+dashboard+profile+finance
6129204,bluevine+credit+finance+iconography+loan+marketing+product+ui+website,finance+loan+iconography+ui+credit+bluevine+product+marketing+website,mobile+website+landing+finance
5923205,analytics+app+card+chart+crypto+cryptocurrency+dashboard+finance+financial+fintech+graph+market+payment+profile+sales+statistics+trade+trading+transactions+widelab,profile+widelab+market+trade+finance+trading+chart+sales+crypto+checkout+card+analytics+fintech+dashboard+transactions+graph+cryptocurrency+statistics+mobile,mobile+chart+dashboard+profile+checkout+finance
6512175,bank+bar+chart+dashboard+finance+fintech+gauge+graph+illustration+line+perfomance+social+statistics+stats+ui+ux,illustration+finance+dashboard+chart+social+graph+gauge+perfomance+line+bar+stats+ux+ui+statistics+fintech,mobile+chart+dashboard+finance
3960526,blockchain production chat+book pin check+c l music+crypto cryptocurrency finance+designer logofolio h+education marketing advertising+fintech video photo+logo+play marketing z+star car fire+technology p b+waves hexagon flame,book pin check+fintech video photo+logo+waves hexagon flame+blockchain production chat+technology p b+c l music+designer logofolio h+education marketing advertising+crypto cryptocurrency finance+star car fire+play marketing z,mobile
6161977,design+finance+product design+style guide+ui+ui-kit+visual system+web app,finance+ui-kit+style guide+design+visual system+ui+product design+website,mobile+website+finance
6129213,bluevine+finance+financing+iconography+loan+marketing+photography+product+ui+website,finance+photography+loan+iconography+financing+ui+bluevine+product+marketing+website,mobile+website+finance
