id,origin,normalize,predict
6579816,after effects ae motion+animation+basket bag+checkout purchase buy add item+ecommerce shop e-commerce store+line icons+material ui ux+mobile+mobile app iphone nike+product design+pull down shopping cart+purchase interaction+sketch+white green clean style,material ui ux+mobile+purchase interaction+animation+pull down shopping cart+after effects ae motion+basket bag+website+line icons+product design+sketch+ecommerce shop e-commerce store+white green clean style+checkout purchase buy add item+mobile app iphone nike, 
6482066,app+backpacks+cart+checkout+clothing+color+ecommerce+fashion+ios+iphone+iphone x+minimal+mobile+product design+sketch+ui+ux,website+cart+checkout+product design+app+backpacks+minimal+fashion+color+iphone+ui+sketch+simple+ecommerce+iphone x+ios+mobile+ux+clothing, 
6569819,app design+checkout+food app+food application design+food delivery app+food-homescreen+ios+iphone+mobile app design+my order+online food service+ui ux,food application design+mobile+iphone+food delivery app+ui ux+online food service+food app+food-homescreen+ios+my order+app design+mobile app design+checkout+food, 
6603259,appointment+booking+booking app+calendar+checkout+clients+editor+iphone+mobile app+mobile app design+notes+product design+salon app+social accounts,salon app+booking app+mobile+notes+social accounts+appointment+iphone+mobile app+website+clients+product design+calendar+editor+mobile app design+checkout+booking, 
4560454,carousel app ios iphone+checkout pay card+design photo photography+ecommerce e-commerce+fashion experience interior+flat gradient shadow minimal+grid typography+purchase cart+shop store eshop+ux ui interaction+white clean light,ux ui interaction+grid typography+carousel app ios iphone+ecommerce e-commerce+purchase cart+checkout pay card+fashion experience interior+flat gradient shadow minimal+white clean light+shop store eshop+design photo photography, 
3919542,add+app+buy+cart+checkout+ecommerce+iphone+item+mobile+purchase+shopping,mobile+buy+shopping+iphone+item+website+cart+purchase+app+ecommerce+add+checkout, 
6618323,android+app+card+checkout+clean+dailyui+e-commerce+flatui+gradient+ios+iphone+iphonex+layout+mobile app+payment+typography+ui+uiux+ux,website+gradient+checkout+typography+android+app+uiux+payment+clean+flatui+iphone+ui+mobile app+dailyui+simple+ecommerce+layout+ios+card+mobile+e-commerce+ux+iphonex, 
5735432,app+card+checkout+cheerios+delivery+food+fruits+groceries+iphone+mobile+simple+vegetables,card+groceries+mobile+delivery+iphone+website+cheerios+simple+app+fruits+vegetables+checkout+food, 
5285317,app+blog+cart+checkout+clothing+ecommerce+fall+fashion+ios+iphone x+minimal+mobile+sketch+ui+ux+womens,website+cart+checkout+app+minimal+fashion+ui+sketch+simple+ecommerce+iphone x+blog+social+ios+mobile+fall+ux+womens+clothing, 
5201079,app+books+branding+buy+checkout+colors+ecommerce+illustration+interface+ios+iphone+iphonex+mobile+shop design+sketch+ui+ux,shop design+website+book+checkout+interface+app+buy+illustration+iphone+ui+sketch+ecommerce+ios+colors+mobile+branding+books+ux+iphonex, 
5321328,app+books+branding+checkout+design+ecommerce+education+interface+ios+iphone+iphonex+payment+shop+sketch+ui+ux,mobile+branding+shop+interface+design+iphone+sketch+ui+books+book+app+ecommerce+education+ux+iphonex+payment+checkout+ios, 
3886793,add+app+buy+cart+checkout+ecommerce+iphone+item+mobile+purchase+shopping,mobile+buy+shopping+iphone+item+website+cart+purchase+app+ecommerce+add+checkout, 
5304193,app+books+branding+buy+checkout+colors+design+ecommerce+education+icon+interface+ios+iphone+iphonex+payment+shopping+sketch+ui+ux,icon+book+education+checkout+shopping+interface+app+payment+buy+iphone+design+ui+sketch+ecommerce+ios+colors+mobile+branding+books+ux+iphonex, 
6330744,app+chart+checkout+clean+design+e-commerce+ios+ios11+iphone+iphone x+market+marketplace+mobile+payment+shop+store+ui+ui kit+ux,website+checkout+ui kit+market+app+store+payment+clean+iphone+design+ui+simple+ecommerce+iphone x+chart+ios+mobile+marketplace+shop+ios11+e-commerce+ux, 
5129868,app+books+branding+buy+cart+checkout+colors+ecommerce+flat+interface+ios+iphone+iphonex+product+sketch+ui+ux+vector,cart+vector+book+checkout+interface+app+product+buy+flat+iphone+ui+sketch+ecommerce+ios+colors+mobile+branding+books+ux+iphonex, 
4562418,adidas+cart+checkout+clay+ecommerce+fashion+iphone x+mobile+shoes+shopping+sketch+sports,adidas+fashion+mobile+shopping+sport+clay+website+sketch+cart+ecommerce+shoes+iphone x+sports+checkout, 
