id,origin,normalize,predict
6685757,categories+cook+cooking+cuberto+design+food+graphics+icons+illustration+interface+landing page+product design+recipes+ui+ux+web+website,product design+graphics+icons+ux+cook+cuberto+interface+ui+food+illustration+website+design+landing+categories+cooking,mobile+website+landing+food
6441217,animation+design+digital art+digital illustration+ecology+energy+environment+graphic design+hero illustration+home page+illustration+interaction design+interface+motion design+service+ui+user experience+ux+web+website,graphic design+digital illustration+interaction design+ecology+illustration+website+design+user experience+ux+hero illustration+digital art+interface+ui+environment+home page+energy+service+motion design+animation,mobile+website+blue
6914699,app+chart+dashboard+energy+gauge+graph+home+house+indicator+ios+real estate+remote+rent+statistics+stats+tablet+temperature+ui+ux+web,house+weather+real estate+graph+rent+website+tablet+home+indicator+ux+dashboard+statistics+ui+stats+gauge+chart+remote+energy+mobile+ios,mobile+website+chart+dashboard+weather
6157473,3d+cinema 4d+courses+design+flat+grid+illustration+navigation+portfolio+site+typography+ui ux+web+wireframe,site+grid+wireframe+3d+flat+portfolio+typography+navigation+ui ux+cinema 4d+courses+illustration+website+design,mobile+website+grid
5603218,character+courses+design+flat+icon+illustration+learning platform+online+school+site+typorgraphy+web,online+site+character+illustration+typorgraphy+flat+learning platform+school+courses+icon+website+design,mobile+website
5925522,animation+campaign+cards+chart+color+design+designbetter+flat+graph+identity+illustration+invision+logo+maturity+motion+report+social+typography+visual+web,campaign+typography+identity+report+graph+illustration+website+design+invision+maturity+color+cards+visual+designbetter+flat+chart+logo+motion+animation+social,mobile+website+chart+music
6839124,3d+ai+animation+ar+artificial intelligence+augmented+augmented reality+future+futuristic+gradients+holographic+interaction+interactive+japanese+kanji+kinetic+render+tokyo+typography+web design,augmented reality+interactive+typography+render+kanji+ai+web design+tokyo+3d+future+augmented+interaction+holographic+ar+artificial intelligence+futuristic+japanese+gradients+animation+kinetic,mobile
6762299,app+artificial+browser+cuberto+design+explore+future+graphics+icons+illustration+intelligence+interface+menu+profile+search+settings+sketch+ui+ux+web,intelligence+sketch+illustration+website+design+search+icons+ux+menu+settings+ui+interface+future+browser+cuberto+explore+graphics+artificial+mobile+profile,mobile+website+profile
5708399,3d+abstract+animation+balls+branding+c4d+christmas+cinema 4d+decorations+dynamic logo+glitch+interaction+interaction design+interactions+octane+typography+ui+ux+web design+website,branding+decorations+interaction design+typography+cinema 4d+website+balls+interactions+octane+web design+ux+3d+ui+dynamic logo+christmas+glitch+interaction+abstract+c4d+animation,mobile+website+landing
5900983,3d+architecture+art+case+design+icons+illustration+logotype+metal+portfolio+site+typography+web,metal+site+icons+art+3d+case+portfolio+logotype+typography+illustration+website+design+architecture,mobile+website
6592690,buy+cart+cuberto+dashboard+delivery+design+dish+ecommerce+food+graphics+illustration+menu+platform+product design+ui+ux+web+web design,ecommerce+food+product design+graphics+web design+delivery+ux+design+dashboard+buy+menu+platform+website+dish+illustration+cart+cuberto+ui,mobile+website+dashboard+food+ecommerce
6263213,boy+cat+character+computer+evening+illustration+kitten+kitty+man+night+office+overtime+people+sleep+tired+ui+uran+web+website+work,character+office+cat+sleep+overtime+illustration+website+people+tired+boy+kitten+ui+man+computer+night+kitty+work+evening+uran,mobile+website+landing
6719357,3d+clean+design+flat+icon+illustration+landing+metal+navigation+site+typography+ui+ux+web+wireframe,metal+site+wireframe+ux+illustration+3d+flat+typography+simple+navigation+ui+icon+website+design+landing,mobile+website
6158271,art+artists+character+design+design studio+digital art+graphic design+hero illustration+hero image+hiring+home page+hr+illustration+interaction design+ui+user interface+ux+web+web design+website,web design+character+art+home page+graphic design+ux+interaction design+hero illustration+hiring+hero image+ui+digital art+illustration+website+design+design studio+artists+hr,mobile+website
6317190,asian+character+fashion+girl+head+hot+illustration+korean+lady+lover+orange+people+portrait+sexy+smoke+smoking+ui+web+website+woman,woman+character+lady+girl+illustration+website+hot+people+smoke+ui+asian+yellow+portrait+fashion+korean+head+sexy+smoking+lover,mobile+website+music+yellow
6565860,design+design studio+digital art+ecology+environment+graphic design+hero illustration+home page+illustration+interaction+interface+nature+ui+user experience+user interface+ux+web+web design+website+website illustration,nature+environment+user experience+web design+home page+ux+website illustration+graphic design+interface+hero illustration+interaction+ecology+digital art+illustration+website+design+design studio+ui,mobile+website+green
6285205,2d+3d+academy+app+character+design+flat+icon+illustration+school+site+typography+web,2d+site+character+academy+illustration+3d+flat+typography+mobile+school+icon+website+design,mobile+website
