id,origin,normalize,predict
6579816,after effects ae motion+animation+basket bag+checkout purchase buy add item+ecommerce shop e-commerce store+line icons+material ui ux+mobile+mobile app iphone nike+product design+pull down shopping cart+purchase interaction+sketch+white green clean style,basket bag+checkout purchase buy add item+after effects ae motion+line icons+pull down shopping cart+animation+material ui ux+mobile+ecommerce shop e-commerce store+sketch+website+product design+purchase interaction+mobile app iphone nike+white green clean style,mobile+website
6482066,app+backpacks+cart+checkout+clothing+color+ecommerce+fashion+ios+iphone+iphone x+minimal+mobile+product design+sketch+ui+ux,ios+ecommerce+cart+fashion+product design+iphone x+mobile+simple+ui+sketch+website+backpacks+checkout+color+ux,mobile+website+checkout+ecommerce
6569819,app design+checkout+food app+food application design+food delivery app+food-homescreen+ios+iphone+mobile app design+my order+online food service+ui ux,food+ios+my order+online food service+food-homescreen+food delivery app+ui ux+mobile+food application design+mobile app design+checkout,mobile+checkout+food
6603259,appointment+booking+booking app+calendar+checkout+clients+editor+iphone+mobile app+mobile app design+notes+product design+salon app+social accounts,social accounts+clients+notes+salon app+booking+editor+product design+mobile+calendar+appointment+website+mobile app design+booking app+checkout,mobile+website+checkout
4560454,carousel app ios iphone+checkout pay card+design photo photography+ecommerce e-commerce+fashion experience interior+flat gradient shadow minimal+grid typography+purchase cart+shop store eshop+ux ui interaction+white clean light,carousel app ios iphone+fashion experience interior+white clean light+ecommerce e-commerce+design photo photography+checkout pay card+flat gradient shadow minimal+grid typography+purchase cart+ux ui interaction+shop store eshop,mobile
3919542,add+app+buy+cart+checkout+ecommerce+iphone+item+mobile+purchase+shopping,ecommerce+purchase+shopping+buy+cart+item+mobile+add+website+checkout,mobile+website+checkout+ecommerce
6618323,android+app+card+checkout+clean+dailyui+e-commerce+flatui+gradient+ios+iphone+iphonex+layout+mobile app+payment+typography+ui+uiux+ux,ios+card+android+ecommerce+simple+mobile+ui+typography+layout+flatui+gradient+website+checkout+ux,mobile+website+checkout+ecommerce
5735432,app+card+checkout+cheerios+delivery+food+fruits+groceries+iphone+mobile+simple+vegetables,food+card+fruits+groceries+simple+mobile+cheerios+vegetables+website+checkout+delivery,mobile+website+checkout+food
5285317,app+blog+cart+checkout+clothing+ecommerce+fall+fashion+ios+iphone x+minimal+mobile+sketch+ui+ux+womens,ios+ecommerce+cart+fashion+iphone x+mobile+simple+ui+social+womens+sketch+website+checkout+fall+ux,mobile+website+checkout+ecommerce+music
5201079,app+books+branding+buy+checkout+colors+ecommerce+illustration+interface+ios+iphone+iphonex+mobile+shop design+sketch+ui+ux,colors+ios+ecommerce+shop design+website+buy+interface+ui+mobile+sketch+branding+checkout+illustration+book+ux,mobile+website+checkout+ecommerce
5321328,app+books+branding+checkout+design+ecommerce+education+interface+ios+iphone+iphonex+payment+shop+sketch+ui+ux,ios+education+ecommerce+interface+ui+mobile+design+sketch+branding+checkout+shop+book+ux,mobile+checkout+ecommerce
3886793,add+app+buy+cart+checkout+ecommerce+iphone+item+mobile+purchase+shopping,ecommerce+purchase+shopping+buy+cart+item+mobile+add+website+checkout,mobile+website+checkout+ecommerce
5304193,app+books+branding+buy+checkout+colors+design+ecommerce+education+icon+interface+ios+iphone+iphonex+payment+shopping+sketch+ui+ux,colors+ios+education+ecommerce+icon+shopping+buy+interface+ui+mobile+design+sketch+branding+checkout+book+ux,mobile+checkout+ecommerce
6330744,app+chart+checkout+clean+design+e-commerce+ios+ios11+iphone+iphone x+market+marketplace+mobile+payment+shop+store+ui+ui kit+ux,ios+chart+ecommerce+market+ui kit+simple+mobile+iphone x+ui+store+design+marketplace+website+checkout+shop+ux,mobile+website+chart+checkout+ecommerce
5129868,app+books+branding+buy+cart+checkout+colors+ecommerce+flat+interface+ios+iphone+iphonex+product+sketch+ui+ux+vector,colors+ios+vector+ecommerce+cart+buy+interface+ui+mobile+sketch+flat+branding+product+checkout+book+ux,mobile+checkout+ecommerce
4562418,adidas+cart+checkout+clay+ecommerce+fashion+iphone x+mobile+shoes+shopping+sketch+sports,sport+ecommerce+shoes+shopping+cart+fashion+iphone x+mobile+sketch+website+clay+checkout,mobile+website+checkout+sport+ecommerce+music
3815627,add+app+buy+cart+checkout+ecommerce+iphone+item+mobile+purchase+shopping,ecommerce+purchase+shopping+buy+cart+item+mobile+add+website+checkout,mobile+website+checkout+ecommerce
3874912,add+app+buy+cart+checkout+ecommerce+iphone+item+mobile+purchase+shopping,ecommerce+purchase+shopping+buy+cart+item+mobile+add+website+checkout,mobile+website+checkout+ecommerce
3903170,add+app+buy+cart+checkout+ecommerce+iphone+item+mobile+purchase+shopping,ecommerce+purchase+shopping+buy+cart+item+mobile+add+website+checkout,mobile+website+checkout+ecommerce
3827597,add+app+buy+cart+checkout+ecommerce+iphone+item+mobile+purchase+shopping,ecommerce+purchase+shopping+buy+cart+item+mobile+add+website+checkout,mobile+website+checkout+ecommerce
