id,origin,normalize,predict
6974248,app+application+bird+concept+design+drawing+fireart+fireart studio+flat+illustration+mobile+mobile ui+product design+ui+ui design+ux+voice recording,website+mobile+fireart studio+illustration+ui+design+voice recording+bird+product design+mobile ui+ux+flat+drawing+concept+fireart,mobile+website+ecommerce+yellow
5813405,cuberto+dev+development+github+graphics+icons+illustration+liquid+mobile+onboarding+open source+swift+ui+ux,liquid+website+swift+mobile+onboarding+dev+graphics+cuberto+illustration+open source+ui+ux+icons+development+github,mobile+website
6120171,app+buy+card+cart+category+cuberto+design+ecommerce+food+icons+illustration+ios+mobile+order+payment+shopping+ui+ux,order+website+checkout+mobile+ios+shopping+illustration+ui+card+cuberto+category+design+buy+icons+cart+ux+food+ecommerce,mobile+website+checkout+food+ecommerce
6980640,adventure+app+clean+design+icons+illustration+mobile+screen+travel+trip+ui,website+mobile+adventure+illustration+ui+travel+design+screen+icons+simple,mobile+website+travel
6519750,after-effects+animation+design+icons+illustration+iphone+mobile+motion+motion-design+motiongraphics+ui+ui8+ux+vector,motiongraphics+website+mobile+animation+illustration+ui+design+vector+ui8+ux+icons+after-effects+motion-design+motion,mobile+website
6078712,app apps application+cat lady+clean+colors+girl+landing+leaf+mobile+ui+ux+yoga,leaf+website+yoga+mobile+ui+ux+cat lady+girl+simple+landing+colors+app apps application,mobile+website+landing
6452446,app+clean+colors+design+minimal+mobile+ui+ux,website+mobile+ui+design+ux+simple+colors,mobile+website
6179228,after-effects+animation+illustration+iphone+mobile+motion+motion-design+svg+ui+ui8+vector,website+svg+mobile+animation+illustration+ui+vector+ui8+after-effects+motion-design+motion,mobile+website
6555403,app+clinical+cuberto+graphics+icons+interface+ios+medicine+mobile+product design+screenshots+trial+ui+ui map+usability+ux+visual design,website+mobile+ios+medical+graphics+ui+cuberto+ui map+product design+screenshots+icons+ux+visual design+clinical+interface+trial+usability,mobile+website
6727007,app+base+cuberto+design+education+graphics+icons+illustration+interface+ios+knowledge+learning+lesson+maths+mobile+student+task+ui+ux,graphics+design+icons+student+knowledge+website+ios+task+ui+maths+lesson+ux+base+learning+mobile+illustration+cuberto+education+interface,mobile+website
6800301,app+clean+clear+elegant+minimal+mobile+product design+simple+ui ux+white,elegant+website+mobile+clear+product design+ui ux+simple+white,mobile+website+white
6794395,app+card+dashboard+data+design+dropbox+ecommerce+google+interface+management+mobile+product+project+statistics+storages+ui+ux,product+website+statistics+dashboard+mobile+storages+ui+card+design+management+ux+data+dropbox+interface+project+google+ecommerce,mobile+website+dashboard+ecommerce
6374407,app+category+chat+consultation+cuberto+design+doctor+illustration+ios+medicine+mobile+online+physician+search+service+ui+ux,search+website+consultation+mobile+ios+medical+illustration+ui+cuberto+design+category+ux+doctor+social+online+physician+service,mobile+website
6160500,animation+app+card+component+cuberto+design+development+graphics+icons+interaction+ios+mobile+motion+pagination+slider+swift+ui+ux,website+component+mobile+animation+ios+swift+graphics+ui+cuberto+card+design+ux+icons+interaction+development+slider+pagination+motion,mobile+website+music
6482664,app+course app+craftwork+design+flat illustration+illustration+inspiration+ios+learning app+mobile app+profile+profile cover+profile design+student app+ui+ui8+ui elements+ux+vector+wstyle,inspiration+student app+design+profile+craftwork+website+ios+ui+profile cover+wstyle+learning app+course app+ui elements+ux+profile design+mobile+flat illustration+illustration+vector+ui8,mobile+website+profile+food
6733935,after-effects+animation+design+e-commerce app+illustration+iphone+mobile+motion+motion-design+motiongraphics+sport+sport app+ui+ui8+ux,motiongraphics+website+mobile+animation+sport+illustration+sport app+ui+design+ui8+e-commerce app+ux+after-effects+motion-design+motion,mobile+website+sport
6955747,app+application+design+fireart+fireart studio+illustration+mobile+mobile ui+music+social+store+ui+ui design+ux+vinyl,website+mobile+fireart studio+illustration+ui+design+music+ux+mobile ui+store+vinyl+social+fireart,mobile+website+music
6492557,app+clean+colors+design+illustration+minimal+mobile+plants+ui+ux,website+plants+mobile+illustration+ui+design+ux+simple+colors,mobile+website
6238939,app+calendar+car+carpooling+city+cuberto+destination+duration+graphics+icons+ios+mobile+time+ui+ux,calendar+website+mobile+time+ios+graphics+ui+cuberto+city+destination+icons+ux+duration+car+carpooling,mobile+website
6488524,activity+clinical+cuberto+daily ui+design+drugs+graphics+illustration+interface+ios+medical+mobile+pharma+pharmacology+sketch+ui+ux,website+mobile+ios+medical+ui+graphics+cuberto+design+illustration+pharma+pharmacology+ux+drugs+clinical+interface+sketch+activity,mobile+website
6098905,adventure+california+costs+design+mobile app+roadmap+tour+travel+travel app+trip+trip planner+ui+ux+visit,costs+website+tour+mobile+adventure+trip planner+ui+roadmap+design+travel+ux+visit+california,mobile+website+travel
6903441,app+clean+colors+design+illustration+minimal+mobile+ui+ux,website+mobile+illustration+ui+design+ux+simple+colors,mobile+website
6434277,app+course app+craftwork+design+flat illustration+illustration+inspiration+ios+learning app+mobile app+profile+profile cover+profile design+student app+ui+ui8+ui elements+ux+vector+wstyle,inspiration+student app+design+profile+craftwork+website+ios+ui+profile cover+wstyle+learning app+course app+ui elements+ux+profile design+mobile+flat illustration+illustration+vector+ui8,mobile+website+profile
6654320,after effects+animation+app+cuberto+design+gif+graphics+icons+illustration+interface+ios+mobile+motion+onboarding+screen+ui+ux+video,video+website+mobile+animation+after effects+ios+graphics+illustration+cuberto+design+onboarding+ui+screen+ux+icons+interface+gif+motion,mobile+website
6857679,animation+app+clean+colors+design+minimal+mobile+motion+ui+ux+web,website+mobile+animation+ui+design+ux+simple+colors+motion,mobile+website
6642256,app+application+archive+cuberto+design+explore+file+finder+interface+ios+layout+mobile+mockups+product design+search+ui+ui map+ux+yellow,search+website+mobile+ios+mockups+ui+cuberto+design+yellow+product design+layout+ux+file+archive+explore+interface+finder+ui map,mobile+website+yellow
6065408,cards+chart+collaboration+collabs+dashboard+discussion+gradient+graph+icons+illustration+mobile+social+stats,cards+website+dashboard+mobile+illustration+collaboration+graph+chart+icons+collabs+stats+gradient+social+discussion,mobile+website+chart+dashboard+landing
6654840,animation+app+application+clean design+interface+magazine+mobile+store+ui+ux+ux design+video,video+website+mobile+book+animation+ui+ux design+ux+store+clean design+interface,mobile+website+music
6826865,app+calendar+cards+clean+colored+events+illustration+interface+ios app+meeting+mobile+mobile app design+mobile design+pallete+product design+schedule+ugem+ui+users+ux,calendar+meeting+cards+website+mobile+mobile app design+users+events+illustration+schedule+ui+product design+ux+colored+ugem+simple+interface+pallete,mobile+website
6690497,app+clean+colors+design+illustration+mobile+ui+ux,website+mobile+illustration+ui+design+ux+simple+colors,mobile+website
6853143,app+burger+cafe+card+cart+clean+cook+delivery+design+food app+food delivery app+grocery+illustration+ios+list+mobile app design+order+restaurant+search+ui ux,burger+delivery+mobile app design+food delivery app+card+design+ui ux+cook+cafe+ios+order+grocery+list+cart+simple+search+mobile+illustration+food,mobile+food
6983786,app+cuberto+design+emotional+face+graphics+icons+illustration+interface+mobile+rating+ride+slider+smile+taxi+ui+ux,website+mobile+graphics+illustration+cuberto+design+taxi+ui+face+ux+icons+rating+emotional+interface+smile+slider+ride,mobile+website
6982252,after-effects+animation+design+illustration+iphone+mobile+motion+motion-design+motiongraphics+music app+ui+ui8+ux,motiongraphics+website+mobile+animation+illustration+ui+design+music+ui8+ux+after-effects+motion-design+motion,mobile+website+music
6312101,branding+design+mobile+rebrand+responsive+ui+ux,website+branding+mobile+responsive+ui+rebrand+design+ux,mobile+website
