id,origin,normalize,predict
6579816,after effects ae motion+animation+basket bag+checkout purchase buy add item+ecommerce shop e-commerce store+line icons+material ui ux+mobile+mobile app iphone nike+product design+pull down shopping cart+purchase interaction+sketch+white green clean style,mobile+basket bag+website+animation+purchase interaction+product design+sketch+line icons+pull down shopping cart+mobile app iphone nike+white green clean style+material ui ux+ecommerce shop e-commerce store+checkout purchase buy add item+after effects ae motion,mobile+website
6482066,app+backpacks+cart+checkout+clothing+color+ecommerce+fashion+ios+iphone+iphone x+minimal+mobile+product design+sketch+ui+ux,mobile+fashion+website+ui+checkout+sketch+ios+backpacks+cart+color+iphone x+simple+ecommerce+ux+product design,mobile+website+checkout+ecommerce
4560454,carousel app ios iphone+checkout pay card+design photo photography+ecommerce e-commerce+fashion experience interior+flat gradient shadow minimal+grid typography+purchase cart+shop store eshop+ux ui interaction+white clean light,purchase cart+ux ui interaction+checkout pay card+fashion experience interior+carousel app ios iphone+ecommerce e-commerce+white clean light+shop store eshop+design photo photography+flat gradient shadow minimal+grid typography,mobile
3919542,add+app+buy+cart+checkout+ecommerce+iphone+item+mobile+purchase+shopping,mobile+item+website+buy+checkout+purchase+cart+shopping+ecommerce+add,mobile+website+checkout+ecommerce
5285317,app+blog+cart+checkout+clothing+ecommerce+fall+fashion+ios+iphone x+minimal+mobile+sketch+ui+ux+womens,mobile+fashion+website+ui+checkout+fall+sketch+social+ios+simple+cart+iphone x+womens+ecommerce+ux,mobile+website+checkout+ecommerce
5201079,app+books+branding+buy+checkout+colors+ecommerce+illustration+interface+ios+iphone+iphonex+mobile+shop design+sketch+ui+ux,mobile+website+buy+book+ui+checkout+sketch+branding+colors+shop design+ios+interface+ecommerce+ux+illustration,mobile+website+checkout+ecommerce
5321328,app+books+branding+checkout+design+ecommerce+education+interface+ios+iphone+iphonex+payment+shop+sketch+ui+ux,mobile+book+design+checkout+shop+branding+sketch+ui+ios+education+interface+ecommerce+ux,mobile+checkout+ecommerce
3886793,add+app+buy+cart+checkout+ecommerce+iphone+item+mobile+purchase+shopping,mobile+item+website+buy+checkout+purchase+cart+shopping+ecommerce+add,mobile+website+checkout+ecommerce
5304193,app+books+branding+buy+checkout+colors+design+ecommerce+education+icon+interface+ios+iphone+iphonex+payment+shopping+sketch+ui+ux,mobile+buy+book+design+checkout+sketch+branding+colors+ui+ios+shopping+education+interface+icon+ecommerce+ux,mobile+checkout+ecommerce
5129868,app+books+branding+buy+cart+checkout+colors+ecommerce+flat+interface+ios+iphone+iphonex+product+sketch+ui+ux+vector,mobile+buy+book+product+ui+checkout+sketch+branding+colors+flat+ios+cart+vector+interface+ecommerce+ux,mobile+checkout+ecommerce
