id,origin,normalize,predict
5313013,crowd+drawing+form+illustration+landing+people+signup+ui+ux+web+website,drawing+website+signup+form+illustration+ux+crowd+landing+people+ui,mobile+website+form+landing+music
5189411,design+form+registration+signup+ueno+ui+unused+ux+web,ueno+website+signup+form+unused+registration+ux+design+ui,mobile+website+form
5019261,form+gradient+illustration+interface+iphone+landing+logo+minimal+mobile+people+product+responsive+signup+sign up+ui+user interface+ux+web+web design+website,simple+gradient+website+signup+form+responsive+web design+illustration+mobile+ux+interface+landing+people+product+ui+logo,mobile+website+form+music
5023981,app+branding+character+dailyui+design+flat+icon+illustration+logo+onboarding+signup+signup form+typography+ui+ux+vector+web+website,website+signup+vector+icon+illustration+branding+character+mobile+flat+design+signup form+typography+ui+ux+onboarding+logo,mobile+website
3605489,category+dropdown+event+form+input+select+step. signup+subcategory+web+wizard,select+website+input+event+form+wizard+step. signup+dropdown+category+subcategory,mobile+website+form
5260815,sign up form+ui+ux+web,ui+sign up form+ux+website,mobile+website
5189936,clean+clear+crm+dailyui+design+green+login+login form+loginpage+login page+login screen+minimal+sign in+sign in page+signup+ui+userinterface+user interface+web+welcome screen,simple+website+sign in page+signup+login screen+userinterface+welcome screen+loginpage+sign in+design+login form+login page+ui+green+clear+crm,mobile+website+green
6591044,concept+dailyui+design+firstshot+form+interface+minimal+signup+swiss+typography+ui+ux+web+webdesign,simple+website+webdesign+signup+form+firstshot+concept+swiss+ux+design+interface+typography+ui,mobile+website+form
5094986,design+flow+form+illustration+input+register+signup+steps+ui+ux+web,website+input+signup+form+illustration+register+ui+ux+design+steps+flow,mobile+website+form
5456752,color+create account+design+dribbble+home page+invite+landing+landing page+login+loginpage+login page+login screen+register+signup+signup form+signup page+typography+ui+ux+web,signup page+website+signup+login screen+loginpage+register+invite+dribbble+ui+ux+design+color+signup form+landing+typography+create account+login page+home page,mobile+website+landing
4580928,abstract minimal+communication web+form design ux+getstarted+login request+message app+signup chat+startup website app+team card pattern+ui+uidesign illustration+website demo team,uidesign illustration+abstract minimal+message app+communication web+signup chat+getstarted+startup website app+website demo team+form design ux+ui+team card pattern+login request,mobile+blue
4398361,001+dailyui+daily ui+dark+form+interface+signup+sign up+ui+ux+web+website,website+signup+form+black+ux+interface+001+ui,mobile+website+form+landing+travel+music+black
6447406,facebook+login+login form+redesign+signin+signup+signup form+uichallange+uidesign+user inteface+userinterfacedesign+web,userinterfacedesign+website+signup+user inteface+redesign+signin+login form+social+signup form+uichallange+ui,mobile+website
6794263,app+cassette tape+dailyui+daily ui+daily ui 001+dailyui 001+daily ui challenge+design+illustration+illustrator+signup+sign up+sign up form+ui+uidesign+ui design+ui ux+ux+web+web design,dailyui 001+website+signup+daily ui 001+cassette tape+ui ux+web design+illustration+illustrator+mobile+daily ui challenge+design+sign up form+ux+ui,mobile+website+finance
4470029,admin+dashboard+form+health+login+medical+profile+signup+ui+ux,profile+signup+health+form+medical+admin+ux+ui+dashboard,mobile+form+dashboard+profile
6718686,banner+beautiful+concept+dailyui+daily ui 001+daily ui challenge+design+form+form design+form field+sign in+sign in form+signup+sign up+ui+uiux+ux+web+webdesign+website,beautiful+website+webdesign+form design+daily ui 001+form+banner+sign in form+signup+concept+sign in+form field+daily ui challenge+design+ux+ui,mobile+website+form
5445417,illustration+signup+signup concept+signup form+signup page+ui+web design,signup page+signup+web design+illustration+signup concept+signup form+ui,mobile
4237615,app+dailyui+design+form+interface+rocket+signup+sign up+test+typography+ui+web,website+rocket+signup+form+test+mobile+design+interface+typography+ui,mobile+website+form
1544666,application+css+design+form+html+signup+sign up form+web,website+signup+form+html+mobile+sign up form+design+css,mobile+website+form+dashboard
2388283,card+dashboard+form+in+password+sign+ui+up+ux+web+webdesign,website+webdesign+form+password+ui+in+up+ux+card+dashboard+sign,mobile+website+form+dashboard
6688391,bitcoin+blockchain+bot+cash+createaccount+cryptocurrency+email+form+login+money+neel+password+prakhar+sharma+signup+ui+username+web+webdesign+website,website+webdesign+bitcoin+signup+form+money+blockchain+cryptocurrency+prakhar+username+neel+email+sharma+password+bot+cash+ui+createaccount,mobile+website+form+music
3387075,car+car dealer+clean+dailyui+design+flat+form+minimal+red+responsive+signup+simple+sketch+ui+ux+web+web design+website+white,simple+website+signup+form+red+responsive+car dealer+web design+car+sketch+flat+design+ux+white+ui,mobile+website+form+white+red
6825250,app design+app ui+app ui design+dashboard+design+mobile app design+signup+signupform+signup form+signup page+ui+uidesign+ui design+user interface+ux design+ux ui+ux ui design+web app+web app design+web design,app ui+signup page+website+signup+ux design+app ui design+ux ui design+signupform+web design+mobile app design+mobile+design+signup form+web app design+ui+dashboard+ux ui,mobile+website+dashboard
3069045,account+app+design+form+login+popup+register+signup+ui+ux+web,website+signup+form+account+mobile+popup+design+ux+ui+register,mobile+website+form
6040915,blue+clean+daily ui+design+flat+form+login+modern+signup+simple+ui+ux+web+web design+website,simple+website+signup+form+web design+flat+design+blue+modern+ui+ux,mobile+website+form+travel+blue
6716547,adobe xd+app+branding+clean+concept+creative+design+desktop+free+free download+login+login form+login page+login screen+registration+sign in+signup+sign up+unsplash+web,unsplash+simple+free download+website+signup+creative+free+login screen+concept+registration+branding+sign in+mobile+design+login form+adobe xd+desktop+login page,mobile+website
6132758,design+form+get started+interface+register+registration form+signup form+ui+user experience+user interface+ux+web,website+get started+form+ui+ux+interface+design+registration form+signup form+user experience+register,mobile+website+form+blue
6654639,app+dailyui+dailyui001+signup+ui+ux+web,website+dailyui001+signup+mobile+ux+ui,mobile+website
3122595,001+coastal+dailyui+form+illustration+modal+nautical+sail+signup+travel+ui+web,website+coastal+signup+form+nautical+travel+illustration+001+modal+ui+sail,mobile+website+form+travel
5865644,clean+design+form+form design+pastel+signup+typography+ui+web+web deisgn,simple+pastel+website+form design+signup+form+web deisgn+design+typography+ui,mobile+website+form
6524397,blog+budgeting+culture+details+facebook+form+investing+landingpage+login+noansa+personal debt+quotes+retirement+savings+share+sign in+signup+student debt+ux+web,share+noansa+signup+website+form+savings+retirement+budgeting+finance+sign in+personal debt+ux+social+landing+quotes+details+culture+student debt,mobile+website+form+landing+finance
5721776,extej+form+gradient+illustration+input+interaction design+layout+login+mobile forms+product design+register+security+signin+signup+ui+usability+ux+validation+visual design+web,gradient+input+layout+visual design+security+interaction design+website+illustration+product design+signin+ui+signup+extej+ux+mobile forms+form+validation+usability+register,mobile+website+form
4725513,dailyui+design+first shot+form+interface+oly be+signup+sign up+typography+ui+web+yoga,yoga+website+oly be+signup+form+design+interface+typography+ui+first shot,mobile+website+form
3423063,app+blue+clear+dots+green+minimal+modern+signup+web app+web design,simple+website+signup+web design+mobile+dots+blue+modern+green+clear,mobile+website+green+blue
3525967,application+css+design+form+html+sign+signup+up+web,website+signup+form+html+mobile+up+design+css+sign,mobile+website+form+dashboard+blue
4449856,clean+concept+finance+form+signup+simple+stocks+trade+trending colours+ux+web ui+white,simple+signup+form+trending colours+web ui+concept+stocks+ux+white+trade+finance,mobile+form+finance+white
6182904,illustration+login+login page+sign in form+signup+sketch+typography+ui+ux+web design,signup+sign in form+web design+illustration+sketch+ux+typography+ui+login page,mobile+checkout
6707593,login+login form+signup+ui+web+website,ui+website+signup+login form,mobile+website
3269705,challenge+form+minimal+signup+sketch app+ui+user interface+web design,sketch app+simple+signup+form+challenge+web design+ui,mobile+form
