id,origin,normalize,predict
6553424,app+banking+chart+charts+clean+colors+craftwork+finance+financing+illustration+ios+minimal+product+ui+uidesign+ux+wallet,financing+mobile+ui+simple+finance+ios+chart+app+colors+uidesign+ux+charts+clean+minimal+product+banking+illustration+craftwork+wallet, 
6569168,app+banking+chart+charts+clean+colors+craftwork+finance+financing+illustration+ios+minimal+product+ui+uidesign+ux+wallet,financing+mobile+ui+simple+finance+ios+chart+app+colors+uidesign+ux+charts+clean+minimal+product+banking+illustration+craftwork+wallet, 
6037420,analitycs+app+chart+coral+dashbord+expense manager+finance+finance app+fin tech+flow+flow chart+graph+ios 12+mobile+money+react native+report+ui+ux+wizard,expense manager+mobile+website+dashbord+ui+finance+flow chart+analitycs+chart+app+ux+fin tech+graph+react native+wizard+report+flow+finance app+ios 12+money+coral, 
6754295,app+banking+blue+budget+chart+clean+finance+graphic+interface+ios+mobile+mobile app+mobile design+money+product+product design+responsive+ui+ux+white,mobile+website+mobile design+ui+simple+finance+ios+chart+budget+responsive+app+ux+interface+product design+white+clean+blue+product+banking+mobile app+money+graphic, 
6917658,bitcoin+blockchain+chart+contract trading+crypto+cryptocurrency+currency+ethereum+finance+fintech+investment+ios+mobile+product page+trading+ui+ux+web+web design,mobile+website+ui+finance+ios+chart+currency+blockchain+ux+web+contract trading+cryptocurrency+trading+ethereum+web design+crypto+product page+investment+fintech+bitcoin, 
5639810,app+application+bank+chart+cryptocurrency+dashboard+design+dribbble+dribbble popular shot+finance+financial+gauge+graph map+ios+iphone+mobile+music dashboard+statistics+ui+ux,dribbble+dashboard+mobile+website+dribbble popular shot+design+ui+bank+finance+ios+chart+app+graph map+financial+iphone+ux+application+cryptocurrency+music dashboard+gauge+statistics, 
6550632,app+application+chart+clean+finance+interface+ios+iphone x+layout+minimal+mobile+product+prototype+simple+tab bar+transactions+typography+ui+ux+wireframe,mobile+website+tab bar+ui+simple+finance+ios+chart+transactions+app+ux+application+interface+typography+clean+minimal+iphone x+wireframe+layout+product+prototype, 
5551945,application+bank+calendar screen design+chart+cryptocurrency+dashboard+design+dribbble+dribbble popular shot+finance+financial+gauge+graph map+ios+iphone+mobile+statistics+stats charts+ui+ux,dribbble+dashboard+mobile+website+dribbble popular shot+design+ui+bank+finance+ios+calendar screen design+chart+graph map+financial+iphone+stats charts+application+ux+cryptocurrency+gauge+statistics, 
5511184,app+application+bank+chart+cryptocurrency+dashboard+design+dribbble+dribbble popular shot+finance+financial+gauge+graph map+ios+iphone+mobile+product+statistics+ui+ux,dribbble+dashboard+mobile+website+dribbble popular shot+design+ui+bank+finance+ios+chart+app+graph map+financial+iphone+ux+application+cryptocurrency+gauge+product+statistics, 
6124942,android app design+app+banking+budget+calculator+chart+dashboard+finance+fintech+investing+ios app design+loan+mobile app design+mortgage+payment+real estate+real estate app+saas+startup+statistics,dashboard+mobile+investing+saas+checkout+real estate app+finance+android app design+chart+budget+app+ios app design+mortgage+payment+mobile app design+calculator+real estate+banking+fintech+statistics+startup+loan, 
6337626,android+chart+clean+dashboard+finance+icon+illustration+ios+management+minimal+mobile app+onboarding+platform+project+real estate+splash screen+task+team+tool+ui design,dashboard+icon+mobile+website+platform+ui design+team+ui+simple+finance+ios+onboarding+chart+splash screen+clean+management+project+real estate+android+minimal+mobile app+tool+illustration+task, 
5087320,chart+clean+dashboard+finance+finance app+finance business+finance financial+finances+graph+interaction+ios+johnyvino+mobile+money+report design+reporter+reporting+reports+ui+ux,dashboard+mobile+website+finance financial+ui+finances+simple+finance+ios+reporting+report design+interaction+chart+reporter+reports+ux+graph+finance business+johnyvino+clean+finance app+money, 
5616067,app+application+bank+chart+cryptocurrency+dashboard+design+dribbble+dribbble popular shot+finance+financial+gauge+graph map+ios+iphone+mobile+statistics+stats charts+ui+ux,dribbble+dashboard+mobile+website+dribbble popular shot+design+ui+bank+finance+ios+chart+app+graph map+financial+iphone+stats charts+application+ux+cryptocurrency+gauge+statistics, 
5805480,application+bank+chart+cryptocurrency+dashboard+design+dribbble+dribbble popular shot+finance+financial+gauge+graph map+ios+iphone+mobile+music dashboard+statistics+stats charts+ui+ux,dribbble+dashboard+mobile+website+dribbble popular shot+design+ui+bank+finance+ios+chart+graph map+financial+iphone+stats charts+application+ux+cryptocurrency+music dashboard+gauge+statistics, 
5569346,app+application+bank+chart+cryptocurrency+dashboard+design+dribbble+dribbble popular shot+finance+financial+gauge+graph map+ios+iphone+mobile+statistics+stats charts+ui+ux,dribbble+dashboard+mobile+website+dribbble popular shot+design+ui+bank+finance+ios+chart+app+graph map+financial+iphone+stats charts+application+ux+cryptocurrency+gauge+statistics, 
5471322,app+application+bank+chart+cryptocurrency+dashboard+design+dribbble+dribbble popular shot+finance+financial+gauge+graph map+ios+iphone+mobile+statistics+stats charts+ui+ux,dribbble+dashboard+mobile+website+dribbble popular shot+design+ui+bank+finance+ios+chart+app+graph map+financial+iphone+stats charts+application+ux+cryptocurrency+gauge+statistics, 
6757211,accounting+analytic+analytics+analytics chart+app+business+clean+design+finance+ios+product+research+startup+ui+ux,research+simple+analytics chart+accounting+finance+ios+ux+analytic+analytics+mobile+ui+product+design+app+clean+business+startup, 
4031263,app+application+chart+finance+financial+graph+interface+ios+iphone x+mobile+ui+ux,ux+finance+application+interface+ios+iphone x+mobile+graph+website+chart+app+ui+financial, 
6854058,android+animation+app+bank+chart+dashboard+design+finance+ios+mobile+money+ui+ux+web,bank+android+finance+ios+dashboard+ux+web+mobile+website+money+ui+chart+design+app+animation, 
6803518,analytics dashboard+banking app+chart insights+credit card+currency exchange+finance application+fintech startup+ios 12 app+mobile+money transfer+payments transactions+portfolio management+product design+transaction list+wallet balance,portfolio management+finance+transaction list+mobile+analytics dashboard+website+product design+currency exchange+wallet balance+fintech startup+chart insights+banking app+credit card+money transfer+payments transactions+finance application+ios 12 app, 
6544752,account+app design+app ui+card+chart+credit card+finance+grid+ios app+ios app design+list+pay+payment+transaction,card+finance+pay+transaction+app ui+mobile+ios app design+app design+payment+chart+list+grid+checkout+account+credit card+list+ios app, 
6668580,activity+budget+chart+clean+dashboard+design+finance+graph+ios+management+minimal+project+schedule+task+team+ui+web,dashboard+website+design+schedule+team+ui+simple+finance+ios+chart+budget+web+graph+activity+clean+management+project+minimal+task, 
6912448,app+bank+banking+black+chart+clean+credit card+dark+expenses+finance+fintech+ios+iphone+menu+modern+navigation+transactions+ui+wallet+wallet app,black+mobile+credit card+ui+bank+simple+finance+ios+chart+transactions+navigation+app+iphone+wallet app+modern+clean+menu+expenses+dark+banking+fintech+wallet, 
6573655,app design+application design+app ui+chart+finance app+graph+ios app+ios app design+mobile app+mobile app design+payment+waller app+wallet,application design+finance+app ui+mobile+finance app+app design+graph+ios app design+chart+website+mobile app+payment+checkout+waller app+mobile app design+ios app+wallet, 
4059540,app+chart+credit+credit card+finance+income+interface+ios+transaction+wallet,income+credit+finance+interface+ios+transaction+mobile+chart+credit card+app+wallet, 
4400092,app+card+chart+clean+finance+ios+list+location+map+payment+profile+shopping,simple+card+finance+ios+location+mobile+profile+payment+chart+list+shopping+checkout+app+map+clean+list, 
5533860,app+application+bank+chart+cryptocurrency+dashboard+design+dribbble+dribbble popular shot+finance+financial+gauge+graph map+ios+iphone+mobile+statistics+stats charts+ui+ux,dribbble+dashboard+mobile+website+dribbble popular shot+design+ui+bank+finance+ios+chart+app+graph map+financial+iphone+stats charts+application+ux+cryptocurrency+gauge+statistics, 
3886511,bitcoin swipe ux+blockchain fintech graph+cryptocurrency data chart+crypto mobile money+dashboard ios 11+data+data visualization+exchange design finance ui+gradient icon app+money dark white+news state uidesign+reports card stock+uidesign black swipe+ux designer interface+visualization,crypto mobile money+ux designer interface+bitcoin swipe ux+dashboard ios 11+visualization+news state uidesign+reports card stock+uidesign black swipe+data visualization+gradient icon app+data+blockchain fintech graph+money dark white+exchange design finance ui+cryptocurrency data chart, 
6689034,android+calendar+chart+clean+crypto+dashboard+finance+icon+ios+management+minimal+mobile+payment+project+real estate+task+timeline+tool+wallet+web,dashboard+icon+mobile+website+checkout+calendar+simple+finance+ios+chart+timeline+web+payment+clean+management+project+real estate+android+minimal+crypto+tool+task+wallet, 
6176556,application+bank+chart+cryptocurrency+dashboard+design+dribbble+dribbble popular shot+finance+financial+gauge+graph map+ios+iphone+mobile+music dashboard+statistics+stats charts+ui+ux,dribbble+dashboard+mobile+website+dribbble popular shot+design+ui+bank+finance+ios+chart+graph map+financial+iphone+stats charts+application+ux+cryptocurrency+music dashboard+gauge+statistics, 
4507003,android+banking+budget+chart+clean+dashboard+finance+ios+landing page+payment+wallet+web,simple+android+finance+ios+dashboard+landing page+landing+web+website+payment+chart+banking+checkout+budget+clean+wallet, 
4344950,app application mobile+chart crm sme finance+clean modern minimal+dashboard graph bar chart+finance revenue profit+invoicing quotes expenses+ios x time tracking stopwatch+money stats management,money stats management+finance revenue profit+invoicing quotes expenses+ios x time tracking stopwatch+app application mobile+clean modern minimal+chart crm sme finance+dashboard graph bar chart, 
6706310,activity+app+black+blue+chart+clean+colors+concept+credit card+cyan+design+finance+ios+minimal+mobile+mobile app+mobile design+mobile ui+transaction+ui,black+transaction+mobile+website+mobile design+design+credit card+ui+simple+concept+finance+ios+chart+app+cyan+colors+activity+clean+blue+minimal+mobile ui+mobile app, 
5442765,app+application+bank+chart+cryptocurrency+dashboard+design+dribbble+dribbble popular shot+finance+financial+gauge+graph map+ios+iphone+mobile+statistics+stats charts+ui+ux,dribbble+dashboard+mobile+website+dribbble popular shot+design+ui+bank+finance+ios+chart+app+graph map+financial+iphone+stats charts+application+ux+cryptocurrency+gauge+statistics, 
4367821,app application mobile+calendar list graph bar chart+clean modern minimal+crm sme finance+finance revenue profit+invoicing quotes expenses+ios x map mileage tracking+money stats management+task manager to-do list fab,task manager to-do list fab+money stats management+finance revenue profit+crm sme finance+invoicing quotes expenses+ios x map mileage tracking+app application mobile+clean modern minimal+calendar list graph bar chart, 
6634223,app+banking+chart+charts+clean+color+craftwork+finance+financing+illustration+ios+minimal+product+ui+uidesign+ux+wallet,financing+mobile+ui+simple+finance+ios+chart+app+color+uidesign+ux+charts+clean+minimal+product+banking+illustration+craftwork+wallet, 
5519790,analytics+animation+app+banking+finance+fintech+ios+monobank+payments+pfm+pie chart+product design+spending+statistics,finance+ios+pfm+pie chart+analytics+mobile+product design+spending+monobank+banking+app+payments+statistics+animation+fintech, 
