id,origin,normalize,predict
6784316,app+app design+bank+bank app+bank card+banking+branding+business+business card+card+clean+colors+credit card+finance+illustration+inspiration+interfaces+ios+mobile+ui,branding+mobile+colors+business card+bank card+simple+business+credit card+inspiration+website+ui+illustration+ios+interfaces+card+finance,mobile+website+finance
6596340,animation+app+blog+clean+colors+craftwork+finance+financing+ios+minimal+news+product+transition+ui+uidesign+ux,colors+mobile+financing+animation+product+simple+ux+news+transition+ui+ios+craftwork+social+finance,mobile+finance
6664330,app+app design+bank+bank app+banking+business+clean+colors+cryptocurrency+design+finance+inspiration+ios+ui,colors+mobile+simple+design+business+cryptocurrency+inspiration+ui+ios+finance,mobile+finance
6553424,app+banking+chart+charts+clean+colors+craftwork+finance+financing+illustration+ios+minimal+product+ui+uidesign+ux+wallet,charts+mobile+colors+financing+chart+product+simple+ux+ui+illustration+ios+craftwork+finance,mobile+chart+finance
6245096,account+app+banking+bitcoin+cuberto+currency+design+finance+graphics+icons+interface+ios+mobile+payment+trading+transfer+ui+ux+wallet,trading+account+icons+mobile+checkout+design+ux+graphics+website+ui+ios+bitcoin+cuberto+transfer+interface+currency+finance,mobile+website+checkout+finance
6765573,app+apple pay+banking+credit card+design+figma+finance+free+freebie+income+ios+mobile+netflix+payment+product+purrweb+ui+ux,purrweb+mobile+freebie+checkout+product+free+design+credit card+ux+website+ui+income+ios+apple pay+figma+netflix+finance,mobile+website+checkout+finance
6569168,app+banking+chart+charts+clean+colors+craftwork+finance+financing+illustration+ios+minimal+product+ui+uidesign+ux+wallet,charts+mobile+colors+financing+chart+product+simple+ux+ui+illustration+ios+craftwork+finance,mobile+chart+finance
6783445,animation+app+application+balance+bank+banking+card+carousel+concept+credit card+credit card balance+finance+fintech+flipping+ios app+money+money transfer+online banking+picker+ui,balance+concept+money+fintech+carousel+flipping+mobile+credit card balance+picker+animation+credit card+money transfer+ui+online banking+card+finance,mobile+finance
6459294,3d+app+apple+bitcoin+clean+colorful+crypto+currency+design+exchange+finance+flat+graph+interface+ios+material+simple+stats+ui+wallet,material+3d+exchange+apple+mobile+colorful+simple+crypto+design+flat+ui+graph+stats+ios+bitcoin+interface+currency+finance,mobile+website+finance
6575151,app+blog+clean+colors+craftwork+finance+financing+ios+minimal+news+product+ui+uidesign+ux,colors+mobile+financing+product+simple+ux+news+ui+ios+craftwork+social+finance,mobile+finance
6300241,app+bank+bank app+banking+clean+finance+finance app+finances app+fund+ios+mobile+mobile app+mobile banking+sandro tavartkiladze+splash screen+tavdro+ui+ux+ux-ui+whitespace,fund+mobile+whitespace+sandro tavartkiladze+simple+ux+mobile banking+website+ui+finances app+tavdro+ios+splash screen+finance,mobile+website+finance
6508640,app+banking+clean+colors+craftwork+finance+financing+ios+menu+minimal+navigation+product+ui+uidesign+ux+wallet,navigation+colors+mobile+financing+menu+product+simple+ux+ui+ios+craftwork+finance,mobile+finance
5751963,app+blue+design+financial+interface+ios+purple+ui,mobile+design+ui+purple+ios+blue+interface+finance,mobile+dashboard+finance+blue
5961136,app+benefits+branding+finance+fintech+freelance+health care+insurance+ios+launch+retirement+taxes+ux,fintech+benefits+branding+mobile+ux+taxes+retirement+freelance+ios+launch+health care+finance,mobile+finance
6227696,app+banking+clean+colors+finance+financing+ios+marketing+minimal+product+ui+uidesign+ux+wallet,financing+colors+mobile+product+marketing+simple+ux+ui+ios+finance,mobile+finance
6231326,app+banking+clean+colors+finance+financing+ios+marketing+minimal+product+ui+uidesign+ux+wallet,financing+colors+mobile+product+marketing+simple+ux+ui+ios+finance,mobile+finance
6219208,app+banking+clean+colors+finance+financing+ios+marketing+minimal+product+ui+uidesign+ux+wallet,financing+colors+mobile+product+marketing+simple+ux+ui+ios+finance,mobile+finance
6795847,account+app+budget+dashboard+data+finance+fintech+freelance+ios+milestones+mobile+mobile app+overview+payment+payment plan+splash+status+transaction+wallet+withdraw,splash+status+account+fintech+budget+mobile+checkout+milestones+data+overview+withdraw+website+payment plan+transaction+freelance+ios+dashboard+finance,mobile+website+dashboard+checkout+finance
6432858,app+banking+clean+colors+craftwork+finance+financing+ios+marketing+minimal+product+ui+uidesign+ux+wallet,colors+mobile+financing+product+marketing+simple+ux+ui+ios+craftwork+finance,mobile+website+finance
5851721,accounting+analytics+app+business+clean+design+finance+ios+product+ui+ux,mobile+product+simple+design+business+ux+ui+ios+analytics+accounting+finance,mobile+finance
6273595,app+banking+clean+colors+finance+financing+ios+marketing+minimal+product+ui+uidesign+ux+wallet,financing+colors+mobile+product+marketing+simple+ux+ui+ios+finance,mobile+finance
6272119,android+app+clean+design+etf+finance+flat+interaction design+interface+investment+ios+material+minimal+mobile+sketch+typography+ui+user experience+user interface+ux,material+investment+mobile+android+sketch+design+simple+flat+interaction design+ux+etf+website+ui+user experience+ios+typography+interface+finance,mobile+website+finance
6725201,app+application+balance+bank+banking+card+carousel+concept+credit card+credit card animation+credit card balance+finance+fintech+flipping+ios app+money+money transfer+online banking+picker+status,balance+concept+money+fintech+carousel+credit card animation+mobile+credit card balance+flipping+picker+credit card+money transfer+online banking+card+status+finance,mobile+finance
6279673,app+banking+clean+colors+finance+financing+ios+marketing+minimal+product+ui+uidesign+ux+wallet,financing+colors+mobile+product+marketing+simple+ux+ui+ios+finance,mobile+finance+music
