id,origin,normalize,predict
6371155,account+app+color+login+log in+register+shape+signin+sign in+signup+sign up,signin+account+signup+register+shape+sign in+color+mobile,mobile
5583757,animation+design+flow+form+home+illustration+me+signup+ui+ux,ux+home+form+signup+ui+flow+animation+design+me+illustration,mobile+form+green
5313013,crowd+drawing+form+illustration+landing+people+signup+ui+ux+web+website,ux+drawing+form+signup+ui+crowd+website+landing+illustration+people,mobile+website+form+landing+music
5580777,animation+app+bitcoin+budget+clean+dashboard+design+illustration+interaction+interface+iphone+johnyvino+login+login design+principle+signup+swipe+ui+ux+web,ux+bitcoin+interface+website+swipe+login design+signup+ui+animation+budget+design+dashboard+interaction+simple+illustration+principle+mobile+johnyvino,mobile+website+dashboard
6849165,app design+application+application ui+bank+corporate+createaccount+finance+mobile+neel+payment+paypalstripecash+prakhar+reminder+rent+settings+sharma+signin+signup+tenant+userprofile,createaccount+signin+userprofile+sharma+signup+reminder+prakhar+mobile+paypalstripecash+settings+checkout+neel+rent+tenant+corporate+application ui+finance+website,mobile+website+checkout+finance
6869047,account+applepay+cards+citibank+createaccount+debitcredit+hdfcamercia+home+landlordtenant+login+neel+notifications+pay+prakhar+rent+settings+sharma+signup+submitbutton+user,home+debitcredit+submitbutton+user+signup+landlordtenant+hdfcamercia+citibank+pay+cards+rent+prakhar+createaccount+account+applepay+notifications+settings+neel+sharma,mobile
5886177,app+balkan brothers+bbagency+dashboard+design+experience+interface+login+onboarding+process+sign up+signup process+ui+ui design+user+ux+ux design+web,ux+interface+onboarding+website+process+balkan brothers+signup+signup process+ui+user+ux design+design+mobile+dashboard+bbagency+experience,mobile+website+dashboard
6279217,404+500+bunny+cdn+illustration+internet service+landing page+rabbit+redesign+sign in+signup+vector+vpn+web design+website,sign in+rabbit+vpn+404+500+web design+signup+redesign+cdn+bunny+vector+internet service+landing+illustration+website,mobile+website+landing+ecommerce+yellow
5189411,design+form+registration+signup+ueno+ui+unused+ux+web,ux+registration+form+signup+unused+ui+design+ueno+website,mobile+website+form
5656449,app+application+bitcoin+btc+coin+coins+crypto+cryptocurrency+currency+design+hero+image+interace+landing+login+mobile+page+signup+ui+user,bitcoin+btc+image+signup+hero+ui+coins+user+crypto+cryptocurrency+interace+design+website+coin+landing+page+mobile+currency,mobile+website
5452591,,,mobile
