id,origin,normalize,predict
5722020,blue+clean+details+disease+drug+examination+health+history+medical+medicine+pill+treatment+ui+x-ray,treatment+simple+examination+ui+drug+details+history+x-ray+health+pill+disease+blue+medical,mobile+blue
6825031,blue+brand+brand book+cards+design+flat+logo+manual+minimal+minimalism+netguru+rounded+shadows+simple+typography+ui+vector,brand+vector+design+typography+simple+flat+ui+logo+shadows+cards+netguru+brand book+rounded+manual+blue+minimalism,mobile+blue
5905896,blue+clean+details+disease+drug+health+medical+medicine+scan+treatment+ui+x-ray,treatment+simple+ui+drug+details+x-ray+scan+health+disease+blue+medical,mobile+checkout+blue
5987338,animation+art+auto+automotive+autonomous+blue+car+car dashboard+cars+cluster+dashboard ui+driving+electric car+electro+instrument+intro+loading+motion+self driving+splash,electric car+car+self driving+electro+motion+automotive+art+autonomous+auto+intro+driving+cluster+cars+instrument+car dashboard+animation+blue+splash+dashboard ui+loading,mobile+blue
6248741,bird+blue+character+dinosaur+drop+duck+goose+hat+help+illustration+man+outdoor+people+rain+rainy+ui+umbrella+water+web+website,rainy+rain+people+bird+ui+duck+umbrella+help+dinosaur+website+character+goose+man+hat+drop+illustration+blue+water+outdoor,mobile+website+blue
5923382,admin panel+blue+booking+cuberto+graphics+icons+illustration+interface+internal+order+travel+trip+ui+upcoming+ux,icons+ui+admin panel+booking+order+travel+upcoming+graphics+illustration+cuberto+ux+blue+interface+internal,mobile+travel+blue
6408871,art+birds+blue+boat+evening+illustration+illustrations+kerala+landscape+light+nature+tree+vector,vector+tree+evening+nature+light+kerala+art+blue+birds+illustration+illustrations+boat+landscape,mobile+blue
6571271,animation+app+blue+book+card+clean+date+dimest+english+flame+motion+reading+study+ui+ux,english+date+simple+book+ui+card+dimest+mobile+study+flame+motion+ux+animation+blue,mobile+blue
6825417,affinity designer+animal+bird+blue+business+character+designer+fly+girl+hair+hairstyle+illustration+laptop+office+people+person+plane+uran+woman+work,business+people+bird+affinity designer+girl+laptop+office+character+hairstyle+work+woman+uran+hair+person+animal+fly+plane+illustration+blue+designer,mobile+blue
6149997,blue+evening+hill+home+illustration+illustrations+landscape+light+nature+tree+winter,winter+tree+evening+hill+nature+home+light+blue+illustrations+illustration+landscape,mobile+blue
5665285,art+blue+cloud+colour+hill+home+house+illustration+illustrations+landscape+light+nature+shape+tree+winter,house+winter+shape+tree+nature+hill+home+light+colour+art+landscape+illustration+illustrations+blue+cloud,mobile+blue
4451500,beach+blue+girl+hat+pier+sea+summer+sun+swimsuit,swimsuit+beach+girl+pier+summer+hat+sun+sea+blue,mobile+blue
6871165,affinity designer+blue+character+child+childhood+children+color+deep+dream+earth+girl+global+illustration+kid+people+planet+space+star+universe+uran,global+star+people+affinity designer+children+girl+character+deep+color+uran+space+illustration+blue+childhood+kid+child+dream+universe+earth+planet,mobile+game+blue
5570301,🌳.+art+birds+blue+cloud+design+green+hill+house+illustration+illustrations+landscape+light+meadow+nature+road+skey+tree+winter,tree+landscape+winter+meadow+art+birds+nature+cloud+house+design+🌳.+green+illustrations+illustration+blue+road+hill+skey+light,mobile+green+blue
5553234,blue+conceptual illustration+connected+dance+delight+design+green+header illustration+hero illustration+music+product illustration+vector artwork,delight+design+music+connected+hero illustration+product illustration+green+vector artwork+conceptual illustration+blue+dance+header illustration,mobile+music+green+blue
5807385,art+blue+design+hill+home+house+illustration+illustrations+landscape+light+nature+tree+vector+winter,house+vector+design+tree+winter+nature+hill+home+light+art+illustration+illustrations+blue+landscape,mobile+blue
6720256,blue+chef+clean+cooking+cooking app+cuisine+food+food app+foodie+minimal+mobile+orange+recipe+restaurant+ui+ui ux,cooking+chef+foodie+simple+yellow+ui+website+mobile+cuisine+ui ux+cooking app+food+blue,mobile+website+food+music+blue+yellow
6388260,character+design+flat+girl+illustration+nature,design+flat+girl+character+nature+illustration,mobile+blue
5876882,2d+app+black+blue+branding+clean+color+design+flat+gradient+green+illustration+landing+logo+minimalistic+typography+ui+ux+web+white,branding+logo+ux+landing+ui+website+color+design+typography+flat+green+gradient+white+illustration+blue+simple+black+mobile+2d,mobile+website+black+white+green+blue
6752515,design+ui,design+ui,mobile
7002061,blue+bug+color+error+finder+geek+icon+illustration+mac+macintosh+pattern+retro+screen+stroke+vintage+windows,stroke+windows+macintosh+icon+illustration+pattern+geek+retro+screen+vintage+error+bug+color+finder+blue+mac,mobile+blue
6637974,beauty+blue+business+character+design+doctor+drug+girl+help+hospital+illustration+job+medical+nurse+peace+people+plant+profession+treatment+woman,plant+treatment+business+drug+people+beauty+girl+help+job+character+woman+design+profession+nurse+illustration+blue+peace+doctor+medical,mobile+landing+blue
5959120,blue+collaboaration+design+education+icons+illustration+product illustration+sewing+thread+vector,education+design+sewing+vector+collaboaration+product illustration+thread+icons+illustration+blue,mobile+landing+blue
5672827,blue+color+design+exam+online+software+ui+ux+web,design+exam+ui+software+website+blue+color+ux+online,mobile+website+blue
5681839,blue+clean+curve+disease+drug+graph+health+history+medical+medicine+profile+timeline+treatment+ui,treatment+simple+ui+profile+drug+graph+curve+history+health+timeline+disease+blue+medical,mobile+profile+blue
6000148,ai+app+artificialintelligence+blue+character+employment+illustration+mobile+red+ui+ux,red+employment+ui+artificialintelligence+website+character+ai+mobile+illustration+ux+blue,mobile+website+blue+red
6064392,animation+blue+feed+list+music app+ux animation+ux-ui,music+ui+feed+list+ux animation+animation+blue,mobile+music+blue
6388804,app+blue+design+fillet+ui,design+ui+fillet+mobile+blue,mobile+blue
6197979,blue+carsharing+clean+green+homepage+landing page+layout+minimal+product+startup+web+website,landing+simple+startup+product+green+website+homepage+carsharing+layout+blue,mobile+website+landing+green+blue
6484601,app+blue+clean+design+icon+ui,design+simple+ui+icon+mobile+blue,mobile+blue
6975132,ae+android+animation+blue+button+design+graph+interaction+interactive+ios+landing+mobile+red+shapes+typography+ui+ux+web+yellow,button+red+graph+ux+landing+ui+website+design+typography+yellow+ios+android+animation+shapes+blue+ae+interactive+mobile+interaction,mobile+website+landing+blue+red+yellow
5594425,animation+app+b3d+blender+blue little fella+cute+illustration+isometric+low poly+monster,monster+blender+mobile+isometric+blue little fella+low poly+cute+animation+illustration+b3d,mobile
5575603,app+blue+colorful+design+illustration+illustrator+jensonn+line+logo+plant+queble+ui+ux+web+web design,plant+design+jensonn+colorful+ui+logo+web design+line+website+mobile+blue+illustrator+queble+ux+illustration,mobile+website+blue
6001880,aircraft+blue+cards+content+design+hollidays+images+landing+layout+main+navigation+plane+planning+preview+rouad+ship+travel+trip+ui+water,hollidays+planning+cards+ship+landing+ui+design+plane+images+aircraft+content+rouad+blue+preview+navigation+travel+main+water+layout,mobile+travel+blue
6180280,blue+branding+clinic+dental+dentist+design+doctor+landing+landing page+tooth+typography+ui,design+landing+dental+typography+branding+ui+dentist+doctor+tooth+clinic+blue,mobile+landing+blue
6679886,activities+app+blue+challenge+colorful+colors+concept+daily+design+gradient+graphic+illustraion+ios+iphonex+material+minimal+mobile+ui+ux+white,challenge+ux+activities+ui+graphic+illustraion+website+colors+design+ios+gradient+white+blue+material+simple+colorful+concept+mobile+daily,mobile+website+white+blue
4985398,blue+illustration+journey+nature+plane+red+shapes+travel+ui+ux+world,shapes+red+ui+travel+world+plane+journey+blue+nature+ux+illustration,mobile+travel+blue+red
4516668,blue+design+education+grid+illustrations+product+product illustration+red+typography+ui+user interface+vector,education+design+typography+vector+red+product+grid+ui+product illustration+illustrations+blue,mobile+grid+landing+blue+red
6361018,analytics+blue+cards+chart+dashboard+designer+instagram+interface+purple+ui+ux+white,purple+chart+social+ui+analytics+white+cards+designer+dashboard+ux+blue+interface,mobile+chart+dashboard+white+blue
5586986,blue+future+illustration+oculus+procreate+science+technology+ui+violet+vr+whales,procreate+oculus+ui+vr+technology+blue+whales+science+violet+future+illustration,mobile+landing+blue
6309454,10clouds+app+blue+cards+clean+cold+design+flat+home+julia jakubiak+settings+smart+temperature+ui+ux+white,design+simple+cold+10clouds+flat+ui+home+smart+julia jakubiak+mobile+white+cards+weather+settings+ux+blue,mobile+weather+white+blue
5352455,2.5d+app+blue+charachter+design+gradient+green+icon+illustration+iphone+minimal+mobile+ui+walid,design+simple+ui+walid+icon+2.5d+charachter+green+website+mobile+gradient+illustration+blue,mobile+website+green+blue
6141613,blue+hair+illustration+lady+pink+purple+yellow tee shirt,hair+purple+pink+blue+lady+illustration+yellow tee shirt,mobile+pink+blue
6832963,blue+clean+doctor+health+ipad+ipad pro+medical+surgeon+timeline+typography+ui+ux+web design,surgeon+typography+simple+ui+ipad pro+web design+doctor+ipad+health+timeline+ux+blue+medical,mobile+blue
4902420,blue+design+education+grid+illustrations+product+product illustration+red+typography+ui+user interface+vector,education+design+typography+vector+red+product+grid+ui+product illustration+illustrations+blue,mobile+grid+landing+blue+red
4607557,blue+design+education+grid+ibm+illustrations+product+product illustration+typography+ui+user interface+vector,education+design+typography+vector+product+grid+ibm+ui+product illustration+illustrations+blue,mobile+grid+landing+blue
5706019,admission+calendar+cards+course+dashboard+design+e-learning+illustration+landing page+online tutorial+profile+quiz+search+task+typography,design+landing+quiz+typography+course+admission+profile+calendar+e-learning+task+cards+online tutorial+dashboard+illustration+search,mobile+dashboard+profile+landing
6299918,color+design+icon+illustration+ui+vector,vector+design+ui+icon+color+illustration,mobile
6647918,art+bird+blue+boat+evening+hill+illustration+illustrations+kerala+landscape+light+nature+sunset+tree+vector,vector+tree+sunset+evening+hill+nature+light+kerala+art+blue+illustration+illustrations+bird+boat+landscape,mobile+blue
5844328,android+blue+button+buy+chair+chairs+design+eccommerce+ecommerce app+estore+ios+iphone+iphone x+mobile+red+shop+store+typography+ui+ux,button+red+estore+chair+eccommerce+shop+ux+ui+website+chairs+design+typography+ios+android+blue+buy+mobile+iphone x+store+ecommerce app,mobile+website+blue+red
6191054,bill+blue+financial app+repaymengt,financial app+bill+blue+repaymengt,mobile+blue
6422734,agency+animation+app design+automotive+blue+consultants+dashboard+design+feed+full screen+interaction+interface design+motion+product design+team+ui+visual+web+web design,consultants+web design+motion+dashboard+visual+ui+team+website+automotive+full screen+design+interface design+animation+blue+product design+mobile+feed+agency+interaction,mobile+website+dashboard+blue
6790564,animal+blue+dolphin+fish+flat+gradient+illustration+manta ray+narwhal+pastel+sea+seal+seashell+shark+swimming+texture+underwater+vector+water+whale,fish+underwater+dolphin+texture+manta ray+pastel+sea+shark+seal+flat+animal+gradient+swimming+whale+narwhal+illustration+blue+vector+water+seashell,mobile+blue
6132170,art+bird+blue+cloud+evening+fireart-studio+hill+home+house+illustration+illustrations+landscape+light+nature+paddy+sunset+tree+vector,house+vector+tree+sunset+evening+hill+nature+home+light+paddy+art+fireart-studio+landscape+illustration+illustrations+bird+blue+cloud,mobile+blue
6765000,app+blue+ceramic+decoration+design+embellishment+image+porcelain+teapot+transaction+ui+ux,design+transaction+ui+embellishment+decoration+image+ux+mobile+ceramic+teapot+porcelain+blue,mobile+blue
5475040,autumn+blue+ghost+halloween+illustration+nature+orange+pumpkin+shapes+sweet+ui,shapes+sweet+yellow+pumpkin+ui+autumn+blue+nature+ghost+illustration+halloween,mobile+blue+yellow
6495457,blue+clean+gradient+homepage+landing page+layout+minimal+purple+real estate+ui+ux+web+website,purple+landing+simple+ui+real estate+website+gradient+homepage+layout+ux+blue,mobile+website+landing+blue
6439700,app+application+blue+blur+clean+colors+design+digital+gradient+graphic+home+minimal+mobile+round+smart+ui+ux+uxpin+vector+white,vector+design+simple+ui+digital+graphic+home+smart+blur+website+mobile+gradient+colors+white+uxpin+ux+blue+round,mobile+website+white+blue
6854892,animals+bird+blue+florals+green+illustration+pink,florals+animals+pink+green+illustration+bird+blue,mobile+pink+green+blue
6663808,blue+file+float+illustration+mask+medicine+plant+soft+stethoscope+ui+web+woman,plant+float+stethoscope+ui+mask+website+soft+blue+woman+file+illustration+medical,mobile+website+blue
6326125,app+blood+blue+clean+disease+drug+examination+graph+health+medical+medicine+piechart+share+social+treatment+ui,treatment+share+simple+examination+blood+social+ui+drug+graph+mobile+health+piechart+disease+blue+medical,mobile+blue
