id,origin,normalize,predict
6579816,after effects ae motion+animation+basket bag+checkout purchase buy add item+ecommerce shop e-commerce store+line icons+material ui ux+mobile+mobile app iphone nike+product design+pull down shopping cart+purchase interaction+sketch+white green clean style,line icons+mobile+product design+checkout purchase buy add item+mobile app iphone nike+after effects ae motion+website+sketch+white green clean style+basket bag+ecommerce shop e-commerce store+purchase interaction+pull down shopping cart+animation+material ui ux,mobile+website
6169451,after affects+animation+app+concept+ecommerce+interaction+ios+minimal+motion+payment+product+shipping+shoes+shop+store+ui+ux,ux+ecommerce+concept+mobile+interaction+product+shoes+shop+ui+simple+store+ios+animation+shipping+motion+after affects+checkout,mobile+website+checkout+ecommerce+music
6905316,app+candy+cart+checkout+colorful+ecommerce+gummy+login+mobile+order+screen+shop+sign in+slide+sweet+welcome+yummy,yummy+sweet+ecommerce+order+candy+mobile+screen+sign in+slide+welcome+website+signup+gummy+colorful+checkout+cart+shop,mobile+website+checkout+ecommerce+pink
6440077,add card+app+app design+checkout+credit card+credit card form+ecommerce+ios+payment+shopping+ui+user experience+user interface+ux,ux+user experience+ecommerce+credit card+mobile+shopping+ui+credit card form+ios+add card+checkout,mobile+checkout+ecommerce
6482066,app+backpacks+cart+checkout+clothing+color+ecommerce+fashion+ios+iphone+iphone x+minimal+mobile+product design+sketch+ui+ux,ux+ecommerce+mobile+backpacks+product design+website+simple+ui+sketch+ios+iphone x+color+checkout+cart+fashion,mobile+website+checkout+ecommerce
5329424,cart+checkout+colors+ecommerce+e-commerce+fashion+inspiration+landing+nike+shoe+shop+sneaker+sneakers+store+tamarashvili,colors+landing+ecommerce+shop+sneakers+store+sneaker+inspiration+shoe+tamarashvili+checkout+cart+fashion,mobile+checkout+ecommerce
6944741,app+boat+brown+cart+checkout+clean+ecommerce+ecommerce app+minimal+orange+payment+product+shop+shopping app+store+ui+ui ux,brown+ecommerce+ui ux+mobile+boat+product+shopping app+ui+simple+yellow+store+ecommerce app+checkout+cart+shop,mobile+checkout+ecommerce+yellow
4828084,bag+buy+cake+cart+checkout+checkout page+ecommerce+e-commerce+food+product+shop+shopping,ecommerce+food+checkout page+product+shopping+bag+checkout+cart+buy+shop,mobile+checkout+food+ecommerce
6792003,cart+checkout+ecommerce+fashion+hats+landing page+minimal+modern+product design+product page+sketch+typography+ui+ux+web design,typography+landing+ux+ecommerce+product design+product page+simple+ui+sketch+web design+checkout+hats+cart+modern+fashion,mobile+checkout+landing+ecommerce
5864541,2019+app+awsmd+cart+chairs+checkout+creative+design+ecommerce+fashion+furniture+interaction+interface+layout+minimal+product+store+typography+ui+ux,ecommerce+design+furniture+typography+simple+store+layout+checkout+2019+interface+fashion+awsmd+interaction+ui+ux+chairs+creative+mobile+product+cart,mobile+checkout+ecommerce
