id,origin,normalize,predict
6685757,categories+cook+cooking+cuberto+design+food+graphics+icons+illustration+interface+landing page+product design+recipes+ui+ux+web+website,illustration+product design+cooking+food+website+design+cuberto+icons+ui+ux+categories+landing+interface+cook+graphics, 
6441217,animation+design+digital art+digital illustration+ecology+energy+environment+graphic design+hero illustration+home page+illustration+interaction design+interface+motion design+service+ui+user experience+ux+web+website,illustration+animation+hero illustration+home page+graphic design+ui+user experience+energy+website+motion design+ux+interaction design+ecology+design+service+interface+environment+digital illustration+digital art,blue
6945782,animation+app+bicycle+bike+card+cart+clean+ecommerce+interaction+minimal+motion+product design+shop+simple+smooth+store+ui+ux+website+wheels,interaction+simple+product design+cart+shop+wheels+card+website+animation+ecommerce+motion+store+ui+ux+smooth+bike+mobile+bicycle, 
6787909,branding+icon+illustration+ios+logo+ui+ux+website,illustration+website+logo+ux+ios+branding+ui+icon, 
5708399,3d+abstract+animation+balls+branding+c4d+christmas+cinema 4d+decorations+dynamic logo+glitch+interaction+interaction design+interactions+octane+typography+ui+ux+web design+website,c4d+typography+animation+interactions+glitch+ui+abstract+website+ux+interaction design+octane+decorations+branding+3d+interaction+christmas+cinema 4d+dynamic logo+web design+balls,landing
6263213,boy+cat+character+computer+evening+illustration+kitten+kitty+man+night+office+overtime+people+sleep+tired+ui+uran+web+website+work,illustration+work+boy+night+ui+uran+kitten+people+evening+website+sleep+computer+kitty+character+cat+tired+overtime+man+office,landing
6158271,art+artists+character+design+design studio+digital art+graphic design+hero illustration+hero image+hiring+home page+hr+illustration+interaction design+ui+user interface+ux+web+web design+website,illustration+art+hr+interaction design+web design+hiring+website+design+hero image+hero illustration+home page+ux+graphic design+design studio+artists+digital art+character+ui, 
6317190,asian+character+fashion+girl+head+hot+illustration+korean+lady+lover+orange+people+portrait+sexy+smoke+smoking+ui+web+website+woman,illustration+ui+fashion+people+smoking+website+yellow+woman+girl+hot+smoke+korean+lover+sexy+lady+character+asian+head+portrait, 
6565860,design+design studio+digital art+ecology+environment+graphic design+hero illustration+home page+illustration+interaction+interface+nature+ui+user experience+user interface+ux+web+web design+website+website illustration,ecology+graphic design+illustration+interaction+user experience+web design+website+design+hero illustration+nature+home page+ux+website illustration+environment+design studio+interface+digital art+ui,green
6239079,animal+boy+character+clean+color+concept+cute+dog+illustration+man+people+sapling+snow+ui+uran+walk+walking+web+website+winter,illustration+sapling+concept+boy+snow+winter+ui+uran+simple+people+website+dog+walk+walking+character+man+cute+animal+color,landing
5952576,color app lines+drawing digital illustration+front end development+geometrical art exploration+hand drawn animation+hi-tech sci-fi illustrative+illustrative shape creation+illustrative style guideline+ipad procreator pencil+landing page concept+marketing web design+smooth parallax firefox+ui+ui illustrator designer+user interface design+web page header+website animation transition,drawing digital illustration+ipad procreator pencil+ui illustrator designer+illustrative shape creation+color app lines+website animation transition+smooth parallax firefox+hand drawn animation+web page header+illustrative style guideline+geometrical art exploration+landing page concept+front end development+marketing web design+hi-tech sci-fi illustrative+ui, 
6555182,app+dashboard+design+experience+gradient+interface+lander+mockups+pay+payment+product design+style guide+ui+user+ux+web+website,gradient+experience+dashboard+lander+user+product design+pay+website+design+ui+style guide+ux+mockups+checkout+interface+mobile, 
6158849,boy+cat+character+computer+empty+empty state+illustration+interface+kitten+kitty+mail+man+office+people+quickmail+ui+web+website+work,empty+illustration+work+kitten+boy+empty state+man+office+people+website+mail+quickmail+computer+interface+kitty+character+ui+cat, 
5367995,gradient+illustration+landing+logo+pattern+typography+ui+ux+website,gradient+illustration+pattern+typography+website+logo+ux+landing+ui, 
6506019,baby+character+child+children+dad+daughter+family+father+girl+grow+home+illustration+kid+man+measuring+people+room+ui+web+website,illustration+room+father+ui+dad+baby+child+people+website+girl+daughter+character+man+family+home+kid+grow+children+measuring,landing
6441984,adventure+backpacker+boy+character+explore+holiday+illustration+journey+landscape+man+people+pond+scenery+sea+tour+travel+ui+vacation+web+website,holiday+backpacker+illustration+landscape+man+boy+scenery+people+website+adventure+pond+journey+sea+explore+tour+character+ui+travel,blue
6647571,animation+clean+colors+design+illustration+landing+landingpage+minimal+team+ui+ux+web+website,illustration+simple+team+website+animation+design+ux+landing+ui+colors, 
5781295,animation+branding+design+drink+ecommerce+graphic design+identity+interaction+interface+motion+product card+tea+tea shop+typography+ui+user experience+ux+web+webdesign+website,typography+product card+animation+tea shop+identity+tea+graphic design+ui+user experience+website+ux+webdesign+design+motion+branding+interface+interaction+food+ecommerce, 
