id,origin,normalize,predict
6579816,after effects ae motion+animation+basket bag+checkout purchase buy add item+ecommerce shop e-commerce store+line icons+material ui ux+mobile+mobile app iphone nike+product design+pull down shopping cart+purchase interaction+sketch+white green clean style,line icons+sketch+basket bag+mobile app iphone nike+pull down shopping cart+website+checkout purchase buy add item+material ui ux+product design+after effects ae motion+animation+mobile+purchase interaction+ecommerce shop e-commerce store+white green clean style,mobile+website
6169451,after affects+animation+app+concept+ecommerce+interaction+ios+minimal+motion+payment+product+shipping+shoes+shop+store+ui+ux,after affects+ios+interaction+simple+ux+motion+ui+shoes+shop+checkout+store+concept+product+mobile+animation+ecommerce+shipping,mobile+website+checkout+ecommerce+music
6440077,add card+app+app design+checkout+credit card+credit card form+ecommerce+ios+payment+shopping+ui+user experience+user interface+ux,shopping+ecommerce+user experience+ios+ux+ui+credit card form+mobile+credit card+checkout+add card,mobile+checkout+ecommerce
6905316,app+candy+cart+checkout+colorful+ecommerce+gummy+login+mobile+order+screen+shop+sign in+slide+sweet+welcome+yummy,gummy+cart+ecommerce+yummy+sweet+website+signup+order+welcome+candy+shop+slide+colorful+mobile+screen+sign in+checkout,mobile+website+checkout+ecommerce+pink
6482066,app+backpacks+cart+checkout+clothing+color+ecommerce+fashion+ios+iphone+iphone x+minimal+mobile+product design+sketch+ui+ux,color+fashion+cart+backpacks+sketch+ios+simple+website+ui+product design+ux+mobile+checkout+ecommerce+iphone x,mobile+website+checkout+ecommerce
6103702,animation+app+checkout+design+interaction+mobile+motion+payment+refill+ui+ux,design+interaction+website+ux+motion+ui+refill+mobile+animation+checkout,mobile+website+checkout
5329424,cart+checkout+colors+ecommerce+e-commerce+fashion+inspiration+landing+nike+shoe+shop+sneaker+sneakers+store+tamarashvili,sneakers+tamarashvili+cart+colors+shoe+sneaker+shop+checkout+store+landing+inspiration+fashion+ecommerce,mobile+checkout+ecommerce
5295409,add new+analytics+booking app+checkout+dashboard+empty state+mobile app+notification+payment+profile+salon app+signature+slider+todo app+tracking app,slider+add new+empty state+website+salon app+notification+dashboard+booking app+profile+signature+todo app+analytics+tracking app+mobile+checkout,mobile+website+dashboard+profile+checkout
6944741,app+boat+brown+cart+checkout+clean+ecommerce+ecommerce app+minimal+orange+payment+product+shop+shopping app+store+ui+ui ux,ui ux+cart+boat+ecommerce+simple+yellow+ui+brown+ecommerce app+shop+store+shopping app+mobile+product+checkout,mobile+checkout+ecommerce+yellow
6975747,about us+animation+app+application+branding+checkout+clean+creativity+design+illustration+layout+minimal+mobile app+mobile ux+store app+toy+ui+ux,creativity+design+mobile ux+simple+website+ui+ux+layout+illustration+branding+store app+mobile+about us+animation+checkout+toy,mobile+website+checkout
