id,origin,normalize,predict
5881393,android+app+ar+augmented+augmentedreality+behance+distance+flat+food+friends list+future+interface+ios+iphone+map+mobile+navigation+street+tourism+travel,food+distance+mobile+interface+travel+street+augmentedreality+ios+map+augmented+future+navigation+ar+behance+friends list+android+flat+website,mobile+website+travel+food
5886791,android+app+ar+augmented+augmentedreality+behance+distance+flat+food+friends list+future+interface+ios+iphone+map+mobile+navigation+street+tourism+travel,food+distance+mobile+interface+travel+street+augmentedreality+ios+map+augmented+future+navigation+ar+behance+friends list+android+flat+website,mobile+website+travel+food+music
6868836,app+audio+blog+calendar+clean+date+details+gallery+list+map+message+mobile+profile+search+share+travel+trip+ui+video+voice,message+travel+video+map+date+list+audio+social+calendar+details+website+mobile+simple+search+share+voice+ui+gallery+profile,mobile+website+profile+travel
6785639,app+dashboard+flat+ios+iphone+itinerary+list+mobile+travel+ui+ux,mobile+ux+travel+list+itinerary+ui+ios+dashboard+flat+website,mobile+website+dashboard+travel
6832000,app+booking+clean+date+description+details+filter+hotel+list+map+message+mobile+order+price+reserve+search+travel+trip+ui,message+price+mobile+simple+travel+booking+order+list+reserve+search+hotel+ui+details+map+filter+description+date+website,mobile+website+travel
6004442,app+beach+california+clean+experience+flow+freelance+interaction+ios+list+mobile animation+mobile app+mobile design+people+results+surfboard+surfers+travel agency+travel app+users,freelance+travel+interaction+mobile animation+beach+people+list+ios+california+travel agency+surfers+results+website+mobile+flow+simple+users+experience+surfboard,mobile+website+travel+music
6440336,article+blog+post+reading list+travel+traveling+trip planner+type,type+reading list+article+travel+post+trip planner+social+traveling,website+travel+music
6974612,app design+application+card design+colorful+icon+images+interaction+list+mobile+my+personal+product design+profile+tour+travel+trip+ui+user experience+user interface+ux,mobile+tour+ux+icon+travel+my+list+interaction+card design+ui+colorful+images+user experience+product design+personal+profile+website,mobile+website+profile+travel
6716283,app+app design+ios+list+map+mobile+search+travel+user experience+user interface,mobile+travel+search+list+ui+ios+map+user experience+website,mobile+website+travel
6018691,account+ios+list view+mobile app+profile+sketch+stats+surfing+travel+ui+ux+visual design,mobile+list view+stats+travel+account+ux+ui+sketch+visual design+ios+profile+surfing+website,mobile+website+profile+travel
3511426,color+hangout+history+list+london+mobile+party+sydney+travel+trip+trip planner+ui,mobile+travel+party+list+trip planner+ui+london+color+history+sydney+hangout+website,mobile+website+travel
3745667,color+hangout+history+list+london+mobile+party+planner+sydney+travel+trip+ui,mobile+travel+party+list+ui+planner+london+color+history+sydney+hangout+website,mobile+website+travel
6641413,booking+cards+dashboard+figma+green+landing+list+nomad+planner+product design+schedule+search+travel+ui+ui design+ux+ux design+web app,nomad+landing+travel+booking+search+list+ux+ux design+ui+cards+planner+schedule+product design+figma+dashboard+green+website,mobile+website+dashboard+travel+green
3508994,details+hangout+history+list+london+mobile+party+slider+sydney+travel+trip+ui,mobile+travel+party+list+ui+london+details+history+slider+sydney+hangout+website,mobile+website+travel
5934688,app+card+greece+guide+list+santorini+seaside+travel+ui,guide+mobile+seaside+travel+list+greece+ui+card+santorini,mobile+travel
3764228,color+hangout+history+list+london+mobile+party+planner+sydney+travel+trip+ui,mobile+travel+party+list+ui+planner+london+color+history+sydney+hangout+website,mobile+website+travel
6159125,app+design+flat+icon+illustration+interace+list+minimal+moscow+search+sochi+tours+travel+ui+ux+web,mobile+moscow+design+icon+interace+simple+list+illustration+search+sochi+travel+ui+ux+flat+website,mobile+website+travel
5756549,animation+app+card+city+design+gif+interaction+ios+latest+list+santorini+travel+ui+ux,mobile+design+latest+gif+travel+list+ux+interaction+city+ui+ios+card+santorini+animation,mobile+travel
6130693,cards+filters+ios+list+map+mobile app+pins+spots+surfing+travel+ui+ux,mobile+ux+travel+list+ui+filters+cards+pins+ios+map+spots+surfing+website,mobile+website+travel
6237660,app+clean+holiday+interface+iphone+list+mobile+subtl+travel+ui+ux+visuality,subtl+holiday+interface+mobile+simple+travel+ux+visuality+list+ui+website,mobile+website+travel
4534727,calendar+clean+dashboard+designer+green+interface+list+minimal+schedule+travel+ui+ux,calendar+interface+simple+travel+ux+list+ui+designer+schedule+dashboard+green,mobile+dashboard+travel+green
3088592,book+booking+hotel+list+new+travel+york,york+travel+booking+list+hotel+new+book,mobile+travel
3199936,2017+android+app+calendar+clean+dashboard+illustratios+ios+list+travel+website+white,mobile+illustratios+simple+travel+list+ios+white+2017+android+dashboard+calendar+website,mobile+website+dashboard+travel+white
3513779,color+details+hangout+list+london+mobile+party+sydney+travel+trip+trip planner+ui,mobile+travel+party+list+trip planner+ui+london+details+color+sydney+hangout+website,mobile+website+travel
5631702,app+detail+list+list app+listing+tour+tour and travel+tour app+tour guide+tour travel+tour video+tour video app+tour video guide+travel+travel app+travel guide+travel video app+travel video guide+video+video tour,list app+tour video guide+travel+travel video app+tour and travel+tour app+video+tour video app+tour video+list+video tour+tour travel+travel video guide+tour+travel guide+tour guide+mobile+listing+detail,mobile+travel
4215861,finder+list+mobile+profile+redesign+restaurant+reviews+search+travel+trip,food+mobile+finder+travel+search+list+redesign+profile+reviews+website,mobile+website+profile+travel+food
5908520,app+clean app design+education+ios+list+no result+search+student exchange+travel+ui,education+mobile+clean app design+travel+search+list+ui+no result+student exchange+ios,mobile+travel
3471079,cards+cover+desktop+experience+filters+headout+list+products+search+tourlist+travel+water,cover+headout+travel+search+list+water+filters+cards+desktop+experience+products+tourlist,mobile+travel
6734787,data+itinerary+list+travel+ui+ux,ux+travel+list+itinerary+ui+data,mobile+travel
6132593,collection+ios+list+result+tourism+tourist+uidesign+ux designer+ux-ui,collection+ux designer+travel+list+ui+ios+result,mobile+travel
4080019,app+board+interest+interface+iphone+list+members+pinterest+travel+ui+ux+x,interface+x+mobile+ux+travel+members+list+ui+interest+pinterest+board,mobile+travel
2969016,app+card+clean+feed+icon+ios+ios10+journey+list+mobile+travel+ui,mobile+simple+icon+feed+travel+list+ui+ios+card+journey+ios10+website,mobile+website+travel
3760733,address book+app+avatars+banner+icon+illustration design+interaction design+list+material design+travel+ui+user experience,mobile+material design+address book+icon+travel+list+avatars+ui+illustration design+interaction design+banner+user experience,mobile+travel
4149108,flight+header+kiwi+list+past+social+travel+trip+web,flight+header+travel+list+past+social+kiwi+website,mobile+website+travel
3794824,color+hangout+history+list+london+mobile+party+planner+sydney+travel+trip+ui,mobile+travel+party+list+ui+planner+london+color+history+sydney+hangout+website,mobile+website+travel
3235148,news，picture，list，comment，screen,news，picture，list，comment，screen,mobile
3797606,birds+color+forest+hangout+list+mobile+party+planner+travel+trip+ui+ux,mobile+ux+travel+party+list+ui+planner+color+birds+forest+hangout+website,mobile+website+travel+music
3684156,blog+layout+list+minimal+post+simple+travel+typography+ui+user interface,simple+travel+list+post+layout+typography+ui+social,mobile+travel
3437917,app ui+clean+comments+details page+landscape+left slide+list+photo stream+red+travel+ux,photo stream+red+simple+travel+ux+comments+app ui+left slide+list+landscape+details page,mobile+travel+red
4324681,app+ui+ux,mobile+ux+ui,mobile+travel
4270301,chat+messenger+travel+ux,social+ux+travel,mobile+travel
5662885,app+bank+concept+finance+list+minimal+mobile+money+moneybox+piggybank+progress+transfer+travel+trip,money+mobile+simple+travel+piggybank+list+finance+concept+transfer+progress+moneybox+website,mobile+website+finance+travel
5596559,animation+design+desktop+destination+fold+images+invision+invision studio+photos+scroll+transition+travel+ui+ui design+ux+ux design+web+webdesign+whitespace,destination+transition+design+travel+ux+photos+invision studio+webdesign+whitespace+invision+ui+ux design+desktop+fold+scroll+images+animation+website,mobile+website+travel
5878332,app+clean+collection+design+detail+illustration+ios+list ui+mobile app+mockup+place+settings+sygic+travel+trip+ui+ux,collection+mobile+mockup+sygic+simple+design+travel+ux+illustration+place+ui+ios+list ui+detail+settings+website,mobile+website+travel
4395717,city+dashboard+desktop+event+interface+itinerary+list+profile+travel+ugem+user+web,interface+event+travel+list+user+itinerary+city+website+desktop+profile+dashboard+ugem,mobile+website+dashboard+profile+travel
4149101,flight+header+kiwi+list+todo+travel+trip+web,flight+header+todo+travel+list+kiwi+website,mobile+website+travel
6751157,booking+dailyui+ios+list+mobile+price+travel+travel app+ui,price+mobile+travel+booking+list+ui+ios+website,mobile+website+travel
3113172,app+ios+iphone+list+mobile+navigation+travel+ui+ux+white,mobile+ux+travel+list+ui+ios+navigation+white+website,mobile+website+travel+white
5276450,explore+group+ios+list+maps+travel,group+travel+list+ios+explore+maps,mobile+travel
3629567,booking+calendar+checkout+dates+experiences+headout+illustration+list+mobile+payment+travel+variant,checkout+headout+mobile+experiences+travel+booking+variant+list+illustration+dates+calendar+website,mobile+website+checkout+travel
4230898,bubbles+checkbox+cruise+cruises+destinations+filters+holiday+holidaycheck+price+travel,holiday+price+destinations+travel+checkbox+filters+holidaycheck+bubbles+cruise+cruises,mobile+travel
6122962,app+detail+detail view+forecast+hero+ios+iphone+list+order+rating+reviews+segmented control+ski+skiing+snow+sport+sports+tabs+travel+winter,ski+mobile+rating+forecast+order+segmented control+list+travel+snow+skiing+tabs+ios+sport+hero+reviews+detail+winter+detail view,mobile+website+sport+travel
3788711,app+filter+free+freebie+ios+ios 11+iphone+list+search+sketch+travel+ui,free+mobile+travel+search+list+ios 11+ui+sketch+freebie+ios+filter,mobile+travel
2560034,android+dark+datepicker+filters+ios+list+map+mobile+results+search+travel,mobile+travel+search+list+datepicker+results+filters+ios+map+android+black+website,mobile+website+travel+black
