id,origin,normalize,predict
6579816,after effects ae motion+animation+basket bag+checkout purchase buy add item+ecommerce shop e-commerce store+line icons+material ui ux+mobile+mobile app iphone nike+product design+pull down shopping cart+purchase interaction+sketch+white green clean style,animation+after effects ae motion+website+purchase interaction+checkout purchase buy add item+pull down shopping cart+basket bag+product design+white green clean style+line icons+sketch+mobile app iphone nike+material ui ux+mobile+ecommerce shop e-commerce store, 
6482066,app+backpacks+cart+checkout+clothing+color+ecommerce+fashion+ios+iphone+iphone x+minimal+mobile+product design+sketch+ui+ux,cart+minimal+simple+product design+app+fashion+color+ecommerce+backpacks+website+iphone+clothing+mobile+ui+sketch+checkout+ios+ux+iphone x,checkout+ecommerce
4560454,carousel app ios iphone+checkout pay card+design photo photography+ecommerce e-commerce+fashion experience interior+flat gradient shadow minimal+grid typography+purchase cart+shop store eshop+ux ui interaction+white clean light,grid typography+checkout pay card+purchase cart+ux ui interaction+design photo photography+fashion experience interior+ecommerce e-commerce+flat gradient shadow minimal+carousel app ios iphone+shop store eshop+white clean light, 
3919542,add+app+buy+cart+checkout+ecommerce+iphone+item+mobile+purchase+shopping,cart+website+iphone+purchase+add+app+buy+item+mobile+shopping+checkout+ecommerce,checkout+ecommerce
5285317,app+blog+cart+checkout+clothing+ecommerce+fall+fashion+ios+iphone x+minimal+mobile+sketch+ui+ux+womens,cart+minimal+simple+app+fashion+fall+ecommerce+website+social+blog+clothing+womens+mobile+ui+sketch+checkout+ios+ux+iphone x,checkout+ecommerce
5201079,app+books+branding+buy+checkout+colors+ecommerce+illustration+interface+ios+iphone+iphonex+mobile+shop design+sketch+ui+ux,app+buy+ecommerce+website+iphone+books+colors+mobile+interface+branding+ui+sketch+checkout+illustration+ios+shop design+ux+book+iphonex,checkout+ecommerce
5321328,app+books+branding+checkout+design+ecommerce+education+interface+ios+iphone+iphonex+payment+shop+sketch+ui+ux,interface+payment+shop+ios+iphone+books+branding+ui+book+app+education+iphonex+ux+sketch+mobile+design+checkout+ecommerce,checkout+ecommerce
3886793,add+app+buy+cart+checkout+ecommerce+iphone+item+mobile+purchase+shopping,cart+website+iphone+purchase+add+app+buy+item+mobile+shopping+checkout+ecommerce,checkout+ecommerce
5304193,app+books+branding+buy+checkout+colors+design+ecommerce+education+icon+interface+ios+iphone+iphonex+payment+shopping+sketch+ui+ux,icon+app+buy+ecommerce+iphone+books+colors+iphonex+shopping+mobile+interface+branding+ui+sketch+design+checkout+payment+ios+ux+book+education,checkout+ecommerce
5129868,app+books+branding+buy+cart+checkout+colors+ecommerce+flat+interface+ios+iphone+iphonex+product+sketch+ui+ux+vector,cart+vector+app+buy+ecommerce+iphone+books+colors+mobile+interface+flat+branding+ui+product+sketch+checkout+ios+ux+book+iphonex,checkout+ecommerce
4562418,adidas+cart+checkout+clay+ecommerce+fashion+iphone x+mobile+shoes+shopping+sketch+sports,cart+sport+website+clay+adidas+sports+fashion+shopping+sketch+mobile+iphone x+shoes+checkout+ecommerce,checkout+sport+ecommerce
3815627,add+app+buy+cart+checkout+ecommerce+iphone+item+mobile+purchase+shopping,cart+website+iphone+purchase+add+app+buy+item+mobile+shopping+checkout+ecommerce,checkout+ecommerce
3874912,add+app+buy+cart+checkout+ecommerce+iphone+item+mobile+purchase+shopping,cart+website+iphone+purchase+add+app+buy+item+mobile+shopping+checkout+ecommerce,checkout+ecommerce
3903170,add+app+buy+cart+checkout+ecommerce+iphone+item+mobile+purchase+shopping,cart+website+iphone+purchase+add+app+buy+item+mobile+shopping+checkout+ecommerce,checkout+ecommerce
3827597,add+app+buy+cart+checkout+ecommerce+iphone+item+mobile+purchase+shopping,cart+website+iphone+purchase+add+app+buy+item+mobile+shopping+checkout+ecommerce,checkout+ecommerce
6540182,animation+app+apple+application+checkout+concept+ecommerce+interaction+interface+ios+iphone+menu+mobile+shoe app+shoes+shopping+sneaker+sneakers+sneakers app+ui,sneaker+interaction+shoe app+app+shoes+ecommerce+website+iphone+sneakers+concept+shopping+mobile+interface+ui+checkout+animation+apple+ios+menu+application+sneakers app,checkout+ecommerce
3890322,add+app+buy+cart+checkout+ecommerce+iphone+item+mobile+purchase+shopping,cart+website+iphone+purchase+add+app+buy+item+mobile+shopping+checkout+ecommerce,checkout+ecommerce
3321645,android delivery+animation web+dashboard interaction+flat page+gif card+invite order+ios iphone+material design+navigation menu+shipping package+store ecommerce+ux ui checkout,material design+flat page+shipping package+ux ui checkout+dashboard interaction+ios iphone+animation web+invite order+store ecommerce+navigation menu+android delivery+gif card, 
4614950,blackwhite+cart+checkout+ecommerce+fashion+iphone+retail+scrolling+shoe+shop+sketch,cart+retail+shop+iphone+scrolling+blackwhite+fashion+checkout+shoe+sketch+mobile+ecommerce,checkout+ecommerce+music
3285981,carousel app ios iphone+checkout pay card+design photo photography+ecommerce e-commerce+fashion experience interior+flat gradient shadow minimal+grid typography+purchase cart+shop store eshop+ux ui interaction+white clean light,grid typography+checkout pay card+purchase cart+ux ui interaction+design photo photography+fashion experience interior+ecommerce e-commerce+flat gradient shadow minimal+carousel app ios iphone+shop store eshop+white clean light, 
3796027,add+app+buy+cart+checkout+ecommerce+iphone+item+mobile+purchase+shopping,cart+website+iphone+purchase+add+app+buy+item+mobile+shopping+checkout+ecommerce,checkout+ecommerce
3823697,add+app+buy+cart+checkout+ecommerce+iphone+item+mobile+purchase+shopping,cart+website+iphone+purchase+add+app+buy+item+mobile+shopping+checkout+ecommerce,checkout+ecommerce
6505753,app+apple+application ui+checkout+concept+ecommerce+interface+ios+iphone+menu+mobile+nike+shoes+sneaker+sneakers+sneakers app+store+typogaphy+ui+ux,sneaker+app+shoes+ecommerce+website+iphone+sneakers+concept+mobile+interface+ui+application ui+typogaphy+checkout+store+apple+ios+menu+nike+ux+sneakers app,checkout+ecommerce
3839878,add+app+buy+cart+checkout+ecommerce+iphone+item+mobile+purchase+shopping,cart+website+iphone+purchase+add+app+buy+item+mobile+shopping+checkout+ecommerce,checkout+ecommerce
5500745,app+clean+concept+design+ecommerce+ecommerce app+flat+interface+ios+iphone+iphone x+layout+minimal+mobile+typography+ui+user interface+ux+vector+web,vector+minimal+simple+app+clean+ecommerce+ecommerce app+website+iphone+layout+concept+user interface+mobile+interface+flat+ui+web+design+ios+typography+ux+iphone x,ecommerce
