id,origin,normalize,predict
6248741,bird+blue+character+dinosaur+drop+duck+goose+hat+help+illustration+man+outdoor+people+rain+rainy+ui+umbrella+water+web+website,dinosaur+drop+hat+help+rain+illustration+water+ui+bird+umbrella+character+blue+outdoor+people+man+duck+rainy+website+goose,mobile+website+blue
6197979,blue+carsharing+clean+green+homepage+landing page+layout+minimal+product+startup+web+website,carsharing+layout+simple+green+product+blue+landing+startup+website+homepage,mobile+website+landing+green+blue
6495457,blue+clean+gradient+homepage+landing page+layout+minimal+purple+real estate+ui+ux+web+website,layout+simple+real estate+purple+blue+ui+landing+ux+website+homepage+gradient,mobile+website+landing+blue
6609554,activity+blue+dashboard+data+design+graph+green+illustration+red+sleep+statistic+typography+ui+users+ux+vector+violet+web+website+web site,red+design+dashboard+sleep+illustration+activity+typography+ui+vector+violet+blue+graph+users+statistic+data+web site+green+ux+website,mobile+website+dashboard+green+blue+red
6806874,app+apple+blue+clean+design+grid+inspiration+interface+minimal+minimalism+mobile+ndro+sandro tavartkiladze+tavdro+ui+ux+web+website+white,minimalism+sandro tavartkiladze+simple+mobile+ndro+tavdro+blue+apple+grid+inspiration+interface+ui+website+ux+white+design,mobile+website+grid+white+blue
5938105,blue+character+header+hero illustration+illustration+landing page+ocean+ui+uidesign+uiux+web+website,ocean+character+website+blue+ui+landing+illustration+hero illustration+header,mobile+website+landing+blue
4345319,bitcoin+blue+crypto+game+gradient+icon+illustration+isometric+landing+truck+ui+website,game+icon+truck+website+bitcoin+blue+isometric+ui+landing+crypto+illustration+gradient,mobile+website+game+blue
5965439,blue+drugstore+health+healthcare+med+medical+medicine+online shop+online store+pharmaceutical+pharmacy+shop+website,medical+online store+drugstore+med+health+online shop+blue+pharmaceutical+website+shop,mobile+website+blue
6355659,agency+blue+cards+designer+instagram+lander+landing+social+web+webdesign+website,lander+agency+designer+cards+social+webdesign+blue+landing+website,mobile+website+blue
6736605,animation+blue+clean+colors+design+flat+gradient+minimal+nonsens+simple+typography+ui+ui design+vector+website,nonsens+colors+simple+website+blue+typography+animation+ui+vector+flat+gradient+design,mobile+website+blue
6898693,blue+character+cryptocurrency+crypto exchange+crypto wallet+flat design+flat illustration+header+hero illustration+homepage+illustration+landing page+purple+ui+uidesign+uiux+vector+web+website,flat illustration+character+illustration+website+crypto exchange+purple+blue+cryptocurrency+ui+landing+vector+flat+hero illustration+homepage+crypto wallet+header,mobile+website+landing+blue
4612709,blue+gradient+icon+illustration+isometric+landing+page+taxi+ui+web+website,icon+page+website+blue+isometric+ui+landing+illustration+taxi+gradient,mobile+website+landing+blue
4764835,blue+card+designer+hatch+homepage+illustration+landing+shadow+site+webpage+website+white,hatch+site+designer+website+blue+card+shadow+landing+illustration+homepage+white,mobile+website+white+blue
5819306,abstract+ai+animation+artificial intelligence+blue purple+companion+creative+friend+futuristic+maslo ai+motion+pastel colors+promo website+revolutionary+technology+ui+ux+vibrant+web design+zajno,animation+abstract+blue purple+pastel colors+creative+companion+ui+ai+revolutionary+zajno+web design+friend+promo website+artificial intelligence+maslo ai+motion+futuristic+vibrant+technology+ux,mobile
5870853,2018+2019+blue+design+red+top4shots+ui+ux+web+website,top4shots+blue+2018+ui+ux+red+website+2019+design,mobile+website+blue+red
6380176,android+app+blue+branding+card+chart+clean+dashboard+design+football app+illustration+ios+isometric+landing+menu+mobile+onboarding+ui+ux+website,menu+simple+mobile+chart+isometric+card+landing+android+design+dashboard+illustration+branding+football app+ui+onboarding+blue+ios+ux+website,mobile+website+chart+dashboard+blue
6334819,blue+design+exhibition+illustration+landing+minimal+stand+typography+ui+ux+vector+web+website,simple+exhibition+website+blue+typography+ui+landing+stand+ux+illustration+vector+design,mobile+website+blue
4371726,blue+bug+designer+homepage+iphone+landing+minimal+site+webpage+website+white,site+designer+simple+mobile+blue+landing+website+homepage+white+bug,mobile+website+white+blue
6676642,animation+blue+contractbook+design+interaction+interface+layout+pricing page+ui+ux+web+website+www,layout+website+contractbook+blue+pricing page+animation+ui+interface+ux+interaction+design+www,mobile+website+dashboard+blue
6741744,app+apple+application+blue+flat+girl+graphic+hoverboard+illustraion+ios+iphone+iwatch+jeans+pink+pink hair+teenage+vector+vr+webdesign+website,hoverboard+teenage+vr+website+jeans+mobile+graphic+ios+webdesign+blue+apple+illustraion+pink hair+girl+vector+flat+pink+iwatch,mobile+website+pink+blue
6241744,design+illustration+illustrator+ui+web+website,illustration+illustrator+ui+website+design,mobile+website
