id,origin,normalize,predict
6685757,categories+cook+cooking+cuberto+design+food+graphics+icons+illustration+interface+landing page+product design+recipes+ui+ux+web+website,cooking+cuberto+food+ui+website+graphics+landing+cook+categories+design+illustration+product design+ux+icons+interface,mobile+website+landing+food
5878392,animation+ar+augmented reality+greece+illustration+landing page+motion+tablet+temple+tourists+transition+ui,ar+augmented reality+motion+transition+temple+ui+landing+illustration+tablet+tourists+greece+animation,mobile+landing
6508084,animated transition+animation+birds+deer+illustration+japan+lake+landing page+motion+mountain+nature+nature park+parallax+reeds+sunrise+sunset+ui+ux,mountain+motion+animated transition+deer+parallax+sunrise+sunset+ui+nature+landing+japan+illustration+lake+reeds+ux+animation+birds+nature park,mobile+landing
6078712,app apps application+cat lady+clean+colors+girl+landing+leaf+mobile+ui+ux+yoga,colors+simple+ui+cat lady+girl+mobile+landing+website+yoga+ux+app apps application+leaf,mobile+website+landing
6266456,animated transition+animation+ccsp+cissp+climb+courses+illustration+instruction+journey+landing page+motion+mountain+parallax+teaching+transition+ui+ux,instruction+mountain+motion+animated transition+ccsp+courses+cissp+climb+journey+parallax+transition+landing+ui+illustration+ux+animation+teaching,mobile+landing
6791385,afterglow+animation+clean+delivery+delivery app+food+food app+icons+illustration+landing+landing page+pattern+ui,food+simple+ui+delivery+landing+illustration+delivery app+afterglow+icons+animation+pattern,mobile+landing+food
6719357,3d+clean+design+flat+icon+illustration+landing+metal+navigation+site+typography+ui+ux+web+wireframe,wireframe+flat+metal+simple+3d+navigation+ui+website+landing+design+illustration+ux+icon+typography+site,mobile+website
6128763,app+branding+field+identity+illustration+landing+logo+overlap+page+site+web+website,overlap+page+mobile+landing+website+identity+logo+illustration+branding+field+site,mobile+website
6138884,analytics+commerce+floating+gallery+landing+mapa+marketing+micro+product+site+store+tech+web+wire,store+wire+micro+tech+floating+analytics+gallery+marketing+website+landing+mapa+ecommerce+site+product,mobile+website+ecommerce
5952576,color app lines+drawing digital illustration+front end development+geometrical art exploration+hand drawn animation+hi-tech sci-fi illustrative+illustrative shape creation+illustrative style guideline+ipad procreator pencil+landing page concept+marketing web design+smooth parallax firefox+ui+ui illustrator designer+user interface design+web page header+website animation transition,front end development+color app lines+ui illustrator designer+website animation transition+hand drawn animation+drawing digital illustration+ipad procreator pencil+illustrative style guideline+ui+marketing web design+web page header+smooth parallax firefox+geometrical art exploration+landing page concept+illustrative shape creation+hi-tech sci-fi illustrative,mobile
6918269,3d+animation+app+bus+car+city+design+gradient+illustration+landing+ui+vector+web,car+gradient+city+bus+3d+ui+mobile+landing+website+design+illustration+vector+animation,mobile+website+landing
6888552,afterglow+animated hero+animation+app+character+characters+game art+game design+game hero+gaming+illustration+illustration art+landing+monster+monsters+webdesign+web design,webdesign+animated hero+monsters+character+mobile+landing+monster+gaming+illustration+web design+characters+game art+afterglow+illustration art+game hero+animation+game design,mobile
5367995,gradient+illustration+landing+logo+pattern+typography+ui+ux+website,gradient+ui+website+landing+logo+illustration+ux+typography+pattern,mobile+website
6726635,animation+app+clean+colors+design+illustration+landing+minimal+ui+ux+web,colors+simple+ui+mobile+landing+website+design+illustration+ux+animation,mobile+website
