id,origin,normalize,predict
5313013,crowd+drawing+form+illustration+landing+people+signup+ui+ux+web+website,drawing+website+signup+landing+crowd+illustration+form+ui+people+ux,mobile+website+form+landing+music
5580777,animation+app+bitcoin+budget+clean+dashboard+design+illustration+interaction+interface+iphone+johnyvino+login+login design+principle+signup+swipe+ui+ux+web,login design+swipe+website+dashboard+interaction+signup+principle+ui+simple+bitcoin+design+johnyvino+budget+animation+illustration+interface+mobile+ux,mobile+website+dashboard
5886177,app+balkan brothers+bbagency+dashboard+design+experience+interface+login+onboarding+process+sign up+signup process+ui+ui design+user+ux+ux design+web,website+dashboard+signup+ui+bbagency+experience+signup process+design+user+balkan brothers+process+ux design+interface+onboarding+mobile+ux,mobile+website+dashboard
6279217,404+500+bunny+cdn+illustration+internet service+landing page+rabbit+redesign+sign in+signup+vector+vpn+web design+website,website+sign in+signup+landing+vpn+500+cdn+bunny+internet service+404+illustration+redesign+web design+rabbit+vector,mobile+website+landing+ecommerce+yellow
5189411,design+form+registration+signup+ueno+ui+unused+ux+web,website+ueno+registration+signup+unused+design+form+ui+ux,mobile+website+form
5961819,design+girl+illustration+minimal+mobile+onboarding+password+signin+signup+typo+ui+ux+web,website+signup+signin+simple+design+password+illustration+typo+ui+onboarding+girl+mobile+ux,mobile+website
6413404,app apps application+app design+filters+image+image editing+ios+iphonex+login+makeup+neel+photoshop+prakhar+selfie+sharma+signup+splash+splash screen+ui+user+ux web,photoshop+makeup+ios+signup+ui+image+ux web+neel+filters+splash+user+sharma+prakhar+splash screen+selfie+app apps application+image editing+mobile,mobile
6434376,character+crm+design+empty states+experience+graphic+illustration+inspiration+interface+landing page+login+mobile+page+people+saas+sign up+user+vector+web+website,crm+website+inspiration+signup+landing+graphic+experience+page+design+user+character+illustration+people+vector+interface+empty states+mobile+saas,mobile+website+landing
5345606,app+desktop+draft+dribbble+experience+grid+grid layout+inspiration+invite+invites+join+landing+login+mood+moodboards+onboarding+photography+signup+story+web,signup+experience+photography+mood+onboarding+join+invites+website+desktop+inspiration+grid layout+landing+story+dribbble+draft+grid+invite+moodboards+mobile,mobile+website+grid
5035570,clean modern minimal+create account forget+design ui ux+illustration character cartoon+interaction userinteraction+join color gradient+login signup sign in+password email+typography logo+user interface experience+vector people button social+web website webdesign,vector people button social+interaction userinteraction+typography logo+clean modern minimal+illustration character cartoon+password email+create account forget+login signup sign in+web website webdesign+design ui ux+user interface experience+join color gradient,mobile+landing
3135121,banner+blog+invision+landing page+login+prototype+redesign+signup+theme+ui+video+web,website+signup+landing+prototype+theme+redesign+video+social+ui+invision+banner,mobile+website+landing
4796177,banner+brickshare+construction+contactus+property+signin+signup+ui+web,website+signup+signin+brickshare+property+construction+ui+contactus+banner,mobile+website+checkout+blue
5019261,form+gradient+illustration+interface+iphone+landing+logo+minimal+mobile+people+product+responsive+signup+sign up+ui+user interface+ux+web+web design+website,logo+website+product+responsive+signup+landing+ui+simple+gradient+illustration+form+web design+interface+people+mobile+ux,mobile+website+form+music
5485808,artist+clean+color+daily ui+login+minimal+signup+ui+web,website+color+signup+simple+artist+ui,mobile+website
5023981,app+branding+character+dailyui+design+flat+icon+illustration+logo+onboarding+signup+signup form+typography+ui+ux+vector+web+website,logo+website+signup form+typography+signup+design+icon+branding+character+flat+illustration+vector+ui+onboarding+mobile+ux,mobile+website
4410460,cms+dashboard+design+login+page+signup+ui+web,website+dashboard+signup+design+ui+cms+page,mobile+website+dashboard
6537673,dailyui+firstshot+signup+ui+uichallenge+web,website+signup+uichallenge+firstshot+ui,mobile+website
6380460,app+dailui+design+front end+front end design+interface+interface design+typography+ui+ui web design+ux+web+web design+website,website+dailui+typography+front end design+ui web design+ui+interface design+design+front end+web design+interface+mobile+ux,mobile+website
3605489,category+dropdown+event+form+input+select+step. signup+subcategory+web+wizard,website+step. signup+input+subcategory+wizard+category+form+select+dropdown+event,mobile+website+form
5149248,app application screen page+field button+interaction modern minimal clean+interface experience+login log in signup+mobile iphone ios material+register registration+splash welcome intro+typography logo flat+ui ux user+web website webdesign,ui ux user+field button+register registration+typography logo flat+app application screen page+splash welcome intro+interface experience+web website webdesign+mobile iphone ios material+interaction modern minimal clean+login log in signup,mobile
6964024,app+branding+design+signup+ui+ux+web,website+signup+design+branding+ui+mobile+ux,mobile+website
5462127,application+bank+bank account+branding+chart+clean+cryptocurrency+dashboard+finance+financial+gradient+graph+illustration+layout+minimal+signup+typography+ui+ux+webapplication,webapplication+dashboard+finance+typography+layout+signup+simple+branding+bank account+cryptocurrency+graph+chart+gradient+illustration+ui+mobile+ux,mobile+chart+dashboard+finance
5086894,clean modern minimal+create account forget+design ui ux+illustration character cartoon+interaction userinteraction+join color gradient+login signup sign in+password email typography phone+register registration field+user interface experience+vector people button social+web website webdesign,vector people button social+interaction userinteraction+clean modern minimal+illustration character cartoon+create account forget+login signup sign in+password email typography phone+web website webdesign+design ui ux+user interface experience+join color gradient+register registration field,mobile
6983701,app+branding+clean+design+flat+icon+illustration+illustrator+ios+lettering+minimal+mobile+type+typography+ui+ux+vector+web+web design+website,lettering+illustrator+website+typography+ios+simple+design+icon+branding+web design+type+flat+illustration+vector+ui+mobile+ux,mobile+website
5260815,sign up form+ui+ux+web,sign up form+website+ui+ux,mobile+website
4932568,bankcard+colorful+input+login+password+signup+username+web,colorful+website+input+signup+username+password+bankcard,mobile+website
5462579,application+bankaccount+branding+chart+clean+cryptocurrency+dashboard+finance+financial+gradient+graph+illustration+layout+minimal+signup+typography+ui+ux+webapplication,webapplication+dashboard+finance+typography+layout+bankaccount+signup+simple+branding+cryptocurrency+graph+chart+gradient+illustration+ui+mobile+ux,mobile+chart+dashboard+finance
5189936,clean+clear+crm+dailyui+design+green+login+login form+loginpage+login page+login screen+minimal+sign in+sign in page+signup+ui+userinterface+user interface+web+welcome screen,crm+website+login page+sign in+signup+green+login screen+simple+design+login form+loginpage+sign in page+welcome screen+clear+ui+userinterface,mobile+website+green
6591044,concept+dailyui+design+firstshot+form+interface+minimal+signup+swiss+typography+ui+ux+web+webdesign,website+typography+interface+signup+simple+design+swiss+firstshot+concept+form+ui+webdesign+ux,mobile+website+form
4000335,character+city+credit+illustration+signup+vector+web,website+signup+city+character+credit+illustration+vector,mobile+website+landing
6834728,account+beautiful+coloful+creative+design+email design+login page+minimal+signup+ui+ux+web+website,website+signup+beautiful+simple+design+creative+email design+login page+ui+coloful+account+ux,mobile+website
4410551,cms+dashboard+design+login+page+signup+ui+web,website+dashboard+signup+design+ui+cms+page,mobile+website+dashboard
6891017,app+application+clean+creative+exploration+fluent+interaction+interface+layout+login+minimal+pattern+presentation+signup+trending+ui+uinugget+ux+visual+web,website+uinugget+interaction+exploration+layout+signup+fluent+ui+simple+creative+trending+visual+presentation+pattern+interface+mobile+ux,mobile+website
6736899,graphic+hero image+illustration+landing page+signup+ui+ux+web app+web design+website,website+signup+landing+graphic+hero image+illustration+web design+ui+ux,mobile+website+landing
6964896,app+dailylogochallenge+dailyui+design+signup+ui+uidesign+uiux+uiuxdesign+ux+uxdesign+web,website+signup+uxdesign+design+dailylogochallenge+ui+mobile+ux,mobile+website
5089024,brillo studio new york+free freebie download+isometric photoshop sketch+login signup landing+machine learning ai+mobile app development company+mobile technology web+onboarding future gradient+ramotion norde mixpanel+rohit mondal rajat mehra,mobile app development company+mobile technology web+brillo studio new york+isometric photoshop sketch+free freebie download+onboarding future gradient+login signup landing+rohit mondal rajat mehra+machine learning ai+ramotion norde mixpanel,mobile
5094986,design+flow+form+illustration+input+register+signup+steps+ui+ux+web,website+illustration+input+ux+signup+register+design+flow+form+ui+steps,mobile+website+form
5888075,create account+login+registration+sign up+social login+social signup+webapp,registration+signup+social signup+create account+social login+webapp,mobile
2932887,brand+clean+daily ui+ecommerce+email signup+holding+landing+minimal+ui+ux+web design+website,website+landing+email signup+simple+ecommerce+holding+web design+ui+brand+ux,mobile+website+ecommerce
5456752,color+create account+design+dribbble+home page+invite+landing+landing page+login+loginpage+login page+login screen+register+signup+signup form+signup page+typography+ui+ux+web,website+login page+color+typography+home page+signup+landing+login screen+register+create account+design+loginpage+dribbble+invite+signup page+ui+signup form+ux,mobile+website+landing
6204816,app+color+error+flat+graphic+illustration+illustrator+iphone+layout+message+minimal+signup+typography+ui+ux+vector+web,illustrator+website+color+typography+error+layout+message+signup+graphic+simple+flat+illustration+vector+ui+mobile+ux,mobile+website
5911058,button social+clean modern minimal+create account forget+design ui ux+flat material solid+interaction join color gradient+login signup sign in+password email typography+register registration field+user interface experience+web website webdesign page,flat material solid+button social+clean modern minimal+password email typography+web website webdesign page+create account forget+login signup sign in+design ui ux+user interface experience+register registration field+interaction join color gradient,mobile+blue
3072315,app+application+blue+clean+design+flat+illustration+ios+iphone+messenger+minimal+mobile+outline+signup+simple+sketch+ui+ux+web design+white,website+white+ios+signup+outline+simple+design+web design+blue+flat+illustration+social+sketch+ui+mobile+ux,mobile+website+white+blue
6525536,dailyui+daily ui+design+illustration+illustrator+landscape+lettering+signup+sign up+typography+ui+ux+vector+web+website+welcome,lettering+illustrator+website+typography+welcome+signup+landscape+design+illustration+ui+vector+ux,mobile+website
4580928,abstract minimal+communication web+form design ux+getstarted+login request+message app+signup chat+startup website app+team card pattern+ui+uidesign illustration+website demo team,login request+team card pattern+signup chat+form design ux+getstarted+website demo team+communication web+uidesign illustration+abstract minimal+message app+ui+startup website app,mobile+blue
3146823,clean+fashion+landing+minimal+responsive+signup+simple+web+website,responsive+website+signup+landing+fashion+simple,mobile+website
6321947,app+design+flat+illustration+login+minimal+signup+typography+ui+ux+web+website,website+typography+signup+simple+design+flat+illustration+ui+mobile+ux,mobile+website
5061653,business office chart+country date+field login sign up signup+interaction modern minimal clean+interface experience+personal info information+profile name picture+register registration+typography logo flat+ui ux user+web website webdesign,ui ux user+country date+register registration+typography logo flat+field login sign up signup+interface experience+web website webdesign+profile name picture+interaction modern minimal clean+business office chart+personal info information,mobile
4398361,001+dailyui+daily ui+dark+form+interface+signup+sign up+ui+ux+web+website,website+interface+signup+001+form+black+ui+ux,mobile+website+form+landing+travel+music+black
6447406,facebook+login+login form+redesign+signin+signup+signup form+uichallange+uidesign+user inteface+userinterfacedesign+web,website+signup+signin+redesign+login form+uichallange+userinterfacedesign+social+user inteface+ui+signup form,mobile+website
6794263,app+cassette tape+dailyui+daily ui+daily ui 001+dailyui 001+daily ui challenge+design+illustration+illustrator+signup+sign up+sign up form+ui+uidesign+ui design+ui ux+ux+web+web design,daily ui 001+dailyui 001+illustrator+website+cassette tape+signup+sign up form+ui ux+design+web design+illustration+daily ui challenge+ui+mobile+ux,mobile+website+finance
6787298,art+dailyui+debut+design+signup+sign up+ui+web,website+signup+art+design+debut+ui,mobile+website
4296263,animation+app+branding+check+clean+design+illustration+interface+landing+login+logo+minimal+page+panel+signup+sketch+typography+ui+ux+web,check+logo+website+typography+signup+landing+ui+page+simple+design+branding+panel+animation+illustration+sketch+interface+mobile+ux,mobile+website
6890342,001+dailyui+dailyui001+design+experiencedesign+interactiondesign+signup+space+ui+ux+web+webpage+website,experiencedesign+website+dailyui001+signup+001+interactiondesign+design+ui+space+ux,mobile+website
4470029,admin+dashboard+form+health+login+medical+profile+signup+ui+ux,dashboard+health+signup+medical+admin+profile+form+ui+ux,mobile+form+dashboard+profile
6718686,banner+beautiful+concept+dailyui+daily ui 001+daily ui challenge+design+form+form design+form field+sign in+sign in form+signup+sign up+ui+uiux+ux+web+webdesign+website,daily ui 001+banner+form design+sign in+website+signup+design+form field+concept+sign in form+form+daily ui challenge+ui+beautiful+webdesign+ux,mobile+website+form
5568495,dailyui 001+sign up page+uxdesign+web design,dailyui 001+web design+sign up page+uxdesign,mobile
5445417,illustration+signup+signup concept+signup form+signup page+ui+web design,signup+web design+illustration+signup concept+signup page+ui+signup form,mobile
5827033,001+account creation+challenge+dailyui+dailyui001+design+first shot+hello+hello dribble+jewellery+shot+signup+signupform+tiffany+ui+uidesign+web,hello dribble+challenge+signupform+jewellery+dailyui001+website+hello+001+signup+design+shot+first shot+account creation+tiffany+ui,mobile+website
5979666,illustration+login+onboarding+register+signup+ui+ui design+ux+ux design+walkthrough+web+web design,website+signup+register+walkthrough+illustration+ux design+web design+ui+onboarding+ux,mobile+website+blue
6029035,app application screen page+chat message conversation+interaction modern minimal clean+interface experience+login log in signup+mobile iphone ios material+register registration+splash welcome intro+typography logo flat+ui ux user+web website webdesign+wip work in process,ui ux user+register registration+typography logo flat+app application screen page+chat message conversation+splash welcome intro+interface experience+web website webdesign+mobile iphone ios material+wip work in process+interaction modern minimal clean+login log in signup,mobile+blue
5475154,001+dailyui+dailyui001+design+dribbble+gradient+hello dribbble+iphone+signup+sign up page+ui+ux+web,website+dailyui001+signup+001+design+dribbble+gradient+hello dribbble+ui+sign up page+mobile+ux,mobile+website
