id,origin,normalize,predict
6853143,app+burger+cafe+card+cart+clean+cook+delivery+design+food app+food delivery app+grocery+illustration+ios+list+mobile app design+order+restaurant+search+ui ux,ios+burger+food+mobile app design+cook+ui ux+mobile+grocery+card+search+illustration+list+simple+design+cafe+order+cart+food delivery app+delivery,mobile+food
6188166,account+app+blur+clean+color+comment+fashion+flat+gallery+gradient+interface+list+material+mobile+model+photo+profile+ui+vector+viewer,comment+model+vector+ui+mobile+gradient+profile+interface+fashion+flat+gallery+simple+list+website+viewer+material+photo+account+color+blur,mobile+website+profile+music
5731027,account+app+clean+details+list+message+mobile+profile+settings+ui,ui+list+details+simple+mobile+website+message+account+settings+profile,mobile+website+profile
5840443,app+badges+dashboard+fuel+icons+illustration+list+map+menu+mobile+navigation+petrol+points+profile+rewards+station+tabs+ui+ux+widelab,fuel+navigation+points+map+rewards+ui+mobile+ux+station+widelab+profile+icons+illustration+menu+badges+list+website+dashboard+petrol+tabs,mobile+website+dashboard+profile
6948137,after effects+animation+application+cards+case study+clean+groups+ios+mobile app+navigation+product design+ui+user list+ux+yellow,product design+after effects+ios+ui+navigation+cards+mobile+simple+website+user list+yellow+case study+groups+ux+animation,mobile+website+yellow
6217864,app+ar+clean+description+design+gallery+info card+infomation+list+map+message+mobile+profile+ui+weather,ui+gallery+simple+mobile+info card+design+list+message+website+map+weather+infomation+description+profile+ar,mobile+website+profile+weather+travel
6806874,app+apple+blue+clean+design+grid+inspiration+interface+minimal+minimalism+mobile+ndro+sandro tavartkiladze+tavdro+ui+ux+web+website+white,blue+interface+ui+simple+mobile+ndro+design+inspiration+minimalism+website+tavdro+white+apple+ux+grid+sandro tavartkiladze,mobile+website+grid+white+blue
6122997,3d+app+countdown+list+mobile+motion+offer+promo+restaurant+ui+ux,countdown+motion+list+ui+mobile+website+food+promo+offer+ux+3d,mobile+website+food
6419506,blue+car+card+clean+events+favorite+interface+ios+light+list+location+map+mobile+parking+search+spot+target+ui+ux+vehicle,blue+ios+favorite+spot+map+parking+location+ui+mobile+vehicle+ux+card+car+interface+target+light+events+search+list+simple+website,mobile+website+blue
6576330,app+business+calendar+cuberto+daily+design+graphics+icons+ios+list+map+meeting+mobile+month+time+ui+ux,ios+daily+cuberto+calendar+mobile+graphics+design+list+meeting+website+time+ui+map+ux+icons+business+month,mobile+website
6900821,clean+empty state+groups+illustration+ios+mobile app+product design+ui+user list+ux+visual+yellow,illustration+product design+ios+ui+user list+simple+mobile+visual+website+yellow+groups+ux+empty state,mobile+website+yellow
6872559,assign task+management app+meeting app+minimal product design+mobile design+product design+schedule app+task app+task application design+task flow+task list+task management+task management app+task manager+to do application design+ui ux,product design+task manager+mobile+assign task+website+schedule app+task application design+task management app+to do application design+task management+management app+minimal product design+meeting app+task app+task list+ui ux+task flow,mobile+website
6180999,app+car+clean+design+information+list+map+metro+mobile+plan+route+search+step+subway+ticket+traffic+ui,metro+route+car+ui+list+simple+mobile+step+design+website+search+traffic+map+ticket+plan+information+subway,mobile+website
5881393,android+app+ar+augmented+augmentedreality+behance+distance+flat+food+friends list+future+interface+ios+iphone+map+mobile+navigation+street+tourism+travel,future+ios+augmented+interface+behance+mobile+navigation+food+website+distance+flat+augmentedreality+map+street+android+travel+friends list+ar,mobile+website+travel+food
6660965,admin panel+app+calendar+dashboad+dashboard+ecommerce+management app+mobile+planing+planning+project+saas app+schedule+task list+task management+team+ui+uxui,saas app+calendar+schedule+mobile+ecommerce+website+project+team+planning+ui+dashboard+dashboad+management app+task list+task management+planing+admin panel,mobile+website+dashboard+checkout+ecommerce
5958932,app+app branding+application+booking+feed+ios+list+massage+mobile+patern+profile+ui+ui design+user interface+user interface design+ux,ios+ui+list+mobile+patern+app branding+website+ux+feed+booking+massage+profile,mobile+website+profile
5987177,app+best+clean+flat+interface+ios+list+management+material+message+minimalist+mobile+mockup+project+purple+send+simple+task+todo+ui,ios+best+task+ui+mobile+minimalist+interface+purple+project+todo+mockup+flat+management+list+simple+website+material+message+send,mobile+website
6503129,android+app+apple+artist+clean+colorful+design+entertainment+interface+ios+list+material+mobile+music+play+player+playlist+ui,artist+ios+interface+list+simple+mobile+play+design+website+music+ui+material+apple+colorful+player+android+entertainment,mobile+website+music
3937905,app+contact+flat+friends+ios+list+mobile+send+tickets+ui+ux,tickets+ios+ui+contact+list+mobile+website+ux+friends+send+flat,mobile+website
5886791,android+app+ar+augmented+augmentedreality+behance+distance+flat+food+friends list+future+interface+ios+iphone+map+mobile+navigation+street+tourism+travel,future+ios+augmented+interface+behance+mobile+navigation+food+website+distance+flat+augmentedreality+map+street+android+travel+friends list+ar,mobile+website+travel+food+music
6071402,app+application+checkbox+clean+design+interface+list+mobile+task app+task list+tasks+time+ui+ux,interface+list+simple+mobile+ui+design+website+time+ux+checkbox+task app+task list+tasks,mobile+website
5875619,app+check-out+clean+details+gallery+list+media+message+mobile+price+shop+ui+video,shop+ui+gallery+simple+details+check-out+mobile+list+media+website+price+message+video,mobile+website+travel
6278111,app+camera+clean+contact+design+details+gallery+list+message+mobile+news+photo+picture+question+share+ui,share+question+ui+contact+simple+mobile+details+design+gallery+list+website+photo+message+news+camera+picture,mobile+website
5453168,app+chat+contact+description+gallery+hiwow+list+location+message+mobile+price+search+travelling+ui,ui+gallery+contact+mobile+list+hiwow+website+price+message+description+travel+location+search+social,mobile+website+travel
6547889,activity heart beat+blood pressure+calendar filter days+dashboard infographic chart+date change list+mobile product design+progress bar loading+steps counter graph,blood pressure+steps counter graph+mobile product design+progress bar loading+date change list+calendar filter days+activity heart beat+dashboard infographic chart,website
6988954,alert+app+application+arounda+concept+golden grid+houseplant+illustration+interface+leaf+list+mobile+nature+notification+plant+ratio+schedule+sketch+ui+ux,schedule+ratio+arounda+ui+mobile+sketch+ux+interface+golden grid+notification+concept+houseplant+leaf+alert+nature+illustration+list+website+plant,mobile+website
6661328,af+app+browse+dashboard+flat+furniture+ios+iphone+list+minimal+mobile+sexy+shop+simple+ui+ux,shop+ios+ui+list+af+mobile+simple+website+furniture+dashboard+ux+sexy+browse+flat,mobile+website+dashboard
6742896,app+apple+buy+clean+e-commerce+expensive+flat+high-end+interface+jewelry+limited+list+luxurious+luxury+material+mobile+modern+perfume+store+ui,luxury+jewelry+ui+mobile+ecommerce+luxurious+interface+high-end+apple+perfume+flat+buy+expensive+limited+simple+list+website+material+modern+store,mobile+website+ecommerce+music
6980743,after effects+animation+application+cards+case study+clean+groups+illustration+ios+mobile ui+product design+ui+user list+ux+yellow,illustration+product design+after effects+ios+ui+user list+cards+mobile+simple+yellow+case study+mobile ui+groups+ux+animation,mobile+yellow
6575735,app+applepencil+black+cards+category+colorful+contrast+dark+design+gui+illustrations+list+listing+minimalistic+mobile+theme+tutorials+ui,illustrations+tutorials+category+applepencil+black+cards+mobile+contrast+design+list+simple+website+ui+colorful+theme+listing+gui,mobile+website+black
