id,origin,normalize,predict
6685757,categories+cook+cooking+cuberto+design+food+graphics+icons+illustration+interface+landing page+product design+recipes+ui+ux+web+website,food+ui+cooking+cook+product design+ux+cuberto+graphics+landing+interface+illustration+website+design+icons+categories,mobile+website+landing+food
6128763,app+branding+field+identity+illustration+landing+logo+overlap+page+site+web+website,logo+page+field+identity+site+overlap+landing+branding+illustration+website+mobile,mobile+website
5952576,color app lines+drawing digital illustration+front end development+geometrical art exploration+hand drawn animation+hi-tech sci-fi illustrative+illustrative shape creation+illustrative style guideline+ipad procreator pencil+landing page concept+marketing web design+smooth parallax firefox+ui+ui illustrator designer+user interface design+web page header+website animation transition,drawing digital illustration+illustrative style guideline+geometrical art exploration+ipad procreator pencil+landing page concept+front end development+ui illustrator designer+color app lines+illustrative shape creation+web page header+hand drawn animation+website animation transition+smooth parallax firefox+marketing web design+ui+hi-tech sci-fi illustrative,mobile
5367995,gradient+illustration+landing+logo+pattern+typography+ui+ux+website,logo+gradient+ux+pattern+landing+illustration+website+ui+typography,mobile+website
6647571,animation+clean+colors+design+illustration+landing+landingpage+minimal+team+ui+ux+web+website,simple+website+ux+team+landing+colors+illustration+animation+design+ui,mobile+website+landing
6520524,animation+app+clean+colors+design+landing+minimal+ui+ux+web+website,simple+website+ux+landing+colors+animation+design+ui+mobile,mobile+website
6373671,animation+clean+colors+design+landing+minimal+page+ui+ux+web+website,simple+page+website+ux+landing+colors+animation+design+ui,mobile+website
6385510,animation+clean+colors+design+illustration+landing+ui+ux+web+website,simple+website+ux+landing+colors+illustration+animation+design+ui,mobile+website
6685290,animation+clean+colors+design+landing+minimal+page+ui+ux+vector+web+website,simple+page+vector+website+ux+landing+colors+animation+design+ui,mobile+website
6311517,design+landing+nature+shelter+transition+ui+ux+website+woods,woods+ux+transition+landing+nature+shelter+website+design+ui,mobile+website+travel
5575499,after effects+animation+clean+interaction+interface+landing page+ui+ux+web+web design+website,simple+interaction+website+web design+after effects+ux+landing+interface+animation+ui,mobile+website+landing+travel
6821527,clean+colors+design+experience+illustration+landing+minimal+page+ui+ux+vectors+web+website,simple+page+experience+ux+landing+colors+illustration+website+vectors+design+ui,mobile+website
5467280,branding+landing+website,website+landing+branding,mobile+website
6920888,animation+clean+colors+design+illustration+landing+minimal+page+ui+ux+web+website,simple+page+website+ux+landing+colors+illustration+animation+design+ui,mobile+website
5558321,android+app+branding+card+chart+clean+dashboard+design+desktop+illustration+ios+landing+light+menu+mobile+profile+typography+ui+web+website,ui+chart+android+simple+menu+card+dashboard+landing+branding+desktop+light+illustration+website+profile+design+ios+mobile+typography,mobile+website+chart+dashboard+profile
5654256,call+chat+color scheme+conference+design+lander+landing+page+ui+user experience+user interface+ux+video+web+website,social+page+video+user experience+conference+ux+call+landing+color scheme+website+lander+design+ui,mobile+website+landing
5851608,app+branding+icon+identity+illustration+iphone+landing+logo+typography+web+website,logo+identity+landing+branding+illustration+website+icon+mobile+typography,mobile+website
