id,origin,normalize,predict
6914699,app+chart+dashboard+energy+gauge+graph+home+house+indicator+ios+real estate+remote+rent+statistics+stats+tablet+temperature+ui+ux+web,statistics+rent+ux+mobile+dashboard+house+real estate+gauge+ui+graph+stats+home+tablet+remote+chart+ios+energy+indicator+weather+website,mobile+website+chart+dashboard+weather
5925522,animation+campaign+cards+chart+color+design+designbetter+flat+graph+identity+illustration+invision+logo+maturity+motion+report+social+typography+visual+web,visual+color+typography+report+motion+invision+flat+designbetter+maturity+graph+campaign+social+chart+design+identity+logo+illustration+website+animation+cards,mobile+website+chart+music
6065408,cards+chart+collaboration+collabs+dashboard+discussion+gradient+graph+icons+illustration+mobile+social+stats,mobile+social+collabs+chart+illustration+dashboard+collaboration+gradient+icons+graph+stats+website+cards+discussion,mobile+website+chart+dashboard+landing
6025182,analytics+app+business+chart+clean+clear+dashboad+design+digital+fireart+fireart studio+gradient+light+product+ui+ux,business+mobile+dashboad+product+fireart studio+chart+fireart+digital+gradient+design+light+clear+ui+analytics+ux+simple,mobile+chart
6396764,animation+application development+color bars chart+interaction+mobile app concept+mobile app design+parallax effect+smart home dashboard+transition+ui ux design+user experience designer+user interface design+visual interface application,mobile app concept+mobile app design+smart home dashboard+parallax effect+visual interface application+application development+color bars chart+user experience designer+ui+interaction+animation+transition+ui ux design,website
6197011,affinity designer+business+cat+character+chart+client+customer+girl+illustration+kitten+kitty+light+office+officer+people+plant+prospects+uran+woman+work,client+character+affinity designer+office+woman+officer+kitty+work+cat+uran+light+girl+prospects+chart+kitten+customer+business+illustration+plant+people,mobile+chart
6104124,android+app+card+chart+courses+graphic+icon+illustration+ios+isometric+learn+lesson+people+social+typography+ui+uidesign+video+widget,learn+mobile+android+lesson+social+video+chart+illustration+icon+ios+courses+widget+isometric+ui+people+card+graphic+typography,mobile+chart
6473469,abstact+app+cards+chart+clean+colors+gradient+icons+ios+mobile+tabbar+toolbar+ui+ui design,mobile+chart+ios+tabbar+toolbar+gradient+abstact+icons+ui+website+colors+cards+simple,mobile+website+chart
5558321,android+app+branding+card+chart+clean+dashboard+design+desktop+illustration+ios+landing+light+menu+mobile+profile+typography+ui+web+website,mobile+android+branding+chart+illustration+dashboard+menu+design+light+desktop+profile+ui+website+card+ios+landing+typography+simple,mobile+website+chart+dashboard+profile
6423376,app+cards+chart+dashboard+discover+event+fold+freebie+galaxy+gradient+graph+icons+material+mobile+mockup+social,mobile+discover+galaxy+website+mockup+chart+freebie+social+dashboard+fold+gradient+icons+graph+event+material+cards,mobile+website+chart+dashboard
6379476,app+cards+chart+dashboard+design+gradient+graph+icons+illustration+ios+mobile+pantone+pastel+social+stats,mobile+pantone+pastel+social+chart+illustration+dashboard+gradient+design+icons+graph+ios+stats+website+cards,mobile+website+chart+dashboard
6957198,app+cards+chart+crm+dashboard+flat+graph+icons+illustration+illustrations+mobile+social+stats+vector,illustrations+mobile+social+chart+illustration+dashboard+crm+flat+vector+icons+graph+stats+website+cards,mobile+website+chart+dashboard
6237404,app+chart+cloud+colors+dashboard+data+design+hero+icons+illustration+page+servers+typography+ui+ui kit+user experience+user interface+ux+web+website,mobile+data+chart+illustration+dashboard+user experience+ui kit+design+hero+icons+servers+page+ui+cloud+colors+website+ux+typography,mobile+website+chart+dashboard
5728139,app+browse+chart+expercise+fitness+flow+gallery+graph+neon+sport+ui ux design,mobile+gallery+chart+neon+expercise+browse+health+flow+sport+graph+ui ux design,mobile+chart+sport
6553424,app+banking+chart+charts+clean+colors+craftwork+finance+financing+illustration+ios+minimal+product+ui+uidesign+ux+wallet,mobile+charts+product+chart+illustration+ios+financing+ui+craftwork+colors+ux+finance+simple,mobile+chart+finance
6909409,bank chart+bank web app+bank web application design+bank web dashboard design+dashboard design+dashboard ui+expense dashboard+fin-tech dashboard design+fintech gauge graph+fintech gauge graph map+income dashboard bank app+my cards+my transaction history+product design+statics statistics+ui ux+web design,fintech gauge graph+fin-tech dashboard design+bank web dashboard design+bank web application design+dashboard design+web design+income dashboard bank app+my cards+my transaction history+expense dashboard+fintech gauge graph map+bank web app+product design+ui ux+bank chart+statics statistics+dashboard ui,mobile
5644944,basketball+cards+chart+commentary+design+gradient+graph+homepage+illustration+pie+player+run+running+score+social+stats,social+score+chart+illustration+player+homepage+pie+gradient+commentary+design+basketball+graph+run+stats+running+cards,mobile+chart
6579296,app+chart+clean+details+gallery+message+product+profile+share+shopping+social+ui,mobile+social+gallery+product+share+chart+details+message+profile+shopping+ui+simple,mobile+chart+profile
5552797,application+calendar settings option button+cards+chart water pills+concept+dashboard infographic chart+healthcare app+intake water stats period+medicine clinic support+piechart card doctor patient+settings+sleep analysis graph,mobile+piechart card doctor patient+healthcare app+medicine clinic support+calendar settings option button+dashboard infographic chart+concept+settings+chart water pills+sleep analysis graph+intake water stats period+cards,mobile
6386067,accountant+analytics+app+business+chart+clean+digital+fireart+fireart studio+management+pipeline+product+ui+ux,business+mobile+pipeline+fireart studio+chart+fireart+management+product+digital+ui+analytics+ux+simple+accountant,mobile+chart
6673745,admin+admin panel+business+chart+chat+creative+dashboard+dashboard ui+dc+grid+interface+manger+movies+product+statistics+ui+ux+web+webdesign+widgets,widgets+creative+statistics+movies+ux+webdesign+admin panel+product+dashboard+ui+manger+dc+social+chart+admin+dashboard ui+interface+business+website+grid,mobile+website+chart+grid+dashboard
